route_id1,route_id2,dist,duration,stop_key1,stop_key2,stop1,stop2,thrs1,thrs2,trip_id1,trip_id2,stop_sequence1,stop_sequence2,service_id,type
Cumming to Downtown,Cumming to Downtown,0.757737016851,0.102222222222,North Ave (EB) @ Peachtree St_062700,6902_063308,North Ave (EB) @ Peachtree St,6902,6.45,6.55222222222,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,2,3.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.221963519395,0.03,6902_063308,6888_063456,6902,6888,6.55222222222,6.58222222222,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,3,4.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.287056422329,0.0386111111111,6888_063456,7004_063715,6888,7004,6.58222222222,6.62083333333,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,4,5.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.168787895661,0.0227777777778,7004_063715,7005_063837,7004,7005,6.62083333333,6.64361111111,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,5,6.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.169628261884,0.0230555555556,7005_063837,7006_064000,7005,7006,6.64361111111,6.66666666667,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,6,7.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.226391183785,0.0252777777778,7006_064000,Courtland St (SB) @ Gilmer St_064131,7006,Courtland St (SB) @ Gilmer St,6.66666666667,6.69194444444,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,7,8.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.267515331556,0.03,Courtland St (SB) @ Gilmer St_064131,7008_064319,Courtland St (SB) @ Gilmer St,7008,6.69194444444,6.72194444444,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,8,9.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.24241044548,0.0272222222222,7008_064319,6882_064457,7008,6882,6.72194444444,6.74916666667,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,9,10.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.153927010946,0.0175,6882_064457,6905_064600,6882,6905,6.74916666667,6.76666666667,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,10,11.0,A,ride
Cumming to Downtown,Cumming to Downtown,35.5160830625,0.916666666667,6913_063000,North Ave (EB) @ Peachtree St_072500,6913,North Ave (EB) @ Peachtree St,6.5,7.41666666667,400 - Downtown - 0630_20160909_99991231_20160906_99991231_2,400 - Downtown - 0630_20160909_99991231_20160906_99991231_2,1,2.0,A,ride
Cumming to Downtown,Cumming to Downtown,0.757737016851,0.125833333333,North Ave (EB) @ Peachtree St_072500,6902_073233,North Ave (EB) @ Peachtree St,6902,7.41666666667,7.5425,400 - Downtown - 0630_20160909_99991231_20160906_99991231_2,400 - Downtown - 0630_20160909_99991231_20160906_99991231_2,2,3.0,A,ride
