stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
North Ave (EB) @ Peachtree St,6.45,A,33.771284,-84.3854028,False,grta,North Ave (EB) @ Peachtree St,2230114.037,1371908.251,North Ave (EB) @ Peachtree St_062700,51867
6902,6.55222222222,A,33.7649403,-84.386791,False,grta,Ivan Allen @ Alexander St,2229687.263,1369600.875,6902_063308,51069
6888,6.58222222222,A,33.762541,-84.3874133,False,grta,Peachtree St @ Baker St,2229496.275,1368728.249,6888_063456,261219
7004,6.62083333333,A,33.760915,-84.384411,False,grta,John Portman Blvd just past Peachtree Center Ave,2230407.456,1368134.659,7004_063715,51072
7005,6.64361111111,A,33.7587056,-84.3843126,False,grta,Courtland @ Ellis St,2230435.664,1367330.665,7005_063837,500196
7006,6.66666666667,A,33.7562437,-84.3843555,False,grta,Courtland @ Auburn Ave,2230420.734,1366434.886,7006_064000,500211
Courtland St (SB) @ Gilmer St,6.69194444444,A,33.75331818,-84.38546241,False,grta,Courtland St (SB) @ Gilmer St,2230082.05,1365371.095,Courtland St (SB) @ Gilmer St_064131,50966
7008,6.72194444444,A,33.7503117,-84.3884003,False,grta,Washington St @ MLK Jr Dr,2229186.747,1364279.041,7008_064319,224903
6882,6.74916666667,A,33.7519084,-84.3916726,False,grta,MLK Jr Dr just before Peachtree St,2228193.387,1364862.183,6882_064457,500239
6905,6.76666666667,A,33.7523188,-84.3937433,False,grta,Forsyth St @ MLK Jr Dr,2227564.331,1365012.894,6905_064600,500235
6913,6.5,A,34.1812757,-84.1428065,True,grta,Cumming P&R,2303799.208,1521026.374,6913_063000,500091
North Ave (EB) @ Peachtree St,7.41666666667,A,33.771284,-84.3854028,False,grta,North Ave (EB) @ Peachtree St,2230114.037,1371908.251,North Ave (EB) @ Peachtree St_072500,51867
6902,7.5425,A,33.7649403,-84.386791,False,grta,Ivan Allen @ Alexander St,2229687.263,1369600.875,6902_073233,51069
6888,7.57916666667,A,33.762541,-84.3874133,False,grta,Peachtree St @ Baker St,2229496.275,1368728.249,6888_073445,261219
7004,7.62694444444,A,33.760915,-84.384411,False,grta,John Portman Blvd just past Peachtree Center Ave,2230407.456,1368134.659,7004_073737,51072
7005,7.655,A,33.7587056,-84.3843126,False,grta,Courtland @ Ellis St,2230435.664,1367330.665,7005_073918,500196
7006,7.68333333333,A,33.7562437,-84.3843555,False,grta,Courtland @ Auburn Ave,2230420.734,1366434.886,7006_074100,500211
Courtland St (SB) @ Gilmer St,7.71722222222,A,33.75331818,-84.38546241,False,grta,Courtland St (SB) @ Gilmer St,2230082.05,1365371.095,Courtland St (SB) @ Gilmer St_074302,50966
7008,7.75722222222,A,33.7503117,-84.3884003,False,grta,Washington St @ MLK Jr Dr,2229186.747,1364279.041,7008_074526,224903
6882,7.79361111111,A,33.7519084,-84.3916726,False,grta,MLK Jr Dr just before Peachtree St,2228193.387,1364862.183,6882_074737,500239
6905,7.81666666667,A,33.7523188,-84.3937433,False,grta,Forsyth St @ MLK Jr Dr,2227564.331,1365012.894,6905_074900,500235
6913,7.0,A,34.1812757,-84.1428065,True,grta,Cumming P&R,2303799.208,1521026.374,6913_070000,500091
North Ave (EB) @ Peachtree St,8.2,A,33.771284,-84.3854028,False,grta,North Ave (EB) @ Peachtree St,2230114.037,1371908.251,North Ave (EB) @ Peachtree St_081200,51867
6902,8.32583333333,A,33.7649403,-84.386791,False,grta,Ivan Allen @ Alexander St,2229687.263,1369600.875,6902_081933,51069
6888,8.3625,A,33.762541,-84.3874133,False,grta,Peachtree St @ Baker St,2229496.275,1368728.249,6888_082145,261219
7004,8.41027777778,A,33.760915,-84.384411,False,grta,John Portman Blvd just past Peachtree Center Ave,2230407.456,1368134.659,7004_082437,51072
7005,8.43833333333,A,33.7587056,-84.3843126,False,grta,Courtland @ Ellis St,2230435.664,1367330.665,7005_082618,500196
7006,8.46666666667,A,33.7562437,-84.3843555,False,grta,Courtland @ Auburn Ave,2230420.734,1366434.886,7006_082800,500211
Courtland St (SB) @ Gilmer St,8.50055555556,A,33.75331818,-84.38546241,False,grta,Courtland St (SB) @ Gilmer St,2230082.05,1365371.095,Courtland St (SB) @ Gilmer St_083002,50966
7008,8.54055555556,A,33.7503117,-84.3884003,False,grta,Washington St @ MLK Jr Dr,2229186.747,1364279.041,7008_083226,224903
6882,8.57694444444,A,33.7519084,-84.3916726,False,grta,MLK Jr Dr just before Peachtree St,2228193.387,1364862.183,6882_083437,500239
6905,8.6,A,33.7523188,-84.3937433,False,grta,Forsyth St @ MLK Jr Dr,2227564.331,1365012.894,6905_083600,500235
