stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
799,6.03333333333,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_060200,286241
204,6.06666666667,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_060400,500053
185,6.11666666667,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_060700,80538
206,6.16666666667,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_061000,81307
800,6.23333333333,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_061400,81440
232,6.28333333333,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_061700,500061
801,6.31666666667,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_061900,500062
27,6.15,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_060900,233006
28,6.2,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_061200,281207
485,6.25,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_061500,48047
470,6.26666666667,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_061600,48276
796,6.28333333333,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_061700,50832
797,6.3,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_061800,281277
201,6.31666666667,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_061900,50953
798,6.35,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_062100,300648
799,6.4,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_062400,286241
204,6.43333333333,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_062600,500053
185,6.48333333333,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_062900,80538
206,6.53333333333,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_063200,81307
800,6.6,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_063600,81440
232,6.65,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_063900,500061
801,6.68333333333,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_064100,500062
27,6.31666666667,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_061900,233006
28,6.36666666667,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_062200,281207
485,6.41666666667,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_062500,48047
470,6.43333333333,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_062600,48276
796,6.45,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_062700,50832
797,6.46666666667,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_062800,281277
201,6.48333333333,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_062900,50953
798,6.51666666667,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_063100,300648
799,6.56666666667,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_063400,286241
204,6.6,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_063600,500053
185,6.65,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_063900,80538
206,6.7,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_064200,81307
800,6.76666666667,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_064600,81440
232,6.81666666667,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_064900,500061
801,6.85,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_065100,500062
27,6.48333333333,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_062900,233006
28,6.53333333333,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_063200,281207
485,6.58333333333,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_063500,48047
470,6.6,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_063600,48276
796,6.61666666667,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_063700,50832
797,6.63333333333,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_063800,281277
