stop_id,stop_name,stop_lat,stop_lon,has_park,GridID,nodeid_before,type,geometry,x,y,nodeid,p_n_dist
6924,10900 Medlock Bridge Rd (S),34.0482027,-84.1774811,FALSE,292,111323,grta,POINT (2293307.668370982 1472601.998951324),2293307.668,1472601.999,111323,0.022732389
6907,17th St @ Market St,33.791328,-84.3947732,FALSE,249,196778,grta,POINT (2227282.709961289 1379207.826423506),2227282.71,1379207.826,196778,0.023726397
7010,17th St just before Spring St,33.79197,-84.3889368,FALSE,249,52012,grta,POINT (2229056.363317962 1379437.555138229),2229056.363,1379437.555,52012,0.018393329
6934,5510 Spalding Dr (S),33.9699886,-84.2231917,FALSE,291,330368,grta,POINT (2279446.337074823 1444145.845364194),2279446.337,1444145.845,330368,0.009276466
6935,5515 Spalding Dr (N),33.9702326,-84.2231058,FALSE,291,330368,grta,POINT (2279472.428708046 1444234.617682074),2279472.429,1444234.618,330368,0.013208447
6937,5664 Peachtree Parkway (N),33.9637523,-84.2245311,FALSE,291,210003,grta,POINT (2279038.983528063 1441876.809653012),2279038.984,1441876.81,210003,0.104332422
6938,6155 Peachtree Parkway (S),33.9513523,-84.2348599,FALSE,291,330359,grta,POINT (2275904.31731082 1437366.634023214),2275904.317,1437366.634,330359,0.00420822
6923,Across from 11315 Johns Creek Pkwy (N),34.0559828,-84.1698421,FALSE,293,275467,grta,POINT (2295621.590096983 1475432.899038329),2295621.59,1475432.899,275467,0.030133289
STOP_9d288c5e-3b4d-4947-b8d7-dc21063358e0,Acworth P&R,34.0772609,-84.6564603,TRUE,173,993534,grta,POINT (2148276.024936845 1483530.862225101),2148276.025,1483530.862,32326,0.044340069
6886,Baker St @ Peachtree St,33.7623448,-84.3870378,FALSE,248,500174,grta,POINT (2229610.240852474 1368656.614197379),2229610.241,1368656.614,500174,0.016624623
6878,Baker St @ Williams St,33.7623537,-84.3902779,FALSE,248,50923,grta,POINT (2228625.545686926 1368661.972935911),2228625.546,1368661.973,50923,0.014659685
6975,BrandsMart P&R,33.5470729,-84.2854893,TRUE,265,993520,grta,POINT (2260381.892808706 1290276.717759567),2260381.893,1290276.718,325745,0.09657781
6962,Canton P&R (Boling Park),34.2301432,-84.5006213,TRUE,215,993538,grta,POINT (2195645.667519417 1538973.577709935),2195645.668,1538973.578,340622,0.032293231
Central Ave (NB) @ MLK Jr Dr,Central Ave (NB) @ MLK Jr Dr,33.75104813,-84.38966002,FALSE,248,276948,grta,POINT (2228804.429655278 1364547.829465066),2228804.43,1364547.829,276948,0.014178928
STOP_36f0d156-f1de-42de-9fd7-dffb4853afbc,Central Ave @ Garnett St,33.7475908,-84.3921232,FALSE,248,300062,grta,POINT (2228052.993637626 1363291.446494868),2228052.994,1363291.446,300062,0.013953162
6881,Central Ave @ Mitchell St,33.7494285,-84.3907499,FALSE,248,50617,grta,POINT (2228471.879088573 1363959.216373536),2228471.879,1363959.216,50617,0.015584017
7000,Central Ave @ Wall St,33.7524258,-84.3883789,FALSE,248,13230,grta,POINT (2229194.905001078 1365048.279679474),2229194.905,1365048.28,13230,0.012303553
7006,Courtland @ Auburn Ave,33.7562437,-84.3843555,FALSE,248,500211,grta,POINT (2230420.734209103 1366434.885779067),2230420.734,1366434.886,500211,0.008858961
7005,Courtland @ Ellis St,33.7587056,-84.3843126,FALSE,248,500196,grta,POINT (2230435.663813871 1367330.66522055),2230435.664,1367330.665,500196,0.022364323
