stop_id,stop_name,stop_lat,stop_lon,hasPark
6924,10900 Medlock Bridge Rd (S),34.0482027,-84.1774811,FALSE
6907,17th St @ Market St,33.791328,-84.3947732,FALSE
7010,17th St just before Spring St,33.79197,-84.3889368,FALSE
6934,5510 Spalding Dr (S),33.9699886,-84.2231917,FALSE
6935,5515 Spalding Dr (N),33.9702326,-84.2231058,FALSE
6937,5664 Peachtree Parkway (N),33.9637523,-84.2245311,FALSE
6938,6155 Peachtree Parkway (S),33.9513523,-84.2348599,FALSE
6923,Across from 11315 Johns Creek Pkwy (N),34.0559828,-84.1698421,FALSE
STOP_9d288c5e-3b4d-4947-b8d7-dc21063358e0,Acworth P&R,34.0772609,-84.6564603,TRUE
6886,Baker St @ Peachtree St,33.7623448,-84.3870378,FALSE
6878,Baker St @ Williams St,33.7623537,-84.3902779,FALSE
6975,BrandsMart P&R,33.5470729,-84.2854893,TRUE
6962,Canton P&R (Boling Park),34.2301432,-84.5006213,TRUE
Central Ave (NB) @ MLK Jr Dr,Central Ave (NB) @ MLK Jr Dr,33.75104813,-84.38966002,FALSE
STOP_36f0d156-f1de-42de-9fd7-dffb4853afbc,Central Ave @ Garnett St,33.7475908,-84.3921232,FALSE
6881,Central Ave @ Mitchell St,33.7494285,-84.3907499,FALSE
7000,Central Ave @ Wall St,33.7524258,-84.3883789,FALSE
7006,Courtland @ Auburn Ave,33.7562437,-84.3843555,FALSE
7005,Courtland @ Ellis St,33.7587056,-84.3843126,FALSE
Courtland St (SB) @ Gilmer St,Courtland St (SB) @ Gilmer St,33.75331818,-84.38546241,FALSE
6913,Cumming P&R,34.1812757,-84.1428065,TRUE
7160,Dacula P&R (Hebron Baptist Church),33.9987655,-83.9070511,TRUE
6942,Doraville MARTA Station,33.9024615,-84.280586,TRUE
6956,Douglas Multi Modal Center P&R,33.7432997,-84.7262299,TRUE
6970,Dunwoody MARTA,33.9213639,-84.3442726,FALSE
6972,East Conyers P&R (Springfield Church),33.6412408,-83.9868414,TRUE
6905,Forsyth St @ MLK Jr Dr,33.7523188,-84.3937433,FALSE
6930,Forum @ 5555 Ptree Pkwy (S),33.9810764,-84.215666,FALSE
6931,GA 141,33.9809176,-84.2152161,FALSE
6925,GA 141 @ Abbotts Br ShpCtr (N),34.0467209,-84.1781636,FALSE
6927,GA 141 @ Medlock Br Pkwy (N),34.0294378,-84.1866944,FALSE
6926,GA 141 @ Medlock Br Pkwy (S),34.0292595,-84.1871168,FALSE
6929,GA 141 @ Medlock Crossing ShpCtr (S),34.0172921,-84.1904481,FALSE
10973355,GA 141 @ Parsons Rd (N),34.0401782,-84.1842949,FALSE
10973356,GA 141 @ Parsons Rd (S),34.0402493,-84.1845202,FALSE
6928,GA 141@ State Br Corners ShpCtr (N),34.0171449,-84.190027,FALSE
6991,Hamilton Mill P&R,34.0751992,-83.9215887,TRUE
6951,Hampton P&R (Boothe's Crossing),33.3815011,-84.2997479,TRUE
6936,HCA @ 5707 Peachtree Parkway (S),33.9641971,-84.2247725,FALSE
STOP_b4c9d917-9de4-4086-ab79-b4036873b927,Hewatt Rd P&R,33.8393561,-84.0598619,TRUE
STOP_02b00696-312d-447b-959a-147470685d50,Hiram P&R,33.8852642,-84.7392011,TRUE
6902,Ivan Allen @ Alexander St,33.7649403,-84.386791,FALSE
6974,JC Pkwy @ Commerce Way (N),34.0717541,-84.1651071,FALSE
6921,JC Pkwy @ E Johns Crossing (N),34.0632101,-84.1645968,FALSE
6917,JC Pkwy @ Johns Creek Ct (N),34.0682583,-84.1618609,FALSE
6889,John Portman Blvd @ Peachtree St,33.7609177,-84.3878424,FALSE
7004,John Portman Blvd just past Peachtree Center Ave,33.760915,-84.384411,FALSE
6969,Jonesboro P&R,33.5242952,-84.3620825,TRUE
