route_id,service_id,trip_id,direction_id,block_id,shape_id
Cumming to Downtown,A,400 - Cumming - 1540_20160909_99991231_20160906_99991231_2,0,,Downtown to Cumming (PM)_Aug  9 2016  4:29:51:140PM
Cumming to Downtown,A,400 - Cumming - 1610_Aug  4 2016  2:25:46:013PM_20160909_99991231_20160906_99991231_2,0,40052,Downtown to Cumming (PM)_Aug  9 2016  4:29:51:140PM
Cumming to Downtown,A,400 - Cumming - 1710_20160909_99991231_20160906_99991231_2,0,,Downtown to Cumming (PM)_Aug  9 2016  4:29:51:140PM
Cumming to Downtown,A,400 - Downtown - 0540_20160909_99991231_20160906_99991231_2,0,40001,Cumming to Downtown (AM)
Cumming to Downtown,A,400 - Downtown - 0630_20160909_99991231_20160906_99991231_2,0,40002,Cumming to Downtown (AM)
Cumming to Downtown,A,400 - Downtown - 0700_20160909_99991231_20160906_99991231_2,0,40003,Cumming to Downtown (AM)
401 - Cumming to Perimeter,A,401 - Cumming - 1630_20160909_99991231_20160906_99991231_2,0,,Perimeter to Cumming (PM)
401 - Cumming to Perimeter,A,401 - Cumming - 1730_20160909_99991231_20160906_99991231_2,0,,Perimeter to Cumming (PM)
401 - Cumming to Perimeter,A,401 - Cumming - 1835_20160909_99991231_20160906_99991231_2,0,,Perimeter to Cumming (PM)
401 - Cumming to Perimeter,A,401 - Perimeter - 0550_20160909_99991231_20160906_99991231_2,0,,Cumming to Perimeter (AM)_Aug 22 2016  9:47:34:447AM
401 - Cumming to Perimeter,A,401 - Perimeter - 0640_20160909_99991231_20160906_99991231_2,0,,Cumming to Perimeter (AM)_Aug 22 2016  9:47:34:447AM
401 - Cumming to Perimeter,A,401 - Perimeter - 0725_20160909_99991231_20160906_99991231_2,0,,Cumming to Perimeter (AM)_Aug 22 2016  9:47:34:447AM
408 - Johns Creek to Doraville,A,408 - Doraville - 0700_20160909_99991231_20160906_99991231_2,0,,Johns Creek to Doraville (AM)_Jul 27 2016 12:00:37:277PM
408 - Johns Creek to Doraville,A,408 - Doraville - 0800_20160909_99991231_20160906_99991231_2,0,,Johns Creek to Doraville (AM)_Jul 27 2016 12:00:37:277PM
408 - Johns Creek to Doraville,A,408 - Doraville - 1605_20160909_99991231_20160906_99991231_2,0,,Johns Creek to Doraville (PM)_Jul 27 2016 11:58:35:250AM
408 - Johns Creek to Doraville,A,408 - Doraville - 1705_20160909_99991231_20160906_99991231_2,0,,Johns Creek to Doraville (PM)_Jul 27 2016 11:58:35:250AM
408 - Johns Creek to Doraville,A,408 - Doraville - 1820_20160909_99991231_20160906_99991231_2,0,,Johns Creek to Doraville (PM)_Jul 27 2016 11:58:35:250AM
408 - Johns Creek to Doraville,A,408 - Johns Creek - 0610_20160909_99991231_20160906_99991231_2,0,408-1,Doraville to Johns Creek (AM)
408 - Johns Creek to Doraville,A,408 - Johns Creek - 0705_20160909_99991231_20160906_99991231_2,0,,Doraville to Johns Creek (AM)
408 - Johns Creek to Doraville,A,408 - Johns Creek - 0800_20160909_99991231_20160906_99991231_2,0,,Doraville to Johns Creek (AM)
