stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,ModeType
280,907913,NORTH AVENUE STATION,713 W PEACHTREE ST NW & NORTH AVE NE,33.771472,-84.387258,,,,,,0,rail
281,907914,NORTH AVENUE STATION,713 W PEACHTREE ST NW & UNNAMED ST,33.771741,-84.387204,,,,,,0,rail
822,907845,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931671,-84.351069,,,,,,0,rail
823,907846,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931564,-84.35096,,,,,,0,rail
40910,903009,DUNWOODY STATION,0 HAMMOND DR NE & PERIMETER CENTER PKY NE,33.920969,-84.344734,,,,,,0,rail
53,908051,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.920862,-84.344213,,,,,,0,rail
61,908047,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.92113,-84.344268,,,,,,0,rail
21950,903120,MANSELL PARK & RIDE - ON RAMP,2158 MANSELL RD,34.038139,-84.313456,,,,,,0,rail
21951,903177,MANSELL PARK & RIDE - IN LOT,2158 MANSELL RD,34.038643,-84.313173,,,,,,0,rail
10266,902641,WINDWARD PARK & RIDE,200 DRYDEN RD,34.085992,-84.260559,,,,,,0,bus
42900,905508,DORAVILLE STATION,0 NEW PEACHTREE RD & CENTRAL AVE,33.902424,-84.280467,,,,,,0,rail
375,908862,DORAVILLE STATION,6000 NEW PEACHTREE RD & PARK AVE,33.902411,-84.281166,,,,,,0,rail
384,908845,DORAVILLE STATION,6000 NEW PEACHTREE RD & LENOX RD NE,33.902787,-84.28061,,,,,,0,rail
814,908603,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887929,-84.305556,,,,,,0,rail
815,908604,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887517,-84.306362,,,,,,0,rail
46900,905514,CHAMBLEE STATION - EAST LOOP,0 PEACHTREE  RD & MALONE  DR,33.887675,-84.305039,,,,,,0,rail
46901,905515,CHAMBLEE STATION - WEST LOOP,0 PEACHTREE  RD & MALONE  DR,33.888495,-84.305504,,,,,,0,rail
53900,905697,BROOKHAVEN/OGLETHORPE STATION,4047 PEACHTREE RDNE,33.86025,-84.339147,,,,,,0,rail
83,908186,BROOKHAVEN-OGLETHORPE STATION,4067 PEACHTREE RD NE & LENOX RD NE,33.860329,-84.339245,,,,,,0,rail
84,908187,BROOKHAVEN-OGLETHORPE STATION,4047 PEACHTREE RD NE & LENOX RD NE,33.859989,-84.339397,,,,,,0,rail
52500,905666,LENOX STATION,LENOX RD NE & E PACES FERRY RD NE,33.845245,-84.358006,,,,,,0,rail
243,908717,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845307,-84.358387,,,,,,0,rail
250,906827,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845388,-84.358235,,,,,,0,rail
57,908054,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823385,-84.369357,,,,,,0,rail
58,908055,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823492,-84.369324,,,,,,0,rail
59900,902144,LINDBERGH STATION - SOUTH LOOP,0 LINDBERGH DR NE,33.821192,-84.36941,,,,,,0,rail
59901,902145,LINDBERGH CENTER STATION - NORTH LOOP,0 PIEDMONT RD  NE & LINDBERGH DR NE,33.823072,-84.36995,,,,,,0,rail
