service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,0,0,20170104,20170414
28,0,0,0,0,0,0,0,20170104,20170414
23,0,0,0,0,0,0,0,20170104,20170414
24,0,0,0,0,0,0,0,20170104,20170414
25,0,0,0,0,0,0,0,20170104,20170414
26,0,0,0,0,0,0,0,20170104,20170414
27,0,0,0,0,0,0,0,20170104,20170414
29,0,0,0,0,0,0,0,20170104,20170414
31,0,0,0,0,0,0,0,20170104,20170414
2,0,0,0,0,0,0,0,20170104,20170414
3,0,0,0,0,0,1,0,20170104,20170414
4,0,0,0,0,0,0,1,20170104,20170414
5,1,1,1,1,1,0,0,20170104,20170414
21,0,0,0,0,0,0,0,20170104,20170414
33,0,0,0,0,0,0,0,20170104,20170414
34,0,0,0,0,0,0,0,20170104,20170414
105,0,0,0,0,0,0,0,20170104,20170414
205,0,0,0,0,0,0,0,20170104,20170414
