service_id,date,exception_type
105,20170206,1
105,20170207,1
105,20170208,1
105,20170209,1
105,20170210,1
105,20170213,1
105,20170214,1
105,20170215,1
105,20170216,1
105,20170221,1
105,20170222,1
105,20170223,1
105,20170224,1
105,20170227,1
105,20170228,1
105,20170301,1
105,20170302,1
105,20170303,1
105,20170306,1
105,20170307,1
105,20170308,1
105,20170309,1
105,20170310,1
105,20170313,1
105,20170314,1
105,20170315,1
105,20170316,1
105,20170317,1
105,20170320,1
105,20170321,1
105,20170322,1
105,20170323,1
105,20170324,1
105,20170327,1
105,20170328,1
105,20170329,1
105,20170330,1
105,20170331,1
105,20170409,1
105,20170410,1
105,20170411,1
105,20170412,1
105,20170413,1
105,20170414,1
205,20170217,1
205,20170220,1
205,20170403,1
205,20170404,1
205,20170405,1
205,20170406,1
205,20170407,1
