stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,GridID,nodeid_before,x,y,nodeid,p_n_dist
27,907933,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754553,-84.469302,,,,,,0,POINT (2204600.890841818 1365884.83399323),228,990002,2204600.891,1365884.834,233006,0.081603199
28,908023,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753328,-84.445329,,,,,,0,POINT (2211886.020171736 1365418.557401483),228,990003,2211886.02,1365418.557,281207,0.041499782
39,907906,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753247,-84.445568,,,,,,0,POINT (2211813.297990013 1365389.280436665),228,990003,2211813.298,1365389.28,281207,0.02752714
40,907907,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754517,-84.469824,,,,,,0,POINT (2204442.196013186 1365872.20075255),228,990002,2204442.196,1365872.201,46343,0.086685214
53,908051,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.920862,-84.344213,,,,,,0,POINT (2242724.702296362 1426311.589293454),251,500079,2242724.702,1426311.589,269468,0.01896901
57,908054,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823385,-84.369357,,,,,,0,POINT (2235027.331706561 1390856.292230765),249,990030,2235027.332,1390856.292,57742,0.122125516
58,908055,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823492,-84.369324,,,,,,0,POINT (2235037.430306905 1390895.206790145),249,990030,2235037.43,1390895.207,57742,0.119666155
61,908047,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.92113,-84.344268,,,,,,0,POINT (2242708.186730644 1426409.137307591),251,990033,2242708.187,1426409.137,269468,0.03698586
83,908186,BROOKHAVEN-OGLETHORPE STATION,4067 PEACHTREE RD NE & LENOX RD NE,33.860329,-84.339245,,,,,,0,POINT (2244194.750747096 1404282.536671964),250,990037,2244194.751,1404282.537,500083,0.028177114
84,908187,BROOKHAVEN-OGLETHORPE STATION,4047 PEACHTREE RD NE & LENOX RD NE,33.859989,-84.339397,,,,,,0,POINT (2244148.401145777 1404158.897042686),250,990037,2244148.401,1404158.897,244136,0.040293827
111,906369,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 16TH ST NW,33.789669,-84.387414,,,,,,0,POINT (2229517.205698148 1378599.295188795),249,990029,2229517.206,1378599.295,285784,0.025570038
112,906370,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 15TH ST NE,33.788828,-84.387272,,,,,,0,POINT (2229559.692094075 1378293.188076255),249,990029,2229559.692,1378293.188,500076,0.031974084
133,908374,MIDTOWN  STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781247,-84.386342,,,,,,0,POINT (2229836.361149365 1375534.087520043),249,990028,2229836.361,1375534.088,233609,0.014928377
134,908375,MIDTOWN STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781355,-84.386353,,,,,,0,POINT (2229833.102643139 1375573.392558004),249,990028,2229833.103,1375573.393,233609,0.007546535
185,908566,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765241,-84.312937,,,,,,0,POINT (2252131.767795356 1369670.404469573),268,990012,2252131.768,1369670.404,80538,0.02260817
