stops_link,distance
153056_153058,0.2026
115176_115180,0.191
99971822_99971823,0.2671
69356_99972303,0.2691
200020_197036,0.7633
99340_99912,0.1608
130204_130144,0.171
106178_106184,0.2841
804_805,2.2917
40918_40300,0.1882
102150_102132,0.1489
85218_85220,0.2442
98112_98114,0.1902
128152_128176,0.363
55072_99971911,0.2223
999964_58102,0.4803
78252_78254,0.2046
134092_134050,1.6745
87084_86192,0.5826
99973039_99973040,0.4782
73062_73064,0.3667
41011_47132,0.2756
99971198_99970725,1.042
107124_107126,0.1691
55012_55014,0.4623
99971940_99971941,0.202
99972855_99972845,0.5005
68070_68072,0.1685
115216_99972306,0.1141
99972887_99972888,0.5152
100080_100082,0.1542
37022_37076,0.2631
140150_140154,0.206
146354_146215,0.2387
99971817_99973260,0.3182
99970822_99971039,0.3994
58098_58028,0.128
66108_66183,0.1402
99971307_99971369,0.9868
137014_99970881,0.2871
99294_99292,0.149
86118_85522,0.1284
153016_153054,0.1672
99973085_99973086,0.2425
999780_16028,0.2096
99973346_99973402,0.4099
62114_62220,0.1435
120016_97046,0.2015
53182_53186,0.5667
99970088_99970081,0.4842
107084_107082,0.1161
134106_99970553,0.6658
158392_158106,0.2082
66068_66064,0.2749
130134_130136,0.098
166102_166106,0.129
114080_114078,0.1231
99973003_99973004,0.2634
54094_54096,0.1574
87006_87008,0.1228
42024_42025,0.5267
190024_14048,0.3369
99972350_999918,0.3644
99972073_99972069,0.2137
98082_98084,0.1266
82080_82078,0.2413
85070_85066,0.3331
54124_54128,0.4034
67071_67072,0.2034
39065_39086,0.122
999810_136104,0.187
99972313_147070,0.1571
123148_123150,0.0994
100170_99973303,0.1701
77536_77090,0.3093
68034_68038,0.0861
121023_64040,0.2579
128186_128156,0.1742
113004_113005,0.1
106433_106426,0.208
165002_165004,0.165
122086_122088,0.138
63072_63074,0.1614
71316_71318,0.1513
144097_144098,0.1677
99972598_99973320,0.229
128042_128190,0.3739
121040_145016,0.4472
107226_107224,0.107
140120_140122,0.138
99972586_99972587,0.2695
99971323_99971324,0.1991
99920_99148,0.12
42100_99972347,0.7729
74018_73068,1.6502
72014_72016,0.2363
107166_107168,0.161
99972563_99972564,0.5418
176090_176092,0.2096
15044_14038,0.1832
120076_120078,0.2703
40152_40298,0.3363
62016_62018,0.4096
88098_88102,0.287
55144_55142,0.1622
85332_85556,0.305
99970355_99970353,0.3391
124060_124058,0.133
64026_64028,0.4972
97161_97162,0.1131
106028_106030,0.1741
105094_105096,0.1714
99971596_53306,0.2268
66020_66022,0.1624
108146_108078,0.2016
73162_73056,0.1969
103026_99970990,0.4776
105203_105370,0.2071
146100_146102,0.1139
79106_79108,0.2343
132116_132010,0.181
99972953_99972954,0.3608
146382_146290,0.1467
49040_56086,0.3366
195_804,1.2618
129262_129028,0.3832
122048_122050,0.1775
106294_106296,0.181
66134_66136,0.1626
98118_98120,0.1635
137006_137048,0.124
70116_84316,0.3154
73080_73154,0.2706
151014_151008,0.255
77192_77194,0.2584
15066_15028,0.6039
79009_101133,0.317
99970564_54132,0.5371
99970563_99970528,0.6073
53256_53258,0.3011
98130_99973176,0.3789
175024_99970412,0.2384
131086_108124,0.214
56086_56008,0.586
99970899_99971155,0.1634
183026_183032,0.2816
99972504_99972505,0.2981
79010_79012,0.2298
102078_102210,0.1542
121165_121050,0.2826
150034_150036,0.2201
54178_54180,0.5564
59014_59016,0.1514
84378_84382,0.1359
99970346_99970348,0.4097
99971945_99196,0.1463
41010_41028,0.1141
79316_79324,0.3166
99972309_122018,0.127
100086_99306,0.1321
66562_66005,0.0963
99971824_99972316,0.1116
59244_59260,0.6136
99214_99216,0.1097
114166_114168,0.1691
159309_159314,0.462
77462_77122,0.2279
118036_118090,0.1828
60320_60220,0.328
55026_55028,0.2487
99972507_99972508,0.6324
99973392_99970522,0.2892
146372_146018,0.1261
99972484_99972485,0.3718
68900_999795,0.5898
80350_68276,0.1409
100028_100046,0.156
99972048_74262,0.3299
78244_78245,0.2676
98086_98088,0.4773
97234_97236,0.2035
99972952_99972953,0.7068
68260_68262,0.3812
60154_60158,0.2089
110002_110004,0.2046
54238_54078,0.1204
99973407_60110,0.42
101134_101464,0.086
59218_59222,0.3252
73134_73186,0.105
10186_10150,0.5027
197040_190034,0.791
98136_98138,0.2755
99404_99479,0.1129
814_384,3.3949
82034_82036,0.2191
46052_99970372,0.3727
147010_147012,0.1862
14014_14018,0.3123
101040_101038,0.1352
99973087_99973023,0.4323
48073_48074,0.1741
130090_103083,12.5673
99972904_99972905,1.7845
148022_148024,0.1192
108068_108064,0.2818
99971580_99430,0.0988
99970020_146330,0.2304
110024_110026,0.4884
128084_128086,0.1246
127021_127016,0.3131
106394_106400,0.2747
99972547_99972666,0.3062
184050_184052,0.3111
77284_77286,0.2606
99972693_99972488,0.3551
42074_42076,0.3603
99973321_99972593,0.2414
99971955_47292,0.5222
106226_106448,0.2191
69140_69144,0.3414
99972805_99972806,0.5429
42092_42094,0.3363
99971640_74088,0.1906
145314_145046,0.3708
61008_61006,0.1563
71304_71306,0.2049
132020_132018,0.2117
100014_100016,0.12
63092_63076,0.2108
99972970_129952,0.3319
99973185_121134,0.255
52048_52046,0.227
99970405_99970406,0.2762
184094_184064,0.2535
120108_120106,0.1447
107096_107142,0.2051
102294_102289,0.1964
99971873_78498,0.2113
78472_78076,0.1805
78358_78360,0.11
106056_106058,0.186
130106_130108,0.2166
83114_83112,0.1543
105074_105075,0.2291
99969881_87050,0.2701
41170_41160,0.3185
10256_99973345,0.4509
99970554_131077,0.1025
99971733_129070,0.3106
106176_107050,0.4096
53084_53090,0.3079
99970624_99969886,0.2992
99971856_146080,0.1625
113106_113108,0.1106
77434_77304,0.2811
79176_79008,0.3435
64066_64068,0.2542
150069_159296,0.0993
137069_148082,0.2081
99170_99168,0.1755
75030_74270,0.1542
70280_69284,0.1305
130214_130058,0.2173
10274_99973245,0.337
131005_131166,0.3963
99973000_99972814,0.3633
53_394,1.6197
61_822,1.5597
99086_99088,0.111
138080_125138,0.1621
99973232_99973231,0.168
48160_55012,0.1799
83156_99971962,0.064
78528_770902,0.1435
77126_77476,0.3479
99971046_98142,0.1575
106120_106122,0.1212
99973389_129066,0.3399
99973405_130062,0.2756
85082_85078,0.1171
68066_68067,0.2458
15082_15092,0.3796
78390_78392,0.0975
121084_121086,0.2161
99970523_99973207,0.2729
145068_145066,0.2711
99973262_99973235,0.3531
64048_64096,0.2068
151010_151012,0.2005
116093_116094,0.1371
117016_117014,0.104
99971215_99971216,0.3407
128108_128110,0.1666
82178_81150,0.1972
47120_47124,0.3933
74119_74132,0.2256
58019_58020,0.1092
15014_15015,0.1756
41006_99972447,0.7561
67184_67182,0.2622
151109_151032,0.0868
59216_59901,0.8728
71106_72008,0.4318
109040_109005,0.5196
132022_132024,0.3559
99972696_99972697,0.5138
99971291_130184,0.3157
63023_63024,0.1872
127056_127058,0.2081
99971989_99972345,0.1662
115204_115164,0.2181
99971892_99971901,0.3351
59024_59030,0.3011
184044_184029,0.1594
99973100_99973196,0.4965
72268_72080,0.2972
999972_99973143,0.1741
77122_77464,0.106
106098_106100,0.2423
122090_122092,0.138
99970421_99970419,0.351
176214_176234,0.4985
53030_53176,0.2917
85434_85546,0.2969
139016_139018,0.1821
107266_107350,0.1442
129070_99970998,0.11
133040_99970370,0.3259
15068_15048,0.3171
129030_99972342,0.2983
99972369_99970020,0.154
53022_53516,0.4458
98004_78014,0.0785
71192_999792,0.1318
66322_66324,0.159
79234_99901,0.421
121116_121115,0.3457
99971944_99262,0.1326
99972667_99973078,0.6508
78400_78404,0.3064
166062_166064,0.165
87901_99971350,3.9844
99972435_99972377,0.5534
99971331_99971298,0.4812
100128_100132,0.1499
131133_131002,0.4323
146090_146092,0.1226
115170_115166,0.163
146086_146088,0.1208
190004_191011,0.3378
106122_106124,0.1425
105178_105180,0.131
85254_85256,0.2638
153058_153090,0.2121
99972718_99972719,0.438
190022_191090,1.1214
