veh_type,speed_mph,energyrate_kjpermile,energyrate_kjperhr,energyrate_kwhpermile,energyrate_kwhperhr
drive,1,62573.87279,62573.87279,17.38163133,17.38163133
drive,2,31286.93639,62573.87278,8.690815664,17.38163133
drive,3,21315.55897,63946.67691,5.920988603,17.76296581
drive,4,16673.09673,66692.38692,4.631415758,18.52566303
drive,5,13887.6,69438,3.857666667,19.28833333
drive,6,12030.61818,72183.70908,3.341838383,20.0510303
drive,7,10704.18499,74929.29493,2.973384719,20.81369304
drive,8,9709.368693,77674.94954,2.697046859,21.57637487
drive,9,8948.031415,80532.28274,2.485564282,22.37007854
drive,10,8367.551412,83675.51412,2.324319837,23.24319837
drive,11,7892.61292,86818.74212,2.192392478,24.11631726
drive,12,7496.825634,89961.90761,2.082451565,24.98941878
drive,13,7161.937797,93105.19136,1.989427166,25.86255316
drive,14,6874.88654,96248.41156,1.909690706,26.73566988
drive,15,6626.110443,99391.65665,1.840586234,27.60879351
drive,16,6390.344137,102245.5062,1.775095594,28.4015295
drive,17,6135.603244,104305.2551,1.704334234,28.97368199
drive,18,5909.165021,106364.9704,1.641434728,29.54582511
drive,19,5706.561801,108424.6742,1.585156056,30.11796506
drive,20,5524.216037,110484.3207,1.534504455,30.69008909
drive,21,5369.196656,112753.1298,1.491443516,31.32031383
drive,22,5242.557631,115336.2679,1.456266009,32.03785219
drive,23,5126.92965,117919.382,1.424147125,32.75538388
drive,24,5020.937441,120502.4986,1.394704845,33.47291627
drive,25,4923.427021,123085.6755,1.367618617,34.19046542
drive,26,4833.414936,125668.7883,1.34261526,34.90799676
drive,27,4750.071832,128251.9395,1.319464398,35.62553874
drive,28,4672.682295,130835.1043,1.297967304,36.34308452
drive,29,4600.628464,133418.2255,1.277952351,37.06061818
drive,30,4533.379381,136001.3814,1.25927205,37.77816151
drive,31,4483.768854,138996.8345,1.245491348,38.6102318
drive,32,4450.143241,142404.5837,1.2361509,39.55682881
drive,33,4418.55753,145812.3985,1.227377092,40.50344403
drive,34,4388.827258,149220.1268,1.219118683,41.45003521
drive,35,4360.799197,152627.9719,1.21133311,42.39665886
drive,36,4334.324726,156035.6901,1.203979091,43.34324726
drive,37,4309.283037,159443.4724,1.197023066,44.28985344
drive,38,4285.556898,162851.1621,1.190432472,45.23643392
drive,39,4263.047382,166258.8479,1.184179828,46.18301331
drive,40,4241.668423,169666.7369,1.178241229,47.12964914
drive,41,4221.332905,173074.6491,1.172592474,48.07629142
drive,42,4201.965565,176482.5537,1.167212657,49.02293159
drive,43,4183.494153,179890.2486,1.162081709,49.96951349
drive,44,4165.86262,183297.9553,1.157184061,50.91609869
drive,45,4149.017272,186705.7772,1.152504798,51.8627159
drive,46,4132.901764,190113.4811,1.148028268,52.80930032
drive,47,4107.814829,193067.297,1.141059675,53.62980471
drive,48,4082.327984,195951.7432,1.133979996,54.43103979
drive,49,4057.885478,198836.3884,1.127190411,55.23233012
drive,50,4034.418781,201720.9391,1.120671884,56.03359418
drive,51,4011.877566,204605.7559,1.114410435,56.83493219
drive,52,3990.197726,207490.2818,1.108388257,57.63618938
drive,53,3969.336161,210374.8165,1.102593378,58.43744904
drive,54,3949.247845,213259.3836,1.09701329,59.23871768
drive,55,3929.893796,216144.1588,1.091637166,60.04004411
drive,56,3911.227656,219028.7487,1.086452127,60.84131909
drive,57,3893.216799,221913.3575,1.081449111,61.64259932
drive,58,3875.828181,224798.0345,1.076618939,62.44389847
drive,59,3864.142273,227984.3941,1.073372854,63.32899836
drive,60,3872.356268,232341.3761,1.075654519,64.53927113
drive,61,3880.293877,236697.9265,1.07785941,65.74942403
drive,62,3887.97706,241054.5777,1.079993628,66.95960492
drive,63,3895.421705,245411.5674,1.082061585,68.16987984
drive,64,3902.625443,249768.0284,1.084062623,69.38000788
drive,65,3931.747233,255563.5701,1.092152009,70.9898806
drive,66,3974.477651,262315.525,1.10402157,72.8654236
drive,67,4007.829848,268524.5998,1.113286069,74.59016662
drive,68,4035.633632,274423.087,1.121009342,76.22863527
drive,69,4062.641596,280322.2701,1.128511554,77.86729726
drive,70,4088.868839,286220.8187,1.1357969,79.50578298
drive,71,4114.362913,292119.7668,1.142878587,81.14437967
drive,72,4139.145046,298018.4433,1.149762513,82.78290092
drive,73,4163.247125,303917.0401,1.156457535,84.42140003
drive,74,4205.370789,311197.4384,1.168158553,86.44373289
drive,75,4319.640892,323973.0669,1.199900248,89.99251858
drive,76,4430.893897,336747.9362,1.23080386,93.54109338
drive,77,4373.34982,336747.9361,1.214819394,93.54109337
drive,78,4317.281233,336747.9362,1.199244787,93.54109338
