road type,fuel type,avg speed mph,energy_kjpermile,energy_kjperhr,energy_kwhpermile,energy_kwhperhr
hwy,cng,1,231973.6211,231973.6211,64.43716852,64.43716852
hwy,cng,2,117960.3708,235920.7416,32.76679588,65.53359175
hwy,cng,3,84260.48476,252781.4543,23.40570893,70.2171268
hwy,cng,4,67410.57584,269642.3034,18.72517494,74.90069974
hwy,cng,5,58061.52342,290307.6171,16.12821385,80.64106926
hwy,cng,6,52780.05029,316680.3018,14.66113681,87.96682086
hwy,cng,7,49007.53933,343052.7753,13.61321626,95.29251383
hwy,cng,8,46178.13603,369425.0883,12.82727027,102.6181622
hwy,cng,9,43977.54423,395797.8981,12.21599428,109.9439485
hwy,cng,10,42217.04364,422170.4364,11.72696595,117.2696595
hwy,cng,11,40611.2628,446723.8908,11.28091536,124.0900689
hwy,cng,12,38919.55824,467034.6989,10.81099705,129.7319646
hwy,cng,13,37488.04851,487344.6306,10.41335514,135.3736168
hwy,cng,14,36261.06233,507654.8726,10.07252537,141.0153552
hwy,cng,15,35197.71248,527965.6873,9.777150178,146.6572527
hwy,cng,16,34249.53758,547992.6013,9.513768049,152.2202888
hwy,cng,17,33387.98125,567595.6812,9.274446655,157.6655931
hwy,cng,18,32622.14524,587198.6143,9.06171426,163.1108567
hwy,cng,19,31936.91993,606801.4787,8.871373745,168.5561012
hwy,cng,20,31320.21523,626404.3046,8.700066746,174.0013349
hwy,cng,21,30694.73014,644589.333,8.526320749,179.0527357
hwy,cng,22,29868.4261,657105.3741,8.296791664,182.5294166
hwy,cng,23,29113.89785,669619.6506,8.087200317,186.0056073
hwy,cng,24,28422.27455,682134.5891,7.895082579,189.4819819
hwy,cng,25,28018.11711,700452.9278,7.782816536,194.5704134
hwy,cng,26,27868.31093,724576.0842,7.741203673,201.2712955
hwy,cng,27,27729.59104,748698.958,7.702670339,207.9720991
hwy,cng,28,27600.78056,772821.8557,7.666889623,214.6729094
hwy,cng,29,27480.85279,796944.731,7.633576327,221.3737135
hwy,cng,30,27368.91306,821067.3919,7.602481933,228.074458
