stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_park,geometry,GridID,nodeid_before,type,x,y,nodeid,p_n_dist
27,907933,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754553,-84.469302,,,,,,0,TRUE,POINT (2204600.890841818 1365884.83399323),228,990002,rail,2204600.891,1365884.834,233006,0.081603199
28,908023,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753328,-84.445329,,,,,,0,TRUE,POINT (2211886.020171736 1365418.557401483),228,990003,rail,2211886.02,1365418.557,281207,0.041499782
39,907906,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753247,-84.445568,,,,,,0,TRUE,POINT (2211813.297990013 1365389.280436665),228,990003,rail,2211813.298,1365389.28,281207,0.02752714
40,907907,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754517,-84.469824,,,,,,0,TRUE,POINT (2204442.196013186 1365872.20075255),228,990002,rail,2204442.196,1365872.201,46343,0.086685214
53,908051,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.920862,-84.344213,,,,,,0,TRUE,POINT (2242724.702296362 1426311.589293454),251,500079,rail,2242724.702,1426311.589,269468,0.01896901
57,908054,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823385,-84.369357,,,,,,0,TRUE,POINT (2235027.331706561 1390856.292230765),249,990030,rail,2235027.332,1390856.292,57742,0.122125516
58,908055,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823492,-84.369324,,,,,,0,TRUE,POINT (2235037.430306905 1390895.206790145),249,990030,rail,2235037.43,1390895.207,57742,0.119666155
61,908047,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.92113,-84.344268,,,,,,0,TRUE,POINT (2242708.186730644 1426409.137307591),251,990033,rail,2242708.187,1426409.137,269468,0.03698586
83,908186,BROOKHAVEN-OGLETHORPE STATION,4067 PEACHTREE RD NE & LENOX RD NE,33.860329,-84.339245,,,,,,0,TRUE,POINT (2244194.750747096 1404282.536671964),250,990037,rail,2244194.751,1404282.537,500083,0.028177114
84,908187,BROOKHAVEN-OGLETHORPE STATION,4047 PEACHTREE RD NE & LENOX RD NE,33.859989,-84.339397,,,,,,0,TRUE,POINT (2244148.401145777 1404158.897042686),250,990037,rail,2244148.401,1404158.897,244136,0.040293827
