A,B,A_B
10468,51086,10468_51086
10470,51773,10470_51773
50607,50546,50607_50546
500282,50740,500282_50740
50731,500282,50731_500282
51084,11741,51084_11741
11741,51114,11741_51114
50936,15658,50936_15658
15659,15658,15659_15658
50912,15662,50912_15662
15659,50912,15659_50912
51749,51750,51749_51750
51896,51897,51896_51897
51898,51897,51898_51897
51126,51148,51126_51148
51125,51126,51125_51126
51110,51111,51110_51111
51104,50950,51104_50950
50949,51104,50949_51104
51123,51125,51123_51125
51109,51110,51109_51110
51122,51123,51122_51123
51096,51100,51096_51100
51094,51096,51094_51096
50943,51089,50943_51089
50935,50938,50935_50938
50906,50905,50906_50905
50933,50934,50933_50934
50941,50943,50941_50943
50941,50944,50941_50944
51068,51069,51068_51069
50921,50927,50921_50927
50890,50906,50890_50906
50902,50907,50902_50907
50901,50902,50901_50902
50927,50929,50927_50929
51061,51059,51061_51059
51059,51088,51059_51088
51067,51068,51067_51068
51076,51069,51076_51069
50889,50890,50889_50890
51086,51084,51086_51084
51066,51067,51066_51067
50888,50889,50888_50889
50925,50928,50925_50928
50894,50900,50894_50900
50897,50894,50897_50894
50893,50888,50893_50888
50896,50897,50896_50897
51132,51135,51132_51135
50892,50896,50892_50896
50892,50893,50892_50893
50922,50924,50922_50924
50884,50885,50884_50885
50887,50993,50887_50993
50886,50887,50886_50887
50992,50886,50992_50886
50883,50886,50883_50886
50879,50883,50879_50883
50881,50879,50881_50879
50994,50995,50994_50995
50877,50878,50877_50878
50990,50994,50990_50994
50990,50991,50990_50991
50859,50877,50859_50877
51036,51038,51036_51038
50876,50881,50876_50881
50986,50984,50986_50984
50857,50859,50857_50859
50983,50984,50983_50984
50979,50982,50979_50982
50979,50876,50979_50876
50858,50857,50858_50857
50980,50979,50980_50979
48275,48276,48275_48276
50872,50875,50872_50875
50866,50858,50866_50858
50976,50980,50976_50980
50978,50977,50978_50977
50974,50975,50974_50975
50985,50978,50985_50978
51000,50999,51000_50999
51035,51037,51035_51037
50865,50872,50865_50872
50865,50866,50865_50866
50867,50865,50867_50865
50958,50959,50958_50959
50959,50961,50959_50961
50961,50968,50961_50968
50969,50968,50969_50968
51013,51014,51013_51014
50963,50968,50963_50968
51029,51030,51029_51030
50851,50853,50851_50853
51022,51023,51022_51023
50962,50963,50962_50963
50957,50851,50957_50851
51021,51022,51021_51022
51011,51013,51011_51013
50841,50842,50841_50842
51010,51011,51010_51011
280807,50841,280807_50841
51012,51021,51012_51021
50837,50841,50837_50841
50837,50839,50837_50839
50838,50837,50838_50837
51008,50970,51008_50970
50823,50824,50823_50824
50835,50837,50835_50837
50826,50828,50826_50828
50814,50823,50814_50823
50825,50826,50825_50826
50827,50835,50827_50835
50827,50825,50827_50825
50603,50827,50603_50827
50570,50825,50570_50825
50571,50603,50571_50603
50748,50749,50748_50749
50558,50570,50558_50570
50558,50554,50558_50554
50556,50558,50556_50558
50555,50556,50555_50556
50557,50556,50557_50556
50615,50618,50615_50618
50551,50561,50551_50561
50551,50557,50551_50557
50560,50551,50560_50551
50560,50563,50560_50563
50598,50601,50598_50601
50609,50610,50609_50610
50609,50601,50609_50601
50614,50615,50614_50615
50550,50551,50550_50551
51116,51117,51116_51117
50880,50884,50880_50884
50908,50909,50908_50909
51764,51752,51764_51752
50851,50852,50851_50852
51064,51066,51064_51066
50896,50899,50896_50899
50981,50983,50981_50983
50977,50976,50977_50976
50853,50852,50853_50852
50852,50867,50852_50867
50838,13231,50838_13231
13231,280807,13231_280807
270746,176835,270746_176835
176835,176834,176835_176834
176834,50965,176834_50965
50956,50957,50956_50957
199557,50864,199557_50864
51135,281375,51135_281375
201374,201373,201374_201373
51143,201373,51143_201373
201373,10468,201373_10468
51114,201419,51114_201419
201425,50947,201425_50947
50947,50949,50947_50949
199670,201425,199670_201425
51098,199670,51098_199670
199670,51091,199670_51091
50797,51007,50797_51007
51131,51132,51131_51132
51135,51137,51135_51137
51097,51099,51097_51099
51093,51094,51093_51094
48712,51745,48712_51745
500281,281367,500281_281367
51100,202607,51100_202607
202607,51108,202607_51108
51108,51109,51108_51109
50561,50569,50561_50569
202737,50743,202737_50743
50748,202738,50748_202738
202738,50743,202738_50743
283813,203943,283813_203943
51099,207849,51099_207849
207849,51108,207849_51108
281339,209118,281339_209118
51061,201463,51061_201463
201463,51068,201463_51068
51107,51104,51107_51104
51148,213022,51148_213022
213022,51150,213022_51150
213025,51147,213025_51147
50886,213139,50886_213139
213139,50885,213139_50885
50819,50820,50819_50820
216633,10470,216633_10470
50955,222925,50955_222925
222925,222926,222925_222926
50939,223859,50939_223859
15657,223860,15657_223860
223860,50939,223860_50939
51110,224852,51110_224852
224852,224851,224852_224851
50998,224857,50998_224857
224857,224858,224857_224858
50839,224860,50839_224860
224860,224859,224860_224859
50960,224896,50960_224896
224896,50962,224896_50962
50743,224902,50743_224902
13230,225235,13230_225235
225235,50960,225235_50960
225237,51896,225237_51896
50989,225721,50989_225721
225721,225722,225721_225722
225722,50995,225722_50995
50995,225723,50995_225723
50855,225731,50855_225731
225731,50857,225731_50857
225734,50855,225734_50855
226829,50921,226829_50921
50864,227883,50864_227883
50952,228825,50952_228825
228825,50951,228825_50951
50915,230325,50915_230325
230325,230330,230325_230330
230330,50922,230330_50922
50895,231816,50895_231816
231816,50892,231816_50892
228219,50822,228219_50822
50900,232155,50900_232155
232155,50902,232155_50902
232694,13229,232694_13229
13229,232695,13229_232695
232695,50851,232695_50851
232707,48343,232707_48343
48343,232708,48343_232708
232708,232727,232708_232727
232727,198042,232727_198042
232730,232707,232730_232707
48339,232731,48339_232731
232731,232730,232731_232730
232872,51065,232872_51065
51898,232902,51898_232902
232902,51901,232902_51901
232903,51861,232903_51861
51111,232904,51111_232904
232904,51861,232904_51861
51749,232906,51749_232906
232906,232905,232906_232905
318604,233402,318604_233402
233410,50598,233410_50598
233411,233410,233411_233410
233411,50568,233411_50568
232901,233423,232901_233423
233423,50598,233423_50598
233425,50610,233425_50610
233426,50614,233426_50614
233426,233425,233426_233425
233427,50731,233427_50731
233427,50614,233427_50614
233428,500282,233428_500282
233429,50742,233429_50742
50618,233430,50618_233430
233430,50616,233430_50616
233431,50616,233431_50616
50742,233433,50742_233433
233433,202737,233433_202737
50617,233434,50617_233434
50831,233437,50831_233437
233437,50830,233437_50830
233438,50831,233438_50831
233451,50972,233451_50972
51013,233452,51013_233452
233451,233452,233451_233452
233454,48275,233454_48275
51033,233468,51033_233468
233468,51040,233468_51040
50988,233475,50988_233475
