mode,secondID,time,speed (m/s),lat,lon
grta,0.0,07:25:00,11.3661280244,34.1812706,-84.14289093
grta,1.0,07:25:01,11.3661280244,34.1813712425,-84.1428677056
grta,2.0,07:25:02,11.3661280244,34.181471885,-84.1428444812
grta,3.0,07:25:03,11.3661280244,34.1815725275,-84.1428212568
grta,4.0,07:25:04,11.3661280244,34.1816706759,-84.1427934649
grta,5.0,07:25:05,11.3661280244,34.1817283355,-84.1426915294
grta,6.0,07:25:06,11.3661280244,34.1817859952,-84.1425895939
grta,7.0,07:25:07,11.3661280244,34.181843655,-84.1424876583
grta,8.0,07:25:08,11.3661280244,34.1819013147,-84.1423857226
grta,9.0,07:25:09,11.3661280244,34.1819589745,-84.1422837869
grta,10.0,07:25:10,11.3661280244,34.1820166343,-84.1421818512
grta,11.0,07:25:11,11.3661280244,34.1820742941,-84.1420799154
grta,12.0,07:25:12,11.3661280244,34.1821257373,-84.1419734658
grta,13.0,07:25:13,11.3661280244,34.1821738089,-84.141864568
grta,14.0,07:25:14,11.3661280244,34.1822218805,-84.1417556701
grta,15.0,07:25:15,11.3661280244,34.1822699521,-84.1416467722
grta,16.0,07:25:16,11.3661280244,34.1823180237,-84.1415378743
grta,17.0,07:25:17,11.3661280244,34.1823660953,-84.1414289763
grta,18.0,07:25:18,11.3661280244,34.182414167,-84.1413200782
grta,19.0,07:25:19,11.3661280244,34.1824622386,-84.1412111801
grta,20.0,07:25:20,11.3661280244,34.1825144592,-84.141105107
grta,21.0,07:25:21,11.3661280244,34.1825672908,-84.1409994499
grta,22.0,07:25:22,11.3661280244,34.1826201225,-84.1408937928
grta,23.0,07:25:23,11.3661280244,34.182698441,-84.1408229672
grta,24.0,07:25:24,11.3661280244,34.1827922324,-84.1407732875
grta,25.0,07:25:25,11.3661280244,34.1828860239,-84.1407236078
grta,26.0,07:25:26,11.3661280244,34.1829798153,-84.1406739281
grta,27.0,07:25:27,11.3661280244,34.1830736068,-84.1406242483
grta,28.0,07:25:28,11.3661280244,34.1831673983,-84.1405745686
grta,29.0,07:25:29,11.3661280244,34.1832611898,-84.1405248889
grta,30.0,07:25:30,11.3661280244,34.1833549813,-84.1404752091
grta,31.0,07:25:31,11.3661280244,34.1834487728,-84.1404255293
grta,32.0,07:25:32,11.3661280244,34.1835425643,-84.1403758496
grta,33.0,07:25:33,11.3661280244,34.1836363559,-84.1403261698
grta,34.0,07:25:34,11.3661280244,34.1837301474,-84.14027649
grta,35.0,07:25:35,11.3661280244,34.183823939,-84.1402268102
grta,36.0,07:25:36,11.3661280244,34.1839177306,-84.1401771304
grta,37.0,07:25:37,11.3661280244,34.1840115223,-84.1401274506
grta,38.0,07:25:38,11.3661280244,34.1841053139,-84.1400777708
grta,39.0,07:25:39,11.3661280244,34.1841991055,-84.140028091
grta,40.0,07:25:40,11.3661280244,34.1842928972,-84.1399784111
grta,41.0,07:25:41,11.3661280244,34.1842338693,-84.1400053655
grta,42.0,07:25:42,11.3661280244,34.1841381755,-84.1400494431
grta,43.0,07:25:43,11.3661280244,34.184041639,-84.1400908151
grta,44.0,07:25:44,11.3661280244,34.183944658,-84.1401306337
grta,45.0,07:25:45,11.3661280244,34.1838467489,-84.140166684
grta,46.0,07:25:46,11.3661280244,34.1837468974,-84.1401944153
grta,47.0,07:25:47,11.3661280244,34.183647047,-84.1402221526
grta,48.0,07:25:48,11.3661280244,34.1835466457,-84.1402466203
grta,49.0,07:25:49,11.3661280244,34.1834456493,-84.1402674387
grta,50.0,07:25:50,11.3661280244,34.1833439223,-84.140282326
grta,51.0,07:25:51,11.3661280244,34.1832424876,-84.1402997046
grta,52.0,07:25:52,11.3661280244,34.1831413112,-84.1403192845
grta,53.0,07:25:53,11.3661280244,34.1830401304,-84.1403388315
grta,54.0,07:25:54,11.3661280244,34.1829389313,-84.1403582413
grta,55.0,07:25:55,11.3661280244,34.1828377322,-84.1403776511
grta,56.0,07:25:56,11.3661280244,34.1827365434,-84.1403971378
grta,57.0,07:25:57,11.3661280244,34.1826353676,-84.1404167219
grta,58.0,07:25:58,11.3661280244,34.182534176,-84.1404361848
grta,59.0,07:25:59,11.3661280244,34.182432849,-84.1404546029
grta,60.0,07:26:00,11.3661280244,34.1823317703,-84.1404748007
grta,61.0,07:26:01,11.3661280244,34.1822310188,-84.1404973267
grta,62.0,07:26:02,11.3661280244,34.1821304918,-84.1405212647
grta,63.0,07:26:03,11.3661280244,34.1820308332,-84.1405496099
grta,64.0,07:26:04,11.3661280244,34.1819320998,-84.1405826306
grta,65.0,07:26:05,11.3661280244,34.1818335889,-84.1406166014
grta,66.0,07:26:06,11.3661280244,34.1817356619,-84.140652886
grta,67.0,07:26:07,11.3661280244,34.1816390148,-84.1406938818
grta,68.0,07:26:08,11.3661280244,34.1815452338,-84.1407434012
grta,69.0,07:26:09,11.3661280244,34.1814504862,-84.1407902271
grta,70.0,07:26:10,11.3661280244,34.1813573281,-84.1408412298
grta,71.0,07:26:11,11.3661280244,34.1812670328,-84.1408994948
grta,72.0,07:26:12,11.3661280244,34.1811786776,-84.1409618286
grta,73.0,07:26:13,11.3661280244,34.1810916968,-84.1410269984
grta,74.0,07:26:14,11.3661280244,34.1810080616,-84.1410979069
grta,75.0,07:26:15,11.3661280244,34.1809275012,-84.1411740988
grta,76.0,07:26:16,11.3661280244,34.1808486893,-84.1412529107
grta,77.0,07:26:17,11.3661280244,34.1807698775,-84.1413317225
grta,78.0,07:26:18,11.3661280244,34.1806910657,-84.1414105343
grta,79.0,07:26:19,11.3661280244,34.1806151104,-84.1414932886
grta,80.0,07:26:20,11.3661280244,34.1805394744,-84.1415764837
grta,81.0,07:26:21,11.3661280244,34.1804663458,-84.1416628485
grta,82.0,07:26:22,11.3661280244,34.1803935527,-84.1417496373
grta,83.0,07:26:23,11.3661280244,34.1803210779,-84.1418368021
grta,84.0,07:26:24,11.3661280244,34.1802503138,-84.1419259872
grta,85.0,07:26:25,11.3661280244,34.1801795497,-84.1420151723
grta,86.0,07:26:26,11.3661280244,34.1801087856,-84.1421043574
grta,87.0,07:26:27,11.3661280244,34.1800390738,-84.142194678
grta,88.0,07:26:28,11.3661280244,34.1799730562,-84.1422889854
grta,89.0,07:26:29,11.3661280244,34.1799080013,-84.1423842486
grta,90.0,07:26:30,11.3661280244,34.1798435782,-84.142480139
grta,91.0,07:26:31,11.3661280244,34.1797790632,-84.1425759382
grta,92.0,07:26:32,11.3661280244,34.1797130462,-84.1426702459
grta,93.0,07:26:33,11.3661280244,34.179642467,-84.1427595857
grta,94.0,07:26:34,11.3661280244,34.1795710458,-84.1428480085
grta,95.0,07:26:35,11.3661280244,34.1794996246,-84.1429364313
grta,96.0,07:26:36,11.3661280244,34.1794371172,-84.1430331151
grta,97.0,07:26:37,11.3661280244,34.1793842877,-84.1431387699
grta,98.0,07:26:38,11.3661280244,34.179331458,-84.1432444245
grta,99.0,07:26:39,11.3661280244,34.1792770378,-84.1433489004
grta,100.0,07:26:40,11.3661280244,34.1792230231,-84.1434536767
grta,101.0,07:26:41,11.3661280244,34.179171545,-84.1435602236
grta,102.0,07:26:42,11.3661280244,34.179125868,-84.1436705997
grta,103.0,07:26:43,11.3661280244,34.1790795645,-84.1437805826
grta,104.0,07:26:44,11.3661280244,34.1790304803,-84.1438888205
grta,105.0,07:26:45,11.3661280244,34.1789813961,-84.1439970583
grta,106.0,07:26:46,11.3661280244,34.1789323119,-84.1441052961
grta,107.0,07:26:47,11.3661280244,34.1788832278,-84.1442135338
grta,108.0,07:26:48,11.3661280244,34.1788341436,-84.1443217714
grta,109.0,07:26:49,11.3661280244,34.1787850596,-84.1444300091
grta,110.0,07:26:50,11.3661280244,34.1787359755,-84.1445382466
grta,111.0,07:26:51,11.3661280244,34.1786868914,-84.1446464841
grta,112.0,07:26:52,11.3661280244,34.1786378074,-84.1447547216
grta,113.0,07:26:53,11.3661280244,34.1785887233,-84.144862959
grta,114.0,07:26:54,11.3661280244,34.1785396394,-84.1449711964
grta,115.0,07:26:55,11.3661280244,34.1784905554,-84.1450794338
grta,116.0,07:26:56,11.3661280244,34.1784414715,-84.145187671
grta,117.0,07:26:57,11.3661280244,34.1783923875,-84.1452959083
grta,118.0,07:26:58,11.3661280244,34.1783433774,-84.1454041922
grta,119.0,07:26:59,11.3661280244,34.1782968315,-84.1455140406
grta,120.0,07:27:00,11.3661280244,34.1782502857,-84.1456238889
grta,121.0,07:27:01,11.3661280244,34.1782037399,-84.1457337371
grta,122.0,07:27:02,11.3661280244,34.1781571941,-84.1458435853
grta,123.0,07:27:03,11.3661280244,34.1781106483,-84.1459534334
grta,124.0,07:27:04,11.3661280244,34.1780641025,-84.1460632815
grta,125.0,07:27:05,11.3661280244,34.1780175568,-84.1461731295
grta,126.0,07:27:06,11.3661280244,34.1779710111,-84.1462829775
grta,127.0,07:27:07,11.3661280244,34.1779236939,-84.1463923463
grta,128.0,07:27:08,11.3661280244,34.1778762227,-84.1465016192
grta,129.0,07:27:09,11.3661280244,34.1778287514,-84.1466108921
grta,130.0,07:27:10,11.3661280244,34.1777812802,-84.146720165
grta,131.0,07:27:11,11.3661280244,34.177733809,-84.1468294378
grta,132.0,07:27:12,11.3661280244,34.1776863378,-84.1469387106
grta,133.0,07:27:13,11.3661280244,34.1776388667,-84.1470479833
grta,134.0,07:27:14,11.3661280244,34.1775913956,-84.147157256
grta,135.0,07:27:15,11.3661280244,34.1775439244,-84.1472665286
grta,136.0,07:27:16,11.3661280244,34.1774964533,-84.1473758012
grta,137.0,07:27:17,11.3661280244,34.1774489823,-84.1474850737
grta,138.0,07:27:18,11.3661280244,34.1774015112,-84.1475943462
grta,139.0,07:27:19,11.3661280244,34.1773539348,-84.1477035507
grta,140.0,07:27:20,11.3661280244,34.1773045967,-84.1478116191
grta,141.0,07:27:21,11.3661280244,34.1772563093,-84.14792036
grta,142.0,07:27:22,11.3661280244,34.1772093991,-84.1480299823
grta,143.0,07:27:23,11.3661280244,34.177162489,-84.1481396046
grta,144.0,07:27:24,11.3661280244,34.1771155788,-84.1482492268
grta,145.0,07:27:25,11.3661280244,34.1770686687,-84.148358849
grta,146.0,07:27:26,11.3661280244,34.1770217586,-84.1484684711
grta,147.0,07:27:27,11.3661280244,34.1769748485,-84.1485780932
grta,148.0,07:27:28,11.3661280244,34.1769279385,-84.1486877153
grta,149.0,07:27:29,11.3661280244,34.1768810284,-84.1487973373
grta,150.0,07:27:30,11.3661280244,34.1768341184,-84.1489069592
grta,151.0,07:27:31,11.3661280244,34.1767872084,-84.1490165811
grta,152.0,07:27:32,11.3661280244,34.1767402985,-84.149126203
grta,153.0,07:27:33,11.3661280244,34.1766933885,-84.1492358248
grta,154.0,07:27:34,11.3661280244,34.1766464786,-84.1493454466
grta,155.0,07:27:35,11.3661280244,34.1765995687,-84.1494550683
grta,156.0,07:27:36,11.3661280244,34.1765526588,-84.1495646899
grta,157.0,07:27:37,11.3661280244,34.176503316,-84.1496727533
grta,158.0,07:27:38,11.3661280244,34.1764539289,-84.1497807883
grta,159.0,07:27:39,11.3661280244,34.1764059195,-84.149889703
grta,160.0,07:27:40,11.3661280244,34.1763592315,-84.1499994614
grta,161.0,07:27:41,11.3661280244,34.1763125435,-84.1501092198
grta,162.0,07:27:42,11.3661280244,34.1762658555,-84.1502189782
grta,163.0,07:27:43,11.3661280244,34.1762191676,-84.1503287365
grta,164.0,07:27:44,11.3661280244,34.1761724797,-84.1504384947
grta,165.0,07:27:45,11.3661280244,34.1761257917,-84.150548253
grta,166.0,07:27:46,11.3661280244,34.1760791038,-84.1506580111
grta,167.0,07:27:47,11.3661280244,34.176032416,-84.1507677693
grta,168.0,07:27:48,11.3661280244,34.1759857281,-84.1508775273
grta,169.0,07:27:49,11.3661280244,34.1759390403,-84.1509872853
grta,170.0,07:27:50,11.3661280244,34.1758923525,-84.1510970433
grta,171.0,07:27:51,11.3661280244,34.1758456647,-84.1512068012
grta,172.0,07:27:52,11.3661280244,34.1757989769,-84.1513165591
grta,173.0,07:27:53,11.3661280244,34.1757512958,-84.1514256899
grta,174.0,07:27:54,11.3661280244,34.1757027642,-84.1515342836
grta,175.0,07:27:55,11.3661280244,34.1756542326,-84.1516428774
grta,176.0,07:27:56,11.3661280244,34.175605701,-84.151751471
grta,177.0,07:27:57,11.3661280244,34.1755571694,-84.1518600646
grta,178.0,07:27:58,11.3661280244,34.1755086379,-84.1519686582
grta,179.0,07:27:59,11.3661280244,34.1754601064,-84.1520772517
grta,180.0,07:28:00,11.3661280244,34.1754115749,-84.1521858452
grta,181.0,07:28:01,11.3661280244,34.175361789,-84.1522936042
grta,182.0,07:28:02,11.3661280244,34.1753111659,-84.1524008064
grta,183.0,07:28:03,11.3661280244,34.1752605069,-84.1525079835
grta,184.0,07:28:04,11.3661280244,34.1752089271,-84.1526145233
