mode,secondID,time,speed (m/s),lat,lon
grta,0,06:36:45,11.19317498,34.01717377,-84.19017792
grta,1,06:36:46,11.19317498,34.0172716803,-84.1901485431
grta,2,06:36:47,11.19317498,34.0173693587,-84.1901180983
grta,3,06:36:48,11.19317498,34.0174667439,-84.1900863034
grta,4,06:36:49,11.19317498,34.0175641978,-84.1900548149
grta,5,06:36:50,11.19317498,34.0176617145,-84.1900236068
grta,6,06:36:51,11.19317498,34.0177592313,-84.1899923987
grta,7,06:36:52,11.19317498,34.0178574418,-84.1899646648
grta,8,06:36:53,11.19317498,34.0179561654,-84.1899395239
grta,9,06:36:54,11.19317498,34.0180544377,-84.1899123362
grta,10,06:36:55,11.19317498,34.018151914,-84.189881007
grta,11,06:36:56,11.19317498,34.0182500418,-84.189852697
grta,12,06:36:57,11.19317498,34.0183481022,-84.1898240509
grta,13,06:36:58,11.19317498,34.0184461627,-84.1897954048
grta,14,06:36:59,11.19317498,34.0185442231,-84.1897667587
grta,15,06:37:00,11.19317498,34.0186419933,-84.1897367168
grta,16,06:37:01,11.19317498,34.018739254,-84.1897048411
grta,17,06:37:02,11.19317498,34.0188375554,-84.1896774116
grta,18,06:37:03,11.19317498,34.018935192,-84.1896467708
grta,19,06:37:04,11.19317498,34.0190327461,-84.189615731
grta,20,06:37:05,11.19317498,34.0191303001,-84.1895846912
grta,21,06:37:06,11.19317498,34.0192282934,-84.1895568704
grta,22,06:37:07,11.19317498,34.0193263429,-84.1895281702
grta,23,06:37:08,11.19317498,34.0194239384,-84.1894973411
grta,24,06:37:09,11.19317498,34.0195214041,-84.1894659033
grta,25,06:37:10,11.19317498,34.019619837,-84.1894425366
grta,26,06:37:11,11.19317498,34.0197187846,-84.189418692
grta,27,06:37:12,11.19317498,34.0198177321,-84.1893948473
grta,28,06:37:13,11.19317498,34.0199166796,-84.1893710026
grta,29,06:37:14,11.19317498,34.0200162514,-84.1893512954
grta,30,06:37:15,11.19317498,34.0201158743,-84.1893319265
grta,31,06:37:16,11.19317498,34.0202156111,-84.189313561
grta,32,06:37:17,11.19317498,34.0203159147,-84.189300186
grta,33,06:37:18,11.19317498,34.0204163482,-84.1892884349
grta,34,06:37:19,11.19317498,34.0205169367,-84.1892786211
grta,35,06:37:20,11.19317498,34.0206174764,-84.1892681133
grta,36,06:37:21,11.19317498,34.02071816,-84.1892604599
grta,37,06:37:22,11.19317498,34.0208190192,-84.1892562572
grta,38,06:37:23,11.19317498,34.0209199175,-84.18925476
grta,39,06:37:24,11.19317498,34.0210208374,-84.18925476
grta,40,06:37:25,11.19317498,34.0211217316,-84.1892569501
grta,41,06:37:26,11.19317498,34.0212226113,-84.18926037
grta,42,06:37:27,11.19317498,34.0213234911,-84.18926379
grta,43,06:37:28,11.19317498,34.0214243708,-84.1892672099
grta,44,06:37:29,11.19317498,34.0215252538,-84.1892704671
grta,45,06:37:30,11.19317498,34.0216261522,-84.1892729741
grta,46,06:37:31,11.19317498,34.0217270505,-84.189275481
grta,47,06:37:32,11.19317498,34.0218279488,-84.189277988
grta,48,06:37:33,11.19317498,34.0219288471,-84.189280495
grta,49,06:37:34,11.19317498,34.0220297454,-84.189283002
grta,50,06:37:35,11.19317498,34.0221306457,-84.18928528
grta,51,06:37:36,11.19317498,34.0222315656,-84.18928528
grta,52,06:37:37,11.19317498,34.0223324855,-84.18928528
grta,53,06:37:38,11.19317498,34.0224332852,-84.1892910028
grta,54,06:37:39,11.19317498,34.02253414,-84.1892906714
grta,55,06:37:40,11.19317498,34.0226350235,-84.1892874168
grta,56,06:37:41,11.19317498,34.0227358863,-84.1892834574
grta,57,06:37:42,11.19317498,34.0228367094,-84.1892781506
grta,58,06:37:43,11.19317498,34.0229368402,-84.1892633406
grta,59,06:37:44,11.19317498,34.0230371163,-84.1892499243
grta,60,06:37:45,11.19317498,34.0231371492,-84.1892342211
grta,61,06:37:46,11.19317498,34.0232371568,-84.1892182879
grta,62,06:37:47,11.19317498,34.0233370131,-84.1892008477
grta,63,06:37:48,11.19317498,34.0234362696,-84.1891791529
grta,64,06:37:49,11.19317498,34.023535312,-84.1891564447
grta,65,06:37:50,11.19317498,34.0236326972,-84.1891248487
grta,66,06:37:51,11.19317498,34.0237299413,-84.1890924352
grta,67,06:37:52,11.19317498,34.0238270004,-84.1890592933
grta,68,06:37:53,11.19317498,34.0239227483,-84.1890209902
grta,69,06:37:54,11.19317498,34.0240187404,-84.1889836717
grta,70,06:37:55,11.19317498,34.024114618,-84.1889467184
grta,71,06:37:56,11.19317498,34.0242094655,-84.188905621
grta,72,06:37:57,11.19317498,34.0243044902,-84.1888649639
grta,73,06:37:58,11.19317498,34.0243985823,-84.1888211396
grta,74,06:37:59,11.19317498,34.0244926744,-84.1887773153
grta,75,06:38:00,11.19317498,34.0245867665,-84.188733491
grta,76,06:38:01,11.19317498,34.0246808586,-84.1886896667
grta,77,06:38:02,11.19317498,34.0247749508,-84.1886458425
grta,78,06:38:03,11.19317498,34.024869635,-84.1886039284
grta,79,06:38:04,11.19317498,34.0249627455,-84.188557581
grta,80,06:38:05,11.19317498,34.0250559274,-84.1885110753
grta,81,06:38:06,11.19317498,34.0251493133,-84.1884651236
grta,82,06:38:07,11.19317498,34.0252426993,-84.1884191718
grta,83,06:38:08,11.19317498,34.0253360852,-84.1883732201
grta,84,06:38:09,11.19317498,34.0254294712,-84.1883272683
grta,85,06:38:10,11.19317498,34.0255225962,-84.1882805611
grta,86,06:38:11,11.19317498,34.0256156399,-84.1882336184
grta,87,06:38:12,11.19317498,34.0257086836,-84.1881866758
grta,88,06:38:13,11.19317498,34.0258017273,-84.1881397331
grta,89,06:38:14,11.19317498,34.0258947104,-84.1880926188
grta,90,06:38:15,11.19317498,34.0259874674,-84.1880448644
grta,91,06:38:16,11.19317498,34.0260802244,-84.1879971101
grta,92,06:38:17,11.19317498,34.0261729814,-84.1879493557
grta,93,06:38:18,11.19317498,34.0262657936,-84.1879017615
grta,94,06:38:19,11.19317498,34.0263595064,-84.1878567795
grta,95,06:38:20,11.19317498,34.0264532216,-84.1878118044
grta,96,06:38:21,11.19317498,34.0265470358,-84.1877671282
grta,97,06:38:22,11.19317498,34.0266408501,-84.1877224519
grta,98,06:38:23,11.19317498,34.026734928,-84.187678593
grta,99,06:38:24,11.19317498,34.0268293145,-84.1876356905
grta,100,06:38:25,11.19317498,34.0269249628,-84.1875971577
grta,101,06:38:26,11.19317498,34.0270211981,-84.1875606573
grta,102,06:38:27,11.19317498,34.027117295,-84.1875236412
grta,103,06:38:28,11.19317498,34.0272131693,-84.1874857955
grta,104,06:38:29,11.19317498,34.0273090436,-84.1874479498
grta,105,06:38:30,11.19317498,34.027405387,-84.1874119556
grta,106,06:38:31,11.19317498,34.027502566,-84.1873792603
grta,107,06:38:32,11.19317498,34.0275997449,-84.1873465649
grta,108,06:38:33,11.19317498,34.0276969239,-84.1873138696
grta,109,06:38:34,11.19317498,34.0277940235,-84.1872808451
grta,110,06:38:35,11.19317498,34.0278907039,-84.1872460829
grta,111,06:38:36,11.19317498,34.0279873844,-84.1872113207
grta,112,06:38:37,11.19317498,34.0280840648,-84.1871765584
grta,113,06:38:38,11.19317498,34.0281816244,-84.187145684
grta,114,06:38:39,11.19317498,34.0282796624,-84.1871169247
grta,115,06:38:40,11.19317498,34.0283777004,-84.1870881654
grta,116,06:38:41,11.19317498,34.0284758424,-84.1870599241
grta,117,06:38:42,11.19317498,34.0285740835,-84.1870322015
grta,118,06:38:43,11.19317498,34.0286728854,-84.1870074994
grta,119,06:38:44,11.19317498,34.0287717765,-84.1869833226
grta,120,06:38:45,11.19317498,34.0288698565,-84.1869550365
grta,121,06:38:46,11.19317498,34.0289678013,-84.1869259968
grta,122,06:38:47,11.19317498,34.0290665422,-84.1869009451
grta,123,06:38:48,11.19317498,34.029165283,-84.1868758933
grta,124,06:38:49,11.19317498,34.0292640239,-84.1868508416
grta,125,06:38:50,11.19317498,34.0293627647,-84.1868257898
