mode,secondID,time,speed (m/s),lat,lon
grta,0,06:16:00,17.121356457,33.98431142,-84.0795135467
grta,1,06:16:01,17.121356457,33.9843784287,-84.0793503377
grta,2,06:16:02,17.121356457,33.9843735408,-84.0791707545
grta,3,06:16:03,17.121356457,33.9842816782,-84.0790266679
grta,4,06:16:04,17.121356457,33.9841550383,-84.0789212912
grta,5,06:16:05,17.121356457,33.984022593,-84.0788260974
grta,6,06:16:06,17.121356457,33.9838901477,-84.0787309036
grta,7,06:16:07,17.121356457,33.9837577025,-84.0786357098
grta,8,06:16:08,17.121356457,33.9836252574,-84.0785405161
grta,9,06:16:09,17.121356457,33.9834928123,-84.0784453225
grta,10,06:16:10,17.121356457,33.9833575238,-84.0783560992
grta,11,06:16:11,17.121356457,33.9832184066,-84.0782769389
grta,12,06:16:12,17.121356457,33.9830732634,-84.0782138319
grta,13,06:16:13,17.121356457,33.9829281203,-84.078150725
grta,14,06:16:14,17.121356457,33.9827829773,-84.078087618
grta,15,06:16:15,17.121356457,33.9826378342,-84.0780245111
grta,16,06:16:16,17.121356457,33.9824981629,-84.0779469768
grta,17,06:16:17,17.121356457,33.9823719013,-84.0778430439
grta,18,06:16:18,17.121356457,33.9822617921,-84.0777131658
grta,19,06:16:19,17.121356457,33.9821752066,-84.077559758
grta,20,06:16:20,17.121356457,33.9820874595,-84.0774074733
grta,21,06:16:21,17.121356457,33.9819803171,-84.0772741103
grta,22,06:16:22,17.121356457,33.981867033,-84.0771482289
grta,23,06:16:23,17.121356457,33.9817346674,-84.0770539696
grta,24,06:16:24,17.121356457,33.9815927172,-84.0769830942
grta,25,06:16:25,17.121356457,33.9814441289,-84.0769335274
grta,26,06:16:26,17.121356457,33.9812939059,-84.0768908622
grta,27,06:16:27,17.121356457,33.9811436829,-84.076848197
grta,28,06:16:28,17.121356457,33.9809934599,-84.0768055318
grta,29,06:16:29,17.121356457,33.9808434787,-84.0767617015
grta,30,06:16:30,17.121356457,33.9806941348,-84.0767147998
grta,31,06:16:31,17.121356457,33.9805447909,-84.0766678981
grta,32,06:16:32,17.121356457,33.9803953698,-84.0766213589
grta,33,06:16:33,17.121356457,33.980245116,-84.0765793995
grta,34,06:16:34,17.121356457,33.9800918682,-84.07656097
grta,35,06:16:35,17.121356457,33.9799376709,-84.0765655971
grta,36,06:16:36,17.121356457,33.9797839799,-84.0765829379
grta,37,06:16:37,17.121356457,33.9796303905,-84.0766015547
grta,38,06:16:38,17.121356457,33.979476801,-84.0766201716
grta,39,06:16:39,17.121356457,33.9793232116,-84.0766387884
grta,40,06:16:40,17.121356457,33.9791696222,-84.0766574053
grta,41,06:16:41,17.121356457,33.9790160327,-84.0766760222
grta,42,06:16:42,17.121356457,33.9788624433,-84.076694639
grta,43,06:16:43,17.121356457,33.9788095174,-84.0765519815
grta,44,06:16:44,17.121356457,33.9787892199,-84.076368516
grta,45,06:16:45,17.121356457,33.978799311,-84.0761847736
grta,46,06:16:46,17.121356457,33.9788601912,-84.0760149965
grta,47,06:16:47,17.121356457,33.9788915216,-84.0758367447
grta,48,06:16:48,17.121356457,33.9789461969,-84.0756645505
grta,49,06:16:49,17.121356457,33.979011086,-84.0754964622
grta,50,06:16:50,17.121356457,33.979081703,-84.0753316872
grta,51,06:16:51,17.121356457,33.9791456811,-84.0751632102
grta,52,06:16:52,17.121356457,33.9792050283,-84.0749921509
grta,53,06:16:53,17.121356457,33.9791799541,-84.0748720684
grta,54,06:16:54,17.121356457,33.9790301571,-84.0748272981
grta,55,06:16:55,17.121356457,33.9788806604,-84.0747811933
grta,56,06:16:56,17.121356457,33.9787322325,-84.0747303312
grta,57,06:16:57,17.121356457,33.9785825973,-84.0746847875
grta,58,06:16:58,17.121356457,33.9784327622,-84.0746402086
grta,59,06:16:59,17.121356457,33.978282998,-84.0745952806
grta,60,06:17:00,17.121356457,33.9781332338,-84.0745503526
grta,61,06:17:01,17.121356457,33.9779834696,-84.0745054245
grta,62,06:17:02,17.121356457,33.9778341804,-84.074458294
