mode,secondID,time,speed (m/s),lat,lon
grta,0.0,07:37:52,2.83648935127,33.77212524,-84.38734436
grta,1.0,07:37:53,2.83648935127,33.7721508153,-84.38734436
grta,2.0,07:37:54,2.83648935127,33.7721763712,-84.3873431969
grta,3.0,07:37:55,2.83648935127,33.7722019263,-84.3873419799
grta,4.0,07:37:56,2.83648935127,33.7722274813,-84.3873407628
grta,5.0,07:37:57,2.83648935127,33.7722530364,-84.3873395458
grta,6.0,07:37:58,2.83648935127,33.7722785914,-84.3873383287
grta,7.0,07:37:59,2.83648935127,33.7723041465,-84.3873371116
grta,8.0,07:38:00,2.83648935127,33.7723296731,-84.3873381894
grta,9.0,07:38:01,2.83648935127,33.7723551866,-84.3873403156
grta,10.0,07:38:02,2.83648935127,33.7723807002,-84.3873424417
grta,11.0,07:38:03,2.83648935127,33.7724062194,-84.3873443071
grta,12.0,07:38:04,2.83648935127,33.7724317906,-84.3873437659
grta,13.0,07:38:05,2.83648935127,33.7724573619,-84.3873432246
grta,14.0,07:38:06,2.83648935127,33.7724829332,-84.3873426834
grta,15.0,07:38:07,2.83648935127,33.7725085044,-84.3873421422
grta,16.0,07:38:08,2.83648935127,33.7725340757,-84.3873416009
grta,17.0,07:38:09,2.83648935127,33.772559647,-84.3873410597
grta,18.0,07:38:10,2.83648935127,33.7725852182,-84.3873405184
grta,19.0,07:38:11,2.83648935127,33.7726107895,-84.3873399772
grta,20.0,07:38:12,2.83648935127,33.7726363608,-84.387339436
grta,21.0,07:38:13,2.83648935127,33.772661932,-84.3873388947
grta,22.0,07:38:14,2.83648935127,33.7726875033,-84.3873383535
grta,23.0,07:38:15,2.83648935127,33.7727130746,-84.3873378123
grta,24.0,07:38:16,2.83648935127,33.7727386458,-84.387337271
grta,25.0,07:38:17,2.83648935127,33.7727642171,-84.3873367298
grta,26.0,07:38:18,2.83648935127,33.7727897884,-84.3873361886
grta,27.0,07:38:19,2.83648935127,33.7728153596,-84.3873356473
grta,28.0,07:38:20,2.83648935127,33.7728409309,-84.3873351061
grta,29.0,07:38:21,2.83648935127,33.7728665022,-84.3873345649
grta,30.0,07:38:22,2.83648935127,33.7728920734,-84.3873340236
grta,31.0,07:38:23,2.83648935127,33.7729176447,-84.3873334824
grta,32.0,07:38:24,2.83648935127,33.772943216,-84.3873329411
grta,33.0,07:38:25,2.83648935127,33.7729687872,-84.3873323999
grta,34.0,07:38:26,2.83648935127,33.7729943585,-84.3873318587
grta,35.0,07:38:27,2.83648935127,33.7730199298,-84.3873313174
grta,36.0,07:38:28,2.83648935127,33.773045501,-84.3873307762
grta,37.0,07:38:29,2.83648935127,33.7730710723,-84.387330235
grta,38.0,07:38:30,2.83648935127,33.7730966436,-84.3873296937
grta,39.0,07:38:31,2.83648935127,33.7731222148,-84.3873291525
grta,40.0,07:38:32,2.83648935127,33.7731477861,-84.3873286113
grta,41.0,07:38:33,2.83648935127,33.7731733573,-84.38732807
grta,42.0,07:38:34,2.83648935127,33.7731989286,-84.3873275288
grta,43.0,07:38:35,2.83648935127,33.7732244999,-84.3873269876
grta,44.0,07:38:36,2.83648935127,33.7732500711,-84.3873264463
grta,45.0,07:38:37,2.83648935127,33.7732756424,-84.3873259051
grta,46.0,07:38:38,2.83648935127,33.7733012137,-84.3873253638
grta,47.0,07:38:39,2.83648935127,33.7733267849,-84.3873248226
grta,48.0,07:38:40,2.83648935127,33.7733523562,-84.3873242814
grta,49.0,07:38:41,2.83648935127,33.7733779275,-84.3873237401
grta,50.0,07:38:42,2.83648935127,33.7734034987,-84.3873231989
grta,51.0,07:38:43,2.83648935127,33.77342907,-84.3873226577
grta,52.0,07:38:44,2.83648935127,33.7734546412,-84.3873221164
grta,53.0,07:38:45,2.83648935127,33.7734802125,-84.3873215752
grta,54.0,07:38:46,2.83648935127,33.7735057838,-84.387321034
grta,55.0,07:38:47,2.83648935127,33.773531355,-84.3873204927
grta,56.0,07:38:48,2.83648935127,33.7735569263,-84.3873199515
grta,57.0,07:38:49,2.83648935127,33.7735824976,-84.3873194103
grta,58.0,07:38:50,2.83648935127,33.7736080688,-84.387318869
grta,59.0,07:38:51,2.83648935127,33.7736336401,-84.3873183278
grta,60.0,07:38:52,2.83648935127,33.7736592113,-84.3873177865
grta,61.0,07:38:53,2.83648935127,33.7736847826,-84.3873172453
grta,62.0,07:38:54,2.83648935127,33.7737103539,-84.3873167041
grta,63.0,07:38:55,2.83648935127,33.7737359251,-84.3873161628
grta,64.0,07:38:56,2.83648935127,33.7737614964,-84.3873156216
grta,65.0,07:38:57,2.83648935127,33.7737870677,-84.3873150804
grta,66.0,07:38:58,2.83648935127,33.7738126389,-84.3873145391
grta,67.0,07:38:59,2.83648935127,33.7738382102,-84.3873139979
grta,68.0,07:39:00,2.83648935127,33.773863784,-84.3873137292
