mode,secondID,time,speed (m/s),lat,lon
grta,0.0,08:05:19,2.7887126151,33.78056208,-84.38742744
grta,1.0,08:05:20,2.7887126151,33.7805855777,-84.3874381579
grta,2.0,08:05:21,2.7887126151,33.7806090754,-84.3874488758
grta,3.0,08:05:22,2.7887126151,33.7806325731,-84.3874595937
grta,4.0,08:05:23,2.7887126151,33.7806560708,-84.3874703116
grta,5.0,08:05:24,2.7887126151,33.7806795685,-84.3874810296
grta,6.0,08:05:25,2.7887126151,33.7807030663,-84.3874917475
grta,7.0,08:05:26,2.7887126151,33.780726564,-84.3875024654
grta,8.0,08:05:27,2.7887126151,33.7807499852,-84.38751342
grta,9.0,08:05:28,2.7887126151,33.7807733876,-84.3875244329
grta,10.0,08:05:29,2.7887126151,33.78079679,-84.3875354458
grta,11.0,08:05:30,2.7887126151,33.7808201925,-84.3875464586
grta,12.0,08:05:31,2.7887126151,33.7808435949,-84.3875574715
grta,13.0,08:05:32,2.7887126151,33.7808669973,-84.3875684843
grta,14.0,08:05:33,2.7887126151,33.7808903997,-84.3875794972
grta,15.0,08:05:34,2.7887126151,33.7809138022,-84.38759051
grta,16.0,08:05:35,2.7887126151,33.7809372046,-84.3876015229
grta,17.0,08:05:36,2.7887126151,33.780960607,-84.3876125357
grta,18.0,08:05:37,2.7887126151,33.7809840095,-84.3876235486
grta,19.0,08:05:38,2.7887126151,33.7810075521,-84.3876341202
grta,20.0,08:05:39,2.7887126151,33.7810311496,-84.3876445187
grta,21.0,08:05:40,2.7887126151,33.7810547472,-84.3876549173
grta,22.0,08:05:41,2.7887126151,33.7810783448,-84.3876653159
grta,23.0,08:05:42,2.7887126151,33.7811019423,-84.3876757144
grta,24.0,08:05:43,2.7887126151,33.7811255399,-84.387686113
grta,25.0,08:05:44,2.7887126151,33.7811491375,-84.3876965116
grta,26.0,08:05:45,2.7887126151,33.781172735,-84.3877069102
grta,27.0,08:05:46,2.7887126151,33.7811963326,-84.3877173087
grta,28.0,08:05:47,2.7887126151,33.7812199756,-84.3877275525
grta,29.0,08:05:48,2.7887126151,33.7812438245,-84.3877370933
grta,30.0,08:05:49,2.7887126151,33.7812676734,-84.3877466341
