mode,secondID,time,speed (m/s),lat,lon
grta,0,06:31:00,16.4068450516,33.98431142,-84.0795135467
grta,1,06:31:01,16.4068450516,33.9843777874,-84.0793580328
grta,2,06:31:02,16.4068450516,33.9843796061,-84.0791844004
grta,3,06:31:03,16.4068450516,33.9842969358,-84.0790409083
grta,4,06:31:04,16.4068450516,33.9841771473,-84.0789371818
grta,5,06:31:05,16.4068450516,33.9840502292,-84.0788459606
grta,6,06:31:06,16.4068450516,33.9839233111,-84.0787547395
grta,7,06:31:07,16.4068450516,33.9837963931,-84.0786635183
grta,8,06:31:08,16.4068450516,33.9836694752,-84.0785722972
grta,9,06:31:09,16.4068450516,33.9835425572,-84.0784810762
grta,10,06:31:10,16.4068450516,33.9834140843,-84.0783931205
grta,11,06:31:11,16.4068450516,33.9832842083,-84.0783081109
grta,12,06:31:12,16.4068450516,33.9831459491,-84.078245435
grta,13,06:31:13,16.4068450516,33.9830068631,-84.0781849617
grta,14,06:31:14,16.4068450516,33.9828677772,-84.0781244883
grta,15,06:31:15,16.4068450516,33.9827286912,-84.0780640149
grta,16,06:31:16,16.4068450516,33.9825896053,-84.0780035416
grta,17,06:31:17,16.4068450516,33.9824589511,-84.0779208364
grta,18,06:31:18,16.4068450516,33.9823445038,-84.0778107275
grta,19,06:31:19,16.4068450516,33.9822438388,-84.0776814192
grta,20,06:31:20,16.4068450516,33.9821608938,-84.0775343864
grta,21,06:31:21,16.4068450516,33.9820742916,-84.0773908919
grta,22,06:31:22,16.4068450516,33.98197104,-84.0772638016
grta,23,06:31:23,16.4068450516,33.9818624835,-84.0771431735
grta,24,06:31:24,16.4068450516,33.9817348796,-84.077054111
grta,25,06:31:25,16.4068450516,33.9815990592,-84.0769856313
grta,26,06:31:26,16.4068450516,33.9814569033,-84.0769371555
grta,27,06:31:27,16.4068450516,33.9813129495,-84.0768962708
grta,28,06:31:28,16.4068450516,33.9811689956,-84.0768553861
grta,29,06:31:29,16.4068450516,33.9810250417,-84.0768145014
grta,30,06:31:30,16.4068450516,33.9808811081,-84.0767735191
grta,31,06:31:31,16.4068450516,33.9807379967,-84.0767285747
grta,32,06:31:32,16.4068450516,33.9805948852,-84.0766836303
grta,33,06:31:33,16.4068450516,33.9804517738,-84.0766386859
grta,34,06:31:34,16.4068450516,33.9803083416,-84.076595247
grta,35,06:31:35,16.4068450516,33.9801627382,-84.0765648612
grta,36,06:31:36,16.4068450516,33.980015047,-84.07656097
