mode,secondID,time,speed (m/s),lat,lon
grta,0.0,10:02:00,3.75388516427,33.76615143,-84.38751221
grta,1.0,10:02:01,3.75388516427,33.7661852426,-84.3875140379
grta,2.0,10:02:02,3.75388516427,33.7662190551,-84.3875158658
grta,3.0,10:02:03,3.75388516427,33.7662528677,-84.3875176937
grta,4.0,10:02:04,3.75388516427,33.7662866803,-84.3875195216
grta,5.0,10:02:05,3.75388516427,33.7663205213,-84.38751984
grta,6.0,10:02:06,3.75388516427,33.7663543683,-84.38751984
grta,7.0,10:02:07,3.75388516427,33.7663882153,-84.38751984
grta,8.0,10:02:08,3.75388516427,33.7664220604,-84.3875200406
grta,9.0,10:02:09,3.75388516427,33.7664558988,-84.3875209552
grta,10.0,10:02:10,3.75388516427,33.7664897372,-84.3875218698
grta,11.0,10:02:11,3.75388516427,33.7665235756,-84.3875227844
grta,12.0,10:02:12,3.75388516427,33.766557414,-84.387523699
grta,13.0,10:02:13,3.75388516427,33.7665912524,-84.3875246136
grta,14.0,10:02:14,3.75388516427,33.7666250908,-84.3875255283
grta,15.0,10:02:15,3.75388516427,33.7666589292,-84.3875264429
grta,16.0,10:02:16,3.75388516427,33.7666927675,-84.3875273575
grta,17.0,10:02:17,3.75388516427,33.7667266135,-84.38752747
grta,18.0,10:02:18,3.75388516427,33.7667604605,-84.38752747
grta,19.0,10:02:19,3.75388516427,33.766794289,-84.3875265117
grta,20.0,10:02:20,3.75388516427,33.7668280996,-84.3875246331
grta,21.0,10:02:21,3.75388516427,33.7668619102,-84.3875227546
grta,22.0,10:02:22,3.75388516427,33.7668957208,-84.3875208761
grta,23.0,10:02:23,3.75388516427,33.7669294329,-84.3875176081
grta,24.0,10:02:24,3.75388516427,33.7669630237,-84.387512631
grta,25.0,10:02:25,3.75388516427,33.7669966145,-84.3875076539
grta,26.0,10:02:26,3.75388516427,33.7670302925,-84.3875039491
grta,27.0,10:02:27,3.75388516427,33.7670641115,-84.3875022993
grta,28.0,10:02:28,3.75388516427,33.7670979304,-84.3875006495
grta,29.0,10:02:29,3.75388516427,33.7671317494,-84.3874989997
grta,30.0,10:02:30,3.75388516427,33.7671655683,-84.3874973499
grta,31.0,10:02:31,3.75388516427,33.7671993873,-84.3874957001
grta,32.0,10:02:32,3.75388516427,33.7672332062,-84.3874940502
grta,33.0,10:02:33,3.75388516427,33.7672670252,-84.3874924004
grta,34.0,10:02:34,3.75388516427,33.7673008441,-84.3874907506
grta,35.0,10:02:35,3.75388516427,33.7673346094,-84.3874884627
grta,36.0,10:02:36,3.75388516427,33.7673680247,-84.3874820102
grta,37.0,10:02:37,3.75388516427,33.7674014399,-84.3874755577
grta,38.0,10:02:38,3.75388516427,33.7674348552,-84.3874691052
grta,39.0,10:02:39,3.75388516427,33.7674682704,-84.3874626527
grta,40.0,10:02:40,3.75388516427,33.7675016857,-84.3874562001
grta,41.0,10:02:41,3.75388516427,33.7675351009,-84.3874497476
grta,42.0,10:02:42,3.75388516427,33.7675685162,-84.3874432951
grta,43.0,10:02:43,3.75388516427,33.7676019314,-84.3874368426
grta,44.0,10:02:44,3.75388516427,33.7676353467,-84.3874303901
grta,45.0,10:02:45,3.75388516427,33.7676687619,-84.3874239375
grta,46.0,10:02:46,3.75388516427,33.7677021772,-84.387417485
grta,47.0,10:02:47,3.75388516427,33.7677355924,-84.3874110325
grta,48.0,10:02:48,3.75388516427,33.7677690077,-84.38740458
grta,49.0,10:02:49,3.75388516427,33.7678024229,-84.3873981275
grta,50.0,10:02:50,3.75388516427,33.7678358382,-84.3873916749
grta,51.0,10:02:51,3.75388516427,33.7678692534,-84.3873852224
grta,52.0,10:02:52,3.75388516427,33.7679029099,-84.3873817969
grta,53.0,10:02:53,3.75388516427,33.7679367413,-84.3873805665
grta,54.0,10:02:54,3.75388516427,33.7679705727,-84.3873793362
grta,55.0,10:02:55,3.75388516427,33.7680044041,-84.3873781059
grta,56.0,10:02:56,3.75388516427,33.7680382355,-84.3873768756
grta,57.0,10:02:57,3.75388516427,33.7680720669,-84.3873756453
grta,58.0,10:02:58,3.75388516427,33.7681058983,-84.3873744149
grta,59.0,10:02:59,3.75388516427,33.7681397297,-84.3873731846
grta,60.0,10:03:00,3.75388516427,33.7681735611,-84.3873719543
grta,61.0,10:03:01,3.75388516427,33.7682073925,-84.387370724
grta,62.0,10:03:02,3.75388516427,33.7682412239,-84.3873694937
grta,63.0,10:03:03,3.75388516427,33.7682750553,-84.3873682633
grta,64.0,10:03:04,3.75388516427,33.7683088895,-84.38736725
grta,65.0,10:03:05,3.75388516427,33.7683427365,-84.38736725
grta,66.0,10:03:06,3.75388516427,33.7683765059,-84.3873689243
grta,67.0,10:03:07,3.75388516427,33.7684101449,-84.3873734099
grta,68.0,10:03:08,3.75388516427,33.7684437635,-84.3873781076
grta,69.0,10:03:09,3.75388516427,33.7684773034,-84.3873833481
grta,70.0,10:03:10,3.75388516427,33.7685100852,-84.3873934358
grta,71.0,10:03:11,3.75388516427,33.7685425663,-84.3874047763
grta,72.0,10:03:12,3.75388516427,33.768574821,-84.3874170605
grta,73.0,10:03:13,3.75388516427,33.7686072114,-84.3874281404
grta,74.0,10:03:14,3.75388516427,33.7686410317,-84.3874265298
grta,75.0,10:03:15,3.75388516427,33.7686748519,-84.3874249192
grta,76.0,10:03:16,3.75388516427,33.7687086722,-84.3874233086
grta,77.0,10:03:17,3.75388516427,33.7687424924,-84.387421698
grta,78.0,10:03:18,3.75388516427,33.768776322,-84.38742065
grta,79.0,10:03:19,3.75388516427,33.768810169,-84.38742065
grta,80.0,10:03:20,3.75388516427,33.7688440159,-84.3874206125
grta,81.0,10:03:21,3.75388516427,33.7688778613,-84.3874202189
grta,82.0,10:03:22,3.75388516427,33.7689117067,-84.3874198253
grta,83.0,10:03:23,3.75388516427,33.7689455521,-84.3874194317
grta,84.0,10:03:24,3.75388516427,33.7689793975,-84.3874190382
grta,85.0,10:03:25,3.75388516427,33.7690132429,-84.3874186446
grta,86.0,10:03:26,3.75388516427,33.7690470883,-84.387418251
grta,87.0,10:03:27,3.75388516427,33.7690809337,-84.3874178574
grta,88.0,10:03:28,3.75388516427,33.7691147791,-84.3874174638
grta,89.0,10:03:29,3.75388516427,33.7691486245,-84.3874170703
grta,90.0,10:03:30,3.75388516427,33.7691824699,-84.3874166767
grta,91.0,10:03:31,3.75388516427,33.7692163153,-84.3874162831
grta,92.0,10:03:32,3.75388516427,33.7692501607,-84.3874158895
grta,93.0,10:03:33,3.75388516427,33.7692840061,-84.3874154959
grta,94.0,10:03:34,3.75388516427,33.7693178515,-84.3874151024
grta,95.0,10:03:35,3.75388516427,33.7693516969,-84.3874147088
grta,96.0,10:03:36,3.75388516427,33.7693855423,-84.3874143152
grta,97.0,10:03:37,3.75388516427,33.7694193877,-84.3874139216
grta,98.0,10:03:38,3.75388516427,33.7694532331,-84.387413528
grta,99.0,10:03:39,3.75388516427,33.7694870785,-84.3874131344
grta,100.0,10:03:40,3.75388516427,33.7695209182,-84.3874123352
grta,101.0,10:03:41,3.75388516427,33.7695547556,-84.3874113696
grta,102.0,10:03:42,3.75388516427,33.769588593,-84.387410404
grta,103.0,10:03:43,3.75388516427,33.7696224304,-84.3874094384
grta,104.0,10:03:44,3.75388516427,33.7696562678,-84.3874084728
grta,105.0,10:03:45,3.75388516427,33.7696901052,-84.3874075072
grta,106.0,10:03:46,3.75388516427,33.7697239425,-84.3874065417
grta,107.0,10:03:47,3.75388516427,33.7697577799,-84.3874055761
grta,108.0,10:03:48,3.75388516427,33.7697916252,-84.3874054
grta,109.0,10:03:49,3.75388516427,33.7698254722,-84.3874054
grta,110.0,10:03:50,3.75388516427,33.7698593192,-84.3874054
grta,111.0,10:03:51,3.75388516427,33.7698931661,-84.3874054
grta,112.0,10:03:52,3.75388516427,33.7699270131,-84.3874054
grta,113.0,10:03:53,3.75388516427,33.7699608601,-84.3874054
grta,114.0,10:03:54,3.75388516427,33.7699947071,-84.3874054
grta,115.0,10:03:55,3.75388516427,33.7700285541,-84.3874054
grta,116.0,10:03:56,3.75388516427,33.7700624011,-84.3874054
grta,117.0,10:03:57,3.75388516427,33.7700962481,-84.3874054
grta,118.0,10:03:58,3.75388516427,33.7701300951,-84.3874054
grta,119.0,10:03:59,3.75388516427,33.7701639421,-84.3874054
grta,120.0,10:04:00,3.75388516427,33.7701977891,-84.3874054
grta,121.0,10:04:01,3.75388516427,33.7702316337,-84.3874050185
grta,122.0,10:04:02,3.75388516427,33.7702654769,-84.3874044141
grta,123.0,10:04:03,3.75388516427,33.7702993201,-84.3874038097
grta,124.0,10:04:04,3.75388516427,33.7703331634,-84.3874032053
grta,125.0,10:04:05,3.75388516427,33.7703670066,-84.3874026009
grta,126.0,10:04:06,3.75388516427,33.7704008498,-84.3874019965
grta,127.0,10:04:07,3.75388516427,33.770434693,-84.3874013921
grta,128.0,10:04:08,3.75388516427,33.7704685363,-84.3874007877
grta,129.0,10:04:09,3.75388516427,33.7705023795,-84.3874001833
grta,130.0,10:04:10,3.75388516427,33.7705362227,-84.3873995789
grta,131.0,10:04:11,3.75388516427,33.7705700659,-84.3873989745
grta,132.0,10:04:12,3.75388516427,33.7706039092,-84.3873983701
grta,133.0,10:04:13,3.75388516427,33.7706377524,-84.38739777
grta,134.0,10:04:14,3.75388516427,33.7706715994,-84.38739777
grta,135.0,10:04:15,3.75388516427,33.7707054464,-84.38739777
grta,136.0,10:04:16,3.75388516427,33.7707392881,-84.3873974574
grta,137.0,10:04:17,3.75388516427,33.770773107,-84.3873958075
grta,138.0,10:04:18,3.75388516427,33.7708069259,-84.3873941577
grta,139.0,10:04:19,3.75388516427,33.7708407449,-84.3873925078
