mode,secondID,time,speed (m/s),lat,lon
grta,0,08:53:00,12.2270342908,34.06749344,-83.98291016
grta,1,08:53:01,12.2270342908,34.0676036802,-83.98291016
grta,2,08:53:02,12.2270342908,34.06766129,-83.9828469181
grta,3,08:53:03,12.2270342908,34.06766129,-83.982714451
grta,4,08:53:04,12.2270342908,34.0676596516,-83.9825820008
grta,5,08:53:05,12.2270342908,34.0676577569,-83.9824495532
grta,6,08:53:06,12.2270342908,34.0677510193,-83.9824295
grta,7,08:53:07,12.2270342908,34.06782913,-83.9823908924
grta,8,08:53:08,12.2270342908,34.0678300735,-83.9822584381
grta,9,08:53:09,12.2270342908,34.0678326238,-83.9821260061
grta,10,08:53:10,12.2270342908,34.06783295,-83.9819935433
grta,11,08:53:11,12.2270342908,34.06783295,-83.9818610758
grta,12,08:53:12,12.2270342908,34.06783295,-83.9817286084
grta,13,08:53:13,12.2270342908,34.06783295,-83.981596141
grta,14,08:53:14,12.2270342908,34.06783295,-83.9814636736
grta,15,08:53:15,12.2270342908,34.06783295,-83.9813312062
grta,16,08:53:16,12.2270342908,34.06783295,-83.9811987388
grta,17,08:53:17,12.2270342908,34.06783295,-83.9810662714
grta,18,08:53:18,12.2270342908,34.06783295,-83.9809338039
grta,19,08:53:19,12.2270342908,34.067827123,-83.9808015851
grta,20,08:53:20,12.2270342908,34.0678166149,-83.9806698351
grta,21,08:53:21,12.2270342908,34.067790227,-83.9805420058
grta,22,08:53:22,12.2270342908,34.0677386931,-83.9804252062
grta,23,08:53:23,12.2270342908,34.067672606,-83.9803195398
grta,24,08:53:24,12.2270342908,34.0677347246,-83.9802249835
grta,25,08:53:25,12.2270342908,34.0678113754,-83.980129791
grta,26,08:53:26,12.2270342908,34.0678923295,-83.9800400391
grta,27,08:53:27,12.2270342908,34.0679786422,-83.9799576841
grta,28,08:53:28,12.2270342908,34.0680674983,-83.9798793136
grta,29,08:53:29,12.2270342908,34.0681553293,-83.9798149437
grta,30,08:53:30,12.2270342908,34.0682548272,-83.9797579583
grta,31,08:53:31,12.2270342908,34.0683557989,-83.9797049365
grta,32,08:53:32,12.2270342908,34.0684459218,-83.9796944731
grta,33,08:53:33,12.2270342908,34.0684925911,-83.9798144673
grta,34,08:53:34,12.2270342908,34.0685430602,-83.9799322383
grta,35,08:53:35,12.2270342908,34.0685890342,-83.9800525969
grta,36,08:53:36,12.2270342908,34.0686321694,-83.9801744682
grta,37,08:53:37,12.2270342908,34.0686693363,-83.9802990557
grta,38,08:53:38,12.2270342908,34.0686982569,-83.9804268302
grta,39,08:53:39,12.2270342908,34.0687190693,-83.9805568765
grta,40,08:53:40,12.2270342908,34.0687311853,-83.9806885414
grta,41,08:53:41,12.2270342908,34.0687410826,-83.9808204283
grta,42,08:53:42,12.2270342908,34.0687430921,-83.9809528751
grta,43,08:53:43,12.2270342908,34.0687475471,-83.9810851194
grta,44,08:53:44,12.2270342908,34.0687479257,-83.9812175202
grta,45,08:53:45,12.2270342908,34.0687473403,-83.9813499871
grta,46,08:53:46,12.2270342908,34.0687467549,-83.9814824541
grta,47,08:53:47,12.2270342908,34.0687461695,-83.9816149211
grta,48,08:53:48,12.2270342908,34.0687455841,-83.981747388
grta,49,08:53:49,12.2270342908,34.0687449986,-83.981879855
grta,50,08:53:50,12.2270342908,34.0687441556,-83.9820123195
grta,51,08:53:51,12.2270342908,34.0687429591,-83.9821447805
grta,52,08:53:52,12.2270342908,34.0687417626,-83.9822772415
grta,53,08:53:53,12.2270342908,34.0687405661,-83.9824097026
grta,54,08:53:54,12.2270342908,34.0687393696,-83.9825421636
grta,55,08:53:55,12.2270342908,34.0687381731,-83.9826746246
grta,56,08:53:56,12.2270342908,34.0687369766,-83.9828070857
grta,57,08:53:57,12.2270342908,34.06873578,-83.9829395467
grta,58,08:53:58,12.2270342908,34.0687345835,-83.9830720077
grta,59,08:53:59,12.2270342908,34.068733387,-83.9832044687
grta,60,08:54:00,12.2270342908,34.0687360646,-83.9833368852
grta,61,08:54:01,12.2270342908,34.06873703,-83.9834693366
grta,62,08:54:02,12.2270342908,34.06873703,-83.9836018055
grta,63,08:54:03,12.2270342908,34.06873703,-83.9837342743
grta,64,08:54:04,12.2270342908,34.06873703,-83.9838667431
grta,65,08:54:05,12.2270342908,34.0687434496,-83.983998964
grta,66,08:54:06,12.2270342908,34.0687518024,-83.9841310303
grta,67,08:54:07,12.2270342908,34.0687632597,-83.9842627818
grta,68,08:54:08,12.2270342908,34.0687787051,-83.9843939403
grta,69,08:54:09,12.2270342908,34.0688006652,-83.9845236717
grta,70,08:54:10,12.2270342908,34.068826338,-83.9846523576
grta,71,08:54:11,12.2270342908,34.0688679317,-83.9847749294
grta,72,08:54:12,12.2270342908,34.0689139394,-83.9848953073
grta,73,08:54:13,12.2270342908,34.0689646364,-83.9850129309
grta,74,08:54:14,12.2270342908,34.0690225603,-83.9851256296
grta,75,08:54:15,12.2270342908,34.069080664,-83.9852382053
grta,76,08:54:16,12.2270342908,34.0691318812,-83.9853554423
grta,77,08:54:17,12.2270342908,34.0691846519,-83.9854677626
grta,78,08:54:18,12.2270342908,34.0690894915,-83.9855346392
grta,79,08:54:19,12.2270342908,34.0689936566,-83.9856000928
grta,80,08:54:20,12.2270342908,34.0689010073,-83.9856718521
grta,81,08:54:21,12.2270342908,34.0688085325,-83.9857439634
grta,82,08:54:22,12.2270342908,34.0687159864,-83.9858159426
grta,83,08:54:23,12.2270342908,34.0686234656,-83.9858879681
grta,84,08:54:24,12.2270342908,34.0685328385,-83.9859633361
grta,85,08:54:25,12.2270342908,34.0684438549,-83.986041533
grta,86,08:54:26,12.2270342908,34.0683548713,-83.9861197298
grta,87,08:54:27,12.2270342908,34.0682653934,-83.9861970466
grta,88,08:54:28,12.2270342908,34.0681806574,-83.9862817826
grta,89,08:54:29,12.2270342908,34.0680925007,-83.9863612556
grta,90,08:54:30,12.2270342908,34.0680068646,-83.9864445861
grta,91,08:54:31,12.2270342908,34.0679227806,-83.9865302546
grta,92,08:54:32,12.2270342908,34.0678386967,-83.986615923
grta,93,08:54:33,12.2270342908,34.067754821,-83.9867018854
grta,94,08:54:34,12.2270342908,34.067670972,-83.9867878854
grta,95,08:54:35,12.2270342908,34.067587123,-83.9868738855
grta,96,08:54:36,12.2270342908,34.0675032741,-83.9869598855
grta,97,08:54:37,12.2270342908,34.0674194252,-83.9870458854
grta,98,08:54:38,12.2270342908,34.0673357306,-83.9871321016
grta,99,08:54:39,12.2270342908,34.0672521554,-83.9872184853
grta,100,08:54:40,12.2270342908,34.0671685803,-83.9873048689
grta,101,08:54:41,12.2270342908,34.0670850052,-83.9873912525
grta,102,08:54:42,12.2270342908,34.0670014302,-83.9874776361
grta,103,08:54:43,12.2270342908,34.0669178552,-83.9875640197
grta,104,08:54:44,12.2270342908,34.0668342802,-83.9876504032
grta,105,08:54:45,12.2270342908,34.0667507053,-83.9877367867
grta,106,08:54:46,12.2270342908,34.0666671304,-83.9878231701
