mode,secondID,time,speed (m/s),lat,lon
grta,0,07:00:00,16.8866299002,33.99874115,-83.90711212
grta,1,07:00:01,16.8866299002,33.9988737759,-83.9072018976
grta,2,07:00:02,16.8866299002,33.9990058105,-83.9072670865
grta,3,07:00:03,16.8866299002,33.9991339015,-83.9071682714
grta,4,07:00:04,16.8866299002,33.9992619926,-83.9070694562
grta,5,07:00:05,16.8866299002,33.9993900837,-83.906970641
grta,6,07:00:06,16.8866299002,33.9995181748,-83.9068718258
grta,7,07:00:07,16.8866299002,33.9994469136,-83.9067180279
grta,8,07:00:08,16.8866299002,33.9993675797,-83.9065620036
grta,9,07:00:09,16.8866299002,33.9992882459,-83.9064059795
grta,10,07:00:10,16.8866299002,33.9992089121,-83.9062499554
grta,11,07:00:11,16.8866299002,33.9991295783,-83.9060939314
grta,12,07:00:12,16.8866299002,33.9990502446,-83.9059379076
grta,13,07:00:13,16.8866299002,33.998970911,-83.9057818838
grta,14,07:00:14,16.8866299002,33.9988915774,-83.9056258602
grta,15,07:00:15,16.8866299002,33.9987978907,-83.9055488509
grta,16,07:00:16,16.8866299002,33.9986716514,-83.9056510431
grta,17,07:00:17,16.8866299002,33.9985454122,-83.9057532352
grta,18,07:00:18,16.8866299002,33.9984179092,-83.9058531283
grta,19,07:00:19,16.8866299002,33.9982900236,-83.9059523254
grta,20,07:00:20,16.8866299002,33.9981621382,-83.9060515226
grta,21,07:00:21,16.8866299002,33.9980342527,-83.9061507196
grta,22,07:00:22,16.8866299002,33.9979063673,-83.9062499167
grta,23,07:00:23,16.8866299002,33.997778482,-83.9063491136
grta,24,07:00:24,16.8866299002,33.9976505967,-83.9064483106
grta,25,07:00:25,16.8866299002,33.9975227115,-83.9065475074
grta,26,07:00:26,16.8866299002,33.9973978634,-83.9066521158
grta,27,07:00:27,16.8866299002,33.99727327,-83.9067571777
grta,28,07:00:28,16.8866299002,33.9971486767,-83.9068622395
grta,29,07:00:29,16.8866299002,33.9970240834,-83.9069673013
grta,30,07:00:30,16.8866299002,33.9968994902,-83.9070723631
grta,31,07:00:31,16.8866299002,33.9967766715,-83.9071802298
grta,32,07:00:32,16.8866299002,33.9966589438,-83.9072961437
grta,33,07:00:33,16.8866299002,33.9965440766,-83.9074155629
grta,34,07:00:34,16.8866299002,33.9964451366,-83.9075545006
grta,35,07:00:35,16.8866299002,33.9963498448,-83.9076968563
grta,36,07:00:36,16.8866299002,33.9962616305,-83.9078458432
grta,37,07:00:37,16.8866299002,33.9961850792,-83.9080026007
grta,38,07:00:38,16.8866299002,33.9961264515,-83.9081713
grta,39,07:00:39,16.8866299002,33.9960678238,-83.9083399992
grta,40,07:00:40,16.8866299002,33.9960091961,-83.9085086982
grta,41,07:00:41,16.8866299002,33.9959505686,-83.9086773973
grta,42,07:00:42,16.8866299002,33.9958919409,-83.9088460961
grta,43,07:00:43,16.8866299002,33.9958333134,-83.909014795
grta,44,07:00:44,16.8866299002,33.9957746858,-83.9091834936
grta,45,07:00:45,16.8866299002,33.9957160584,-83.9093521923
grta,46,07:00:46,16.8866299002,33.9956574309,-83.9095208908
grta,47,07:00:47,16.8866299002,33.9955988035,-83.9096895892
grta,48,07:00:48,16.8866299002,33.9955401761,-83.9098582875
grta,49,07:00:49,16.8866299002,33.9954815488,-83.9100269857
grta,50,07:00:50,16.8866299002,33.9954229215,-83.9101956839
grta,51,07:00:51,16.8866299002,33.9953642941,-83.9103643819
grta,52,07:00:52,16.8866299002,33.9953056669,-83.9105330798
grta,53,07:00:53,16.8866299002,33.9952470396,-83.9107017776
grta,54,07:00:54,16.8866299002,33.9951791012,-83.9108650593
grta,55,07:00:55,16.8866299002,33.9951207711,-83.9110339053
grta,56,07:00:56,16.8866299002,33.995062441,-83.9112027511
grta,57,07:00:57,16.8866299002,33.9949970266,-83.9113677574
grta,58,07:00:58,16.8866299002,33.9949301286,-83.9115319594
grta,59,07:00:59,16.8866299002,33.9948624996,-83.9116957228
