mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:17:00,15.2877895298,33.8224856044,-84.1098268333
grta,1.0,06:17:01,15.2877895298,33.8225096017,-84.1098381489
grta,2.0,06:17:02,15.2877895298,33.8226378679,-84.1098986312
grta,3.0,06:17:03,15.2877895298,33.8227661341,-84.1099591135
grta,4.0,06:17:04,15.2877895298,33.8228944003,-84.1100195958
grta,5.0,06:17:05,15.2877895298,33.822876177,-84.1101746949
grta,6.0,06:17:06,15.2877895298,33.8228478451,-84.110336323
grta,7.0,06:17:07,15.2877895298,33.8228195132,-84.1104979511
grta,8.0,06:17:08,15.2877895298,33.8227911813,-84.1106595791
grta,9.0,06:17:09,15.2877895298,33.8227628495,-84.110821207
grta,10.0,06:17:10,15.2877895298,33.8227345176,-84.1109828349
grta,11.0,06:17:11,15.2877895298,33.8227061858,-84.1111444628
grta,12.0,06:17:12,15.2877895298,33.822677854,-84.1113060906
grta,13.0,06:17:13,15.2877895298,33.8225711853,-84.1113365092
grta,14.0,06:17:14,15.2877895298,33.8224343659,-84.1113164272
grta,15.0,06:17:15,15.2877895298,33.8222975466,-84.1112963452
grta,16.0,06:17:16,15.2877895298,33.8222332313,-84.1113999581
grta,17.0,06:17:17,15.2877895298,33.8222025615,-84.1115609712
grta,18.0,06:17:18,15.2877895298,33.8221718917,-84.1117219843
grta,19.0,06:17:19,15.2877895298,33.8221412218,-84.1118829974
grta,20.0,06:17:20,15.2877895298,33.822110552,-84.1120440104
grta,21.0,06:17:21,15.2877895298,33.82219762,-84.1121117023
grta,22.0,06:17:22,15.2877895298,33.822333296,-84.1121408668
grta,23.0,06:17:23,15.2877895298,33.8224689719,-84.1121700312
grta,24.0,06:17:24,15.2877895298,33.8226046478,-84.1121991957
grta,25.0,06:17:25,15.2877895298,33.8227403238,-84.1122283602
grta,26.0,06:17:26,15.2877895298,33.8228759997,-84.1122575247
grta,27.0,06:17:27,15.2877895298,33.8230119338,-84.112284882
grta,28.0,06:17:28,15.2877895298,33.8231476068,-84.1123139694
grta,29.0,06:17:29,15.2877895298,33.8232828315,-84.1123457889
grta,30.0,06:17:30,15.2877895298,33.8233435277,-84.1124323306
grta,31.0,06:17:31,15.2877895298,33.823315011,-84.1125939129
grta,32.0,06:17:32,15.2877895298,33.8232841415,-84.1127548689
