mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:41:31,14.7089777915,33.74874878,-84.39797211
grta,1.0,06:41:32,14.7089777915,33.7488810736,-84.3979790097
grta,2.0,06:41:33,14.7089777915,33.7490131833,-84.3979661894
grta,3.0,06:41:34,14.7089777915,33.7491432755,-84.3979354255
grta,4.0,06:41:35,14.7089777915,33.7492726721,-84.3979006204
grta,5.0,06:41:36,14.7089777915,33.749401354,-84.3978842401
grta,6.0,06:41:37,14.7089777915,33.7495217414,-84.3978178213
grta,7.0,06:41:38,14.7089777915,33.7496405998,-84.3977473866
grta,8.0,06:41:39,14.7089777915,33.7497577013,-84.3976728819
grta,9.0,06:41:40,14.7089777915,33.7498744496,-84.3975975589
grta,10.0,06:41:41,14.7089777915,33.7499911975,-84.3975222349
grta,11.0,06:41:42,14.7089777915,33.75010187,-84.3974350373
grta,12.0,06:41:43,14.7089777915,33.7502162467,-84.3973549207
grta,13.0,06:41:44,14.7089777915,33.7503321092,-84.3972776627
grta,14.0,06:41:45,14.7089777915,33.7504453347,-84.3971949909
grta,15.0,06:41:46,14.7089777915,33.7505585603,-84.397112319
grta,16.0,06:41:47,14.7089777915,33.7506682567,-84.3970231458
grta,17.0,06:41:48,14.7089777915,33.7507767605,-84.3969319332
grta,18.0,06:41:49,14.7089777915,33.7508878664,-84.3968452434
grta,19.0,06:41:50,14.7089777915,33.7509981356,-84.3967570299
grta,20.0,06:41:51,14.7089777915,33.7511083137,-84.3966686545
grta,21.0,06:41:52,14.7089777915,33.7512180054,-84.3965794151
grta,22.0,06:41:53,14.7089777915,33.7513276972,-84.3964901757
grta,23.0,06:41:54,14.7089777915,33.7514373891,-84.3964009362
grta,24.0,06:41:55,14.7089777915,33.7515471122,-84.3963117522
grta,25.0,06:41:56,14.7089777915,33.7516573805,-84.3962235365
grta,26.0,06:41:57,14.7089777915,33.7517677407,-84.3961354868
grta,27.0,06:41:58,14.7089777915,33.7518786158,-84.3960483677
grta,28.0,06:41:59,14.7089777915,33.7519892352,-84.3959607899
grta,29.0,06:42:00,14.7089777915,33.7520989726,-84.39587163
