mode,secondID,time,speed (m/s),lat,lon
grta,0,09:36:29,3.2942721848,33.77702332,-84.38877869
grta,1,09:36:30,3.2942721848,33.7769936172,-84.38877869
grta,2,09:36:31,3.2942721848,33.7769639143,-84.38877869
grta,3,09:36:32,3.2942721848,33.7769342115,-84.38877869
grta,4,09:36:33,3.2942721848,33.7769045086,-84.38877869
grta,5,09:36:34,3.2942721848,33.7768748058,-84.38877869
grta,6,09:36:35,3.2942721848,33.7768451029,-84.38877869
grta,7,09:36:36,3.2942721848,33.7768154101,-84.3887794674
grta,8,09:36:37,3.2942721848,33.7767857215,-84.3887805671
grta,9,09:36:38,3.2942721848,33.7767560328,-84.3887816667
grta,10,09:36:39,3.2942721848,33.7767263442,-84.3887827663
grta,11,09:36:40,3.2942721848,33.7766966555,-84.388783866
grta,12,09:36:41,3.2942721848,33.7766669669,-84.3887849656
grta,13,09:36:42,3.2942721848,33.7766372782,-84.3887860652
grta,14,09:36:43,3.2942721848,33.7766075795,-84.3887865553
grta,15,09:36:44,3.2942721848,33.7765778778,-84.3887868615
grta,16,09:36:45,3.2942721848,33.776548176,-84.3887871677
grta,17,09:36:46,3.2942721848,33.7765184743,-84.388787474
grta,18,09:36:47,3.2942721848,33.7764887725,-84.3887877802
grta,19,09:36:48,3.2942721848,33.7764590708,-84.3887880864
grta,20,09:36:49,3.2942721848,33.776429369,-84.3887883927
grta,21,09:36:50,3.2942721848,33.7763996673,-84.3887886989
grta,22,09:36:51,3.2942721848,33.7763699655,-84.3887890051
grta,23,09:36:52,3.2942721848,33.7763402638,-84.3887893113
grta,24,09:36:53,3.2942721848,33.776310562,-84.3887896176
grta,25,09:36:54,3.2942721848,33.7762808603,-84.3887899238
grta,26,09:36:55,3.2942721848,33.7762511585,-84.38879023
grta,27,09:36:56,3.2942721848,33.7762214568,-84.3887905363
grta,28,09:36:57,3.2942721848,33.776191755,-84.3887908425
grta,29,09:36:58,3.2942721848,33.7761620533,-84.3887911487
grta,30,09:36:59,3.2942721848,33.7761323515,-84.3887914549
