mode,secondID,time,speed (m/s),lat,lon
grta,0,08:21:34,2.64741770472,33.78425217,-84.38782501
grta,1,08:21:35,2.64741770472,33.7842760404,-84.38782501
grta,2,08:21:36,2.64741770472,33.7842999109,-84.38782501
grta,3,08:21:37,2.64741770472,33.7843237813,-84.38782501
grta,4,08:21:38,2.64741770472,33.7843476518,-84.38782501
grta,5,08:21:39,2.64741770472,33.7843715222,-84.38782501
grta,6,08:21:40,2.64741770472,33.7843953927,-84.38782501
grta,7,08:21:41,2.64741770472,33.7844192577,-84.3878246825
grta,8,08:21:42,2.64741770472,33.7844431093,-84.3878235466
grta,9,08:21:43,2.64741770472,33.7844669609,-84.3878224107
grta,10,08:21:44,2.64741770472,33.7844908125,-84.3878212749
grta,11,08:21:45,2.64741770472,33.7845146641,-84.387820139
grta,12,08:21:46,2.64741770472,33.7845385157,-84.3878190032
grta,13,08:21:47,2.64741770472,33.7845623673,-84.3878178673
grta,14,08:21:48,2.64741770472,33.7845862294,-84.3878172906
grta,15,08:21:49,2.64741770472,33.7846100995,-84.3878171341
grta,16,08:21:50,2.64741770472,33.7846339696,-84.3878169775
grta,17,08:21:51,2.64741770472,33.7846578397,-84.387816821
grta,18,08:21:52,2.64741770472,33.7846817098,-84.3878166645
grta,19,08:21:53,2.64741770472,33.7847055799,-84.3878165079
grta,20,08:21:54,2.64741770472,33.78472945,-84.3878163514
grta,21,08:21:55,2.64741770472,33.78475332,-84.3878161949
grta,22,08:21:56,2.64741770472,33.7847771901,-84.3878160383
grta,23,08:21:57,2.64741770472,33.7848010602,-84.3878158818
grta,24,08:21:58,2.64741770472,33.7848249303,-84.3878157252
grta,25,08:21:59,2.64741770472,33.7848488004,-84.3878155687
grta,26,08:22:00,2.64741770472,33.7848726705,-84.3878154122
grta,27,08:22:01,2.64741770472,33.7848965406,-84.3878152556
grta,28,08:22:02,2.64741770472,33.7849204106,-84.3878150991
grta,29,08:22:03,2.64741770472,33.7849442807,-84.3878149426
grta,30,08:22:04,2.64741770472,33.7849681508,-84.387814786
grta,31,08:22:05,2.64741770472,33.7849920209,-84.3878146295
grta,32,08:22:06,2.64741770472,33.785015891,-84.3878144729
grta,33,08:22:07,2.64741770472,33.7850397611,-84.3878143164
grta,34,08:22:08,2.64741770472,33.7850636312,-84.3878141599
grta,35,08:22:09,2.64741770472,33.7850875013,-84.3878140033
grta,36,08:22:10,2.64741770472,33.7851113713,-84.3878138468
grta,37,08:22:11,2.64741770472,33.7851352414,-84.3878136902
grta,38,08:22:12,2.64741770472,33.7851591115,-84.3878135337
grta,39,08:22:13,2.64741770472,33.7851829816,-84.3878133772
grta,40,08:22:14,2.64741770472,33.7852068517,-84.3878132206
grta,41,08:22:15,2.64741770472,33.7852307218,-84.3878130641
grta,42,08:22:16,2.64741770472,33.7852545919,-84.3878129076
grta,43,08:22:17,2.64741770472,33.7852784619,-84.387812751
grta,44,08:22:18,2.64741770472,33.785302332,-84.3878125945
grta,45,08:22:19,2.64741770472,33.7853262021,-84.3878124379
grta,46,08:22:20,2.64741770472,33.7853500722,-84.3878122814
grta,47,08:22:21,2.64741770472,33.7853739423,-84.3878121249
grta,48,08:22:22,2.64741770472,33.7853978124,-84.3878119683
grta,49,08:22:23,2.64741770472,33.7854216824,-84.3878118118
grta,50,08:22:24,2.64741770472,33.7854455525,-84.3878116553
grta,51,08:22:25,2.64741770472,33.7854694226,-84.3878114987
grta,52,08:22:26,2.64741770472,33.7854932927,-84.3878113422
grta,53,08:22:27,2.64741770472,33.7855171628,-84.3878111856
grta,54,08:22:28,2.64741770472,33.7855410329,-84.3878110291
grta,55,08:22:29,2.64741770472,33.785564903,-84.3878108726
grta,56,08:22:30,2.64741770472,33.785588773,-84.387810716
grta,57,08:22:31,2.64741770472,33.7856126431,-84.3878105595
grta,58,08:22:32,2.64741770472,33.7856365132,-84.387810403
grta,59,08:22:33,2.64741770472,33.7856603833,-84.3878102464
grta,60,08:22:34,2.64741770472,33.7856842534,-84.3878100899
grta,61,08:22:35,2.64741770472,33.7857081235,-84.3878099333
grta,62,08:22:36,2.64741770472,33.7857319935,-84.3878097768
grta,63,08:22:37,2.64741770472,33.7857558533,-84.3878089745
grta,64,08:22:38,2.64741770472,33.785779711,-84.3878080388
grta,65,08:22:39,2.64741770472,33.7858035686,-84.3878071032
grta,66,08:22:40,2.64741770472,33.7858274263,-84.3878061675
grta,67,08:22:41,2.64741770472,33.7858512839,-84.3878052319
grta,68,08:22:42,2.64741770472,33.7858751416,-84.3878042962
grta,69,08:22:43,2.64741770472,33.7858989992,-84.3878033605
grta,70,08:22:44,2.64741770472,33.7859228569,-84.3878024249
grta,71,08:22:45,2.64741770472,33.7859467202,-84.3878024878
grta,72,08:22:46,2.64741770472,33.7859705863,-84.3878030333
grta,73,08:22:47,2.64741770472,33.7859944524,-84.3878035789
grta,74,08:22:48,2.64741770472,33.7860183185,-84.3878041244
grta,75,08:22:49,2.64741770472,33.7860421846,-84.38780467
grta,76,08:22:50,2.64741770472,33.7860660507,-84.3878052155
grta,77,08:22:51,2.64741770472,33.7860899168,-84.3878057611
grta,78,08:22:52,2.64741770472,33.7861137829,-84.3878063066
grta,79,08:22:53,2.64741770472,33.786137649,-84.3878068522
grta,80,08:22:54,2.64741770472,33.7861615151,-84.3878073977
grta,81,08:22:55,2.64741770472,33.7861853812,-84.3878079433
grta,82,08:22:56,2.64741770472,33.7862092473,-84.3878084888
grta,83,08:22:57,2.64741770472,33.7862331134,-84.3878090344
grta,84,08:22:58,2.64741770472,33.7862569794,-84.3878095799
grta,85,08:22:59,2.64741770472,33.7862808455,-84.3878101255
grta,86,08:23:00,2.64741770472,33.7863047116,-84.387810671
grta,87,08:23:01,2.64741770472,33.7863285777,-84.3878112166
grta,88,08:23:02,2.64741770472,33.7863524438,-84.3878117621
grta,89,08:23:03,2.64741770472,33.7863763099,-84.3878123077
grta,90,08:23:04,2.64741770472,33.786400176,-84.3878128532
grta,91,08:23:05,2.64741770472,33.7864240421,-84.3878133988
grta,92,08:23:06,2.64741770472,33.7864479082,-84.3878139443
grta,93,08:23:07,2.64741770472,33.7864717743,-84.3878144898
grta,94,08:23:08,2.64741770472,33.7864956404,-84.3878150354
grta,95,08:23:09,2.64741770472,33.7865195065,-84.3878155809
grta,96,08:23:10,2.64741770472,33.7865433725,-84.3878161265
grta,97,08:23:11,2.64741770472,33.7865672386,-84.387816672
grta,98,08:23:12,2.64741770472,33.7865911047,-84.3878172176
grta,99,08:23:13,2.64741770472,33.7866149739,-84.38781738
grta,100,08:23:14,2.64741770472,33.7866388443,-84.38781738
grta,101,08:23:15,2.64741770472,33.7866627148,-84.38781738
grta,102,08:23:16,2.64741770472,33.7866865852,-84.38781738
grta,103,08:23:17,2.64741770472,33.7867104556,-84.38781738
grta,104,08:23:18,2.64741770472,33.7867343261,-84.38781738
grta,105,08:23:19,2.64741770472,33.7867581965,-84.38781738
grta,106,08:23:20,2.64741770472,33.7867820669,-84.38781738
grta,107,08:23:21,2.64741770472,33.7868059374,-84.38781738
grta,108,08:23:22,2.64741770472,33.7868298078,-84.38781738
grta,109,08:23:23,2.64741770472,33.7868536783,-84.38781738
grta,110,08:23:24,2.64741770472,33.7868775487,-84.38781738
grta,111,08:23:25,2.64741770472,33.7869014191,-84.38781738
grta,112,08:23:26,2.64741770472,33.7869252896,-84.38781738
