mode,secondID,time,speed (m/s),lat,lon
grta,0,06:45:00,14.2585076441,33.64126205,-83.98682404
grta,1,06:45:01,14.2585076441,33.6411803016,-83.9867054048
grta,2,06:45:02,14.2585076441,33.6410985532,-83.9865867696
grta,3,06:45:03,14.2585076441,33.6410168049,-83.9864681345
grta,4,06:45:04,14.2585076441,33.6409350566,-83.9863494995
grta,5,06:45:05,14.2585076441,33.6408533084,-83.9862308645
grta,6,06:45:06,14.2585076441,33.6407715602,-83.9861122296
grta,7,06:45:07,14.2585076441,33.6406898121,-83.9859935948
grta,8,06:45:08,14.2585076441,33.640608333,-83.9858746972
grta,9,06:45:09,14.2585076441,33.6405273599,-83.9857553052
grta,10,06:45:10,14.2585076441,33.6404463869,-83.9856359133
grta,11,06:45:11,14.2585076441,33.6403654139,-83.9855165215
grta,12,06:45:12,14.2585076441,33.6402844409,-83.9853971298
grta,13,06:45:13,14.2585076441,33.640203468,-83.9852777381
grta,14,06:45:14,14.2585076441,33.6401224952,-83.9851583465
grta,15,06:45:15,14.2585076441,33.6400426276,-83.9850378969
grta,16,06:45:16,14.2585076441,33.6399628926,-83.9849173206
grta,17,06:45:17,14.2585076441,33.6398817156,-83.984798129
grta,18,06:45:18,14.2585076441,33.6398004327,-83.9846790394
grta,19,06:45:19,14.2585076441,33.6397191497,-83.9845599499
grta,20,06:45:20,14.2585076441,33.6396378668,-83.9844408604
grta,21,06:45:21,14.2585076441,33.639556584,-83.984321771
grta,22,06:45:22,14.2585076441,33.6394753013,-83.9842026817
grta,23,06:45:23,14.2585076441,33.6393940185,-83.9840835925
grta,24,06:45:24,14.2585076441,33.6393127358,-83.9839645033
grta,25,06:45:25,14.2585076441,33.6392314532,-83.9838454141
grta,26,06:45:26,14.2585076441,33.6391501706,-83.9837263251
grta,27,06:45:27,14.2585076441,33.639068888,-83.9836072361
grta,28,06:45:28,14.2585076441,33.6389876055,-83.9834881472
grta,29,06:45:29,14.2585076441,33.6389052656,-83.9833701036
grta,30,06:45:30,14.2585076441,33.6388226987,-83.9832522846
grta,31,06:45:31,14.2585076441,33.6387401319,-83.9831344656
grta,32,06:45:32,14.2585076441,33.6386575652,-83.9830166467
grta,33,06:45:33,14.2585076441,33.6385749985,-83.9828988278
grta,34,06:45:34,14.2585076441,33.6384924318,-83.982781009
grta,35,06:45:35,14.2585076441,33.6384098652,-83.9826631903
grta,36,06:45:36,14.2585076441,33.6383272986,-83.9825453716
grta,37,06:45:37,14.2585076441,33.6382442669,-83.9824280228
grta,38,06:45:38,14.2585076441,33.6381609242,-83.9823109879
grta,39,06:45:39,14.2585076441,33.6380749636,-83.9821967879
grta,40,06:45:40,14.2585076441,33.6379842612,-83.9820879764
grta,41,06:45:41,14.2585076441,33.6378877681,-83.9819864044
grta,42,06:45:42,14.2585076441,33.6377863725,-83.9818920976
grta,43,06:45:43,14.2585076441,33.6376795404,-83.9818069722
grta,44,06:45:44,14.2585076441,33.6375687241,-83.9817294459
grta,45,06:45:45,14.2585076441,33.6374509196,-83.981668141
grta,46,06:45:46,14.2585076441,33.637333424,-83.9816061082
grta,47,06:45:47,14.2585076441,33.6372109279,-83.9815597771
grta,48,06:45:48,14.2585076441,33.637085884,-83.981524051
grta,49,06:45:49,14.2585076441,33.6369599743,-83.9814931398
grta,50,06:45:50,14.2585076441,33.6368332961,-83.981467491
grta,51,06:45:51,14.2585076441,33.6367048822,-83.98146057
grta,52,06:45:52,14.2585076441,33.6365763171,-83.98146057
grta,53,06:45:53,14.2585076441,33.6364477519,-83.98146057
grta,54,06:45:54,14.2585076441,33.6363191868,-83.98146057
grta,55,06:45:55,14.2585076441,33.6361906253,-83.9814616101
grta,56,06:45:56,14.2585076441,33.6360620645,-83.9814628873
grta,57,06:45:57,14.2585076441,33.6359335038,-83.9814641645
grta,58,06:45:58,14.2585076441,33.6358049431,-83.9814654417
grta,59,06:45:59,14.2585076441,33.6356763824,-83.9814667189
grta,60,06:46:00,14.2585076441,33.6355478217,-83.9814679961
grta,61,06:46:01,14.2585076441,33.635419261,-83.9814692733
grta,62,06:46:02,14.2585076441,33.6352907002,-83.9814705504
grta,63,06:46:03,14.2585076441,33.6351621395,-83.9814718276
grta,64,06:46:04,14.2585076441,33.6350335788,-83.9814731048
grta,65,06:46:05,14.2585076441,33.634905018,-83.981474382
grta,66,06:46:06,14.2585076441,33.6347764573,-83.9814756592
grta,67,06:46:07,14.2585076441,33.6346478966,-83.9814769364
grta,68,06:46:08,14.2585076441,33.6345193358,-83.9814782136
grta,69,06:46:09,14.2585076441,33.6343907751,-83.9814794908
grta,70,06:46:10,14.2585076441,33.6342622143,-83.981480768
grta,71,06:46:11,14.2585076441,33.6341336536,-83.9814820452
grta,72,06:46:12,14.2585076441,33.6340050928,-83.9814833224
grta,73,06:46:13,14.2585076441,33.6338765281,-83.98148346
grta,74,06:46:14,14.2585076441,33.6337479629,-83.98148346
grta,75,06:46:15,14.2585076441,33.6336193977,-83.98148346
grta,76,06:46:16,14.2585076441,33.6334908325,-83.98148346
grta,77,06:46:17,14.2585076441,33.6333622673,-83.98148346
grta,78,06:46:18,14.2585076441,33.6332337021,-83.98148346
grta,79,06:46:19,14.2585076441,33.6331051369,-83.98148346
grta,80,06:46:20,14.2585076441,33.6329765717,-83.98148346
grta,81,06:46:21,14.2585076441,33.6328480065,-83.98148346
grta,82,06:46:22,14.2585076441,33.6327194412,-83.98148346
grta,83,06:46:23,14.2585076441,33.632590876,-83.98148346
grta,84,06:46:24,14.2585076441,33.6324623108,-83.98148346
grta,85,06:46:25,14.2585076441,33.6323337456,-83.98148346
grta,86,06:46:26,14.2585076441,33.6322051803,-83.98148346
grta,87,06:46:27,14.2585076441,33.6320766151,-83.98148346
grta,88,06:46:28,14.2585076441,33.6319480499,-83.98148346
grta,89,06:46:29,14.2585076441,33.6318194846,-83.98148346
grta,90,06:46:30,14.2585076441,33.6316909194,-83.98148346
grta,91,06:46:31,14.2585076441,33.6315623542,-83.98148346
grta,92,06:46:32,14.2585076441,33.6314337901,-83.9814833873
grta,93,06:46:33,14.2585076441,33.6313053177,-83.9814775469
grta,94,06:46:34,14.2585076441,33.6312415583,-83.981371863
grta,95,06:46:35,14.2585076441,33.6312042618,-83.981224782
grta,96,06:46:36,14.2585076441,33.6311661445,-83.9810779999
grta,97,06:46:37,14.2585076441,33.6311286667,-83.9809309827
grta,98,06:46:38,14.2585076441,33.6310911888,-83.9807839656
grta,99,06:46:39,14.2585076441,33.6310518269,-83.980637681
grta,100,06:46:40,14.2585076441,33.6310097845,-83.9804924389
grta,101,06:46:41,14.2585076441,33.6309677422,-83.9803471968
grta,102,06:46:42,14.2585076441,33.6309256998,-83.9802019548
grta,103,06:46:43,14.2585076441,33.6308838625,-83.9800566285
grta,104,06:46:44,14.2585076441,33.6308423075,-83.9799111863
grta,105,06:46:45,14.2585076441,33.6308007526,-83.9797657442
grta,106,06:46:46,14.2585076441,33.6307591977,-83.9796203021
grta,107,06:46:47,14.2585076441,33.6307176429,-83.97947486
grta,108,06:46:48,14.2585076441,33.630676088,-83.9793294181
grta,109,06:46:49,14.2585076441,33.6306345332,-83.9791839762
grta,110,06:46:50,14.2585076441,33.630596821,-83.979037064
grta,111,06:46:51,14.2585076441,33.6305659894,-83.9788878609
grta,112,06:46:52,14.2585076441,33.630535898,-83.9787384449
grta,113,06:46:53,14.2585076441,33.6305813352,-83.9786589408
grta,114,06:46:54,14.2585076441,33.6307098684,-83.9786555129
grta,115,06:46:55,14.2585076441,33.6308383374,-83.9786503605
grta,116,06:46:56,14.2585076441,33.6309662269,-83.9786353408
