mode,secondID,time,speed (m/s),lat,lon
grta,0,07:30:00,10.3768939845,33.64126205,-83.98682404
grta,1,07:30:01,10.3768939845,33.6412025561,-83.986737701
grta,2,07:30:02,10.3768939845,33.6411430622,-83.986651362
grta,3,07:30:03,10.3768939845,33.6410835683,-83.9865650231
grta,4,07:30:04,10.3768939845,33.6410240744,-83.9864786842
grta,5,07:30:05,10.3768939845,33.6409645806,-83.9863923454
grta,6,07:30:06,10.3768939845,33.6409050868,-83.9863060065
grta,7,07:30:07,10.3768939845,33.640845593,-83.9862196678
grta,8,07:30:08,10.3768939845,33.6407860992,-83.986133329
grta,9,07:30:09,10.3768939845,33.6407266055,-83.9860469903
grta,10,07:30:10,10.3768939845,33.6406671118,-83.9859606516
grta,11,07:30:11,10.3768939845,33.6406078913,-83.985874046
grta,12,07:30:12,10.3768939845,33.6405489617,-83.9857871563
grta,13,07:30:13,10.3768939845,33.640490032,-83.9857002666
grta,14,07:30:14,10.3768939845,33.6404311024,-83.9856133769
grta,15,07:30:15,10.3768939845,33.6403721728,-83.9855264873
grta,16,07:30:16,10.3768939845,33.6403132432,-83.9854395977
grta,17,07:30:17,10.3768939845,33.6402543137,-83.9853527082
grta,18,07:30:18,10.3768939845,33.6401953841,-83.9852658187
grta,19,07:30:19,10.3768939845,33.6401364546,-83.9851789292
grta,20,07:30:20,10.3768939845,33.6400780801,-83.9850915085
grta,21,07:30:21,10.3768939845,33.6400200514,-83.9850037568
grta,22,07:30:22,10.3768939845,33.6399620227,-83.9849160052
grta,23,07:30:23,10.3768939845,33.6399029567,-83.9848292498
grta,24,07:30:24,10.3768939845,33.6398438015,-83.9847425802
grta,25,07:30:25,10.3768939845,33.6397846463,-83.9846559105
grta,26,07:30:26,10.3768939845,33.6397254911,-83.9845692409
grta,27,07:30:27,10.3768939845,33.639666336,-83.9844825713
grta,28,07:30:28,10.3768939845,33.6396071809,-83.9843959017
grta,29,07:30:29,10.3768939845,33.6395480258,-83.9843092322
grta,30,07:30:30,10.3768939845,33.6394888708,-83.9842225628
grta,31,07:30:31,10.3768939845,33.6394297157,-83.9841358933
grta,32,07:30:32,10.3768939845,33.6393705607,-83.9840492239
grta,33,07:30:33,10.3768939845,33.6393114057,-83.9839625546
grta,34,07:30:34,10.3768939845,33.6392522508,-83.9838758852
grta,35,07:30:35,10.3768939845,33.6391930958,-83.983789216
grta,36,07:30:36,10.3768939845,33.6391339409,-83.9837025467
