mode,secondID,time,speed (m/s),lat,lon
grta,0,07:39:29,13.7896666796,33.74874878,-84.39797211
grta,1,07:39:30,13.7896666796,33.7488727993,-84.3979796008
grta,2,07:39:31,13.7896666796,33.7489967637,-84.3979689261
grta,3,07:39:32,13.7896666796,33.7491189033,-84.3979413346
grta,4,07:39:33,13.7896666796,33.7492403301,-84.3979093618
grta,5,07:39:34,13.7896666796,33.7493631101,-84.3979033599
grta,6,07:39:35,13.7896666796,33.7494771699,-84.3978442354
grta,7,07:39:36,13.7896666796,33.749588599,-84.3977782013
grta,8,07:39:37,13.7896666796,33.7496993271,-84.3977105433
grta,9,07:39:38,13.7896666796,33.7498087787,-84.3976399281
grta,10,07:39:39,13.7896666796,33.7499182301,-84.3975693126
grta,11,07:39:40,13.7896666796,33.750026867,-84.3974971049
grta,12,07:39:41,13.7896666796,33.7501293458,-84.3974128561
grta,13,07:39:42,13.7896666796,33.7502379719,-84.3973404369
grta,14,07:39:43,13.7896666796,33.7503462624,-84.3972673287
grta,15,07:39:44,13.7896666796,33.7504524113,-84.3971898239
grta,16,07:39:45,13.7896666796,33.7505585603,-84.397112319
grta,17,07:39:46,13.7896666796,33.75066155,-84.3970289773
grta,18,07:39:47,13.7896666796,33.7507628404,-84.3969427114
grta,19,07:39:48,13.7896666796,33.7508671909,-84.3968617834
grta,20,07:39:49,13.7896666796,33.7509705683,-84.3967790833
grta,21,07:39:50,13.7896666796,33.7510739457,-84.3966963832
grta,22,07:39:51,13.7896666796,33.751176871,-84.3966128799
grta,23,07:39:52,13.7896666796,33.7512797071,-84.396529218
grta,24,07:39:53,13.7896666796,33.7513825432,-84.396445556
grta,25,07:39:54,13.7896666796,33.7514853793,-84.3963618939
grta,26,07:39:55,13.7896666796,33.7515884628,-84.3962786713
grta,27,07:39:56,13.7896666796,33.7516918394,-84.3961959691
grta,28,07:39:57,13.7896666796,33.7517954595,-84.3961137071
grta,29,07:39:58,13.7896666796,33.7518994049,-84.3960320329
grta,30,07:39:59,13.7896666796,33.7520029524,-84.3959496449
grta,31,07:40:00,13.7896666796,33.7521058312,-84.3958660575
