mode,secondID,time,speed (m/s),lat,lon
grta,0,06:25:00,10.7467548573,33.68507385,-84.05705261
grta,1,06:25:01,10.7467548573,33.6849789144,-84.0570293882
grta,2,06:25:02,10.7467548573,33.6848839789,-84.0570061663
grta,3,06:25:03,10.7467548573,33.6847890434,-84.0569829445
grta,4,06:25:04,10.7467548573,33.6846941078,-84.0569597227
grta,5,06:25:05,10.7467548573,33.6845991723,-84.0569365009
grta,6,06:25:06,10.7467548573,33.6845347531,-84.0569698006
grta,7,06:25:07,10.7467548573,33.6845133975,-84.0570828616
grta,8,06:25:08,10.7467548573,33.6844920419,-84.0571959226
grta,9,06:25:09,10.7467548573,33.684470397,-84.0573089039
grta,10,06:25:10,10.7467548573,33.6844482761,-84.0574217541
grta,11,06:25:11,10.7467548573,33.6844261552,-84.0575346043
grta,12,06:25:12,10.7467548573,33.6844040343,-84.0576474544
grta,13,06:25:13,10.7467548573,33.6843819134,-84.0577603045
grta,14,06:25:14,10.7467548573,33.6843597925,-84.0578731546
grta,15,06:25:15,10.7467548573,33.6843376716,-84.0579860047
grta,16,06:25:16,10.7467548573,33.6843155507,-84.0580988547
grta,17,06:25:17,10.7467548573,33.6842934299,-84.0582117047
grta,18,06:25:18,10.7467548573,33.684271309,-84.0583245547
grta,19,06:25:19,10.7467548573,33.6842491881,-84.0584374047
grta,20,06:25:20,10.7467548573,33.6842270673,-84.0585502546
grta,21,06:25:21,10.7467548573,33.6842047039,-84.0586630356
grta,22,06:25:22,10.7467548573,33.6841820771,-84.0587757419
grta,23,06:25:23,10.7467548573,33.6841594504,-84.0588884481
grta,24,06:25:24,10.7467548573,33.6841368237,-84.0590011543
grta,25,06:25:25,10.7467548573,33.6841141969,-84.0591138605
grta,26,06:25:26,10.7467548573,33.6840915702,-84.0592265667
grta,27,06:25:27,10.7467548573,33.6840689435,-84.0593392728
grta,28,06:25:28,10.7467548573,33.6840463167,-84.0594519789
grta,29,06:25:29,10.7467548573,33.68402369,-84.059564685
grta,30,06:25:30,10.7467548573,33.684001315,-84.0596774625
grta,31,06:25:31,10.7467548573,33.683979151,-84.0597903
grta,32,06:25:32,10.7467548573,33.6839554101,-84.0599026685
grta,33,06:25:33,10.7467548573,33.6839308226,-84.0600147853
