mode,secondID,time,speed (m/s),lat,lon
grta,0,06:24:05,3.76315915989,33.75341797,-84.39079285
grta,1,06:24:06,3.76315915989,33.7534353934,-84.390757994
grta,2,06:24:07,3.76315915989,33.7534528209,-84.3907231409
grta,3,06:24:08,3.76315915989,33.7534702485,-84.3906882879
grta,4,06:24:09,3.76315915989,33.7534876761,-84.3906534348
grta,5,06:24:10,3.76315915989,33.7535051036,-84.3906185817
grta,6,06:24:11,3.76315915989,33.7535225302,-84.3905837279
grta,7,06:24:12,3.76315915989,33.7535399558,-84.3905488734
grta,8,06:24:13,3.76315915989,33.7535573814,-84.3905140189
grta,9,06:24:14,3.76315915989,33.7535748086,-84.3904791655
grta,10,06:24:15,3.76315915989,33.7535922375,-84.3904443134
grta,11,06:24:16,3.76315915989,33.753611087,-84.3904105622
grta,12,06:24:17,3.76315915989,33.7536325273,-84.390379454
grta,13,06:24:18,3.76315915989,33.753653693,-84.3903477054
grta,14,06:24:19,3.76315915989,33.7536761133,-84.3903172588
grta,15,06:24:20,3.76315915989,33.7536993619,-84.3902876717
grta,16,06:24:21,3.76315915989,33.7536887538,-84.3902549743
grta,17,06:24:22,3.76315915989,33.7536695484,-84.390221487
grta,18,06:24:23,3.76315915989,33.7536503429,-84.3901879998
grta,19,06:24:24,3.76315915989,33.7536311374,-84.3901545125
grta,20,06:24:25,3.76315915989,33.753611932,-84.3901210253
grta,21,06:24:26,3.76315915989,33.7535927265,-84.390087538
grta,22,06:24:27,3.76315915989,33.753573521,-84.3900540508
grta,23,06:24:28,3.76315915989,33.7535544403,-84.3900204701
grta,24,06:24:29,3.76315915989,33.7535376678,-84.3899851594
grta,25,06:24:30,3.76315915989,33.7535208952,-84.3899498487
grta,26,06:24:31,3.76315915989,33.7535041227,-84.389914538
grta,27,06:24:32,3.76315915989,33.7534873502,-84.3898792273
grta,28,06:24:33,3.76315915989,33.7534699214,-84.3898443796
grta,29,06:24:34,3.76315915989,33.7534522497,-84.3898097031
grta,30,06:24:35,3.76315915989,33.753434578,-84.3897750267
grta,31,06:24:36,3.76315915989,33.7534169064,-84.3897403502
grta,32,06:24:37,3.76315915989,33.7533992347,-84.3897056738
grta,33,06:24:38,3.76315915989,33.753381563,-84.3896709974
grta,34,06:24:39,3.76315915989,33.7533638914,-84.389636321
grta,35,06:24:40,3.76315915989,33.7533462197,-84.3896016446
grta,36,06:24:41,3.76315915989,33.7533285481,-84.3895669681
grta,37,06:24:42,3.76315915989,33.7533108764,-84.3895322917
grta,38,06:24:43,3.76315915989,33.7532932048,-84.3894976153
grta,39,06:24:44,3.76315915989,33.7532746675,-84.3894636499
grta,40,06:24:45,3.76315915989,33.7532540007,-84.3894314339
grta,41,06:24:46,3.76315915989,33.7532333338,-84.3893992178
grta,42,06:24:47,3.76315915989,33.753212667,-84.3893670017
grta,43,06:24:48,3.76315915989,33.7531920001,-84.3893347856
grta,44,06:24:49,3.76315915989,33.7531713333,-84.3893025696
grta,45,06:24:50,3.76315915989,33.7531506664,-84.3892703535
grta,46,06:24:51,3.76315915989,33.7531299996,-84.3892381375
grta,47,06:24:52,3.76315915989,33.7531093327,-84.3892059214
grta,48,06:24:53,3.76315915989,33.7530886659,-84.3891737054
grta,49,06:24:54,3.76315915989,33.7530679991,-84.3891414893
grta,50,06:24:55,3.76315915989,33.7530473322,-84.3891092733
grta,51,06:24:56,3.76315915989,33.7530266654,-84.3890770573
grta,52,06:24:57,3.76315915989,33.7530069128,-84.3890440394
grta,53,06:24:58,3.76315915989,33.7529874857,-84.3890107361
grta,54,06:24:59,3.76315915989,33.7529680586,-84.3889774329
grta,55,06:25:00,3.76315915989,33.7529486315,-84.3889441296
grta,56,06:25:01,3.76315915989,33.7529281375,-84.3889117804
grta,57,06:25:02,3.76315915989,33.7529069725,-84.3888800314
grta,58,06:25:03,3.76315915989,33.7528858074,-84.3888482825
grta,59,06:25:04,3.76315915989,33.7528646378,-84.3888165379
grta,60,06:25:05,3.76315915989,33.7528429846,-84.3887852642
grta,61,06:25:06,3.76315915989,33.7528213314,-84.3887539905
grta,62,06:25:07,3.76315915989,33.7527996782,-84.3887227169
grta,63,06:25:08,3.76315915989,33.7527781012,-84.3886913679
grta,64,06:25:09,3.76315915989,33.752756539,-84.3886600043
grta,65,06:25:10,3.76315915989,33.7527349767,-84.3886286407
grta,66,06:25:11,3.76315915989,33.7527134145,-84.3885972771
grta,67,06:25:12,3.76315915989,33.7526918522,-84.3885659136
