mode,secondID,time,speed (m/s),lat,lon
grta,0,07:30:30,12.801694903,33.74945068,-84.39079285
grta,1,07:30:31,12.801694903,33.7495469644,-84.390716738
grta,2,07:30:32,12.801694903,33.7496457986,-84.3906453598
grta,3,07:30:33,12.801694903,33.7497412675,-84.3905677216
grta,4,07:30:34,12.801694903,33.7498364774,-84.3904896018
grta,5,07:30:35,12.801694903,33.7499316874,-84.3904114819
grta,6,07:30:36,12.801694903,33.7500287352,-84.390336699
grta,7,07:30:37,12.801694903,33.7501262329,-84.390262733
grta,8,07:30:38,12.801694903,33.7502226216,-84.3901867462
grta,9,07:30:39,12.801694903,33.7503180429,-84.3901089963
grta,10,07:30:40,12.801694903,33.7504143633,-84.390032894
grta,11,07:30:41,12.801694903,33.7505137659,-84.3899627633
grta,12,07:30:42,12.801694903,33.7506186461,-84.3899069557
grta,13,07:30:43,12.801694903,33.7507272372,-84.3898601089
grta,14,07:30:44,12.801694903,33.7508180247,-84.3898767269
grta,15,07:30:45,12.801694903,33.7508809844,-84.389992542
grta,16,07:30:46,12.801694903,33.7509439442,-84.3901083571
grta,17,07:30:47,12.801694903,33.7510069041,-84.3902241724
grta,18,07:30:48,12.801694903,33.7510698639,-84.3903399876
grta,19,07:30:49,12.801694903,33.7511328238,-84.390455803
grta,20,07:30:50,12.801694903,33.7511957838,-84.3905716184
grta,21,07:30:51,12.801694903,33.7512587438,-84.3906874338
grta,22,07:30:52,12.801694903,33.7513217038,-84.3908032493
grta,23,07:30:53,12.801694903,33.7513846638,-84.3909190649
grta,24,07:30:54,12.801694903,33.7514464058,-84.3910357918
grta,25,07:30:55,12.801694903,33.7515092431,-84.391151703
grta,26,07:30:56,12.801694903,33.7515720804,-84.3912676143
grta,27,07:30:57,12.801694903,33.7516349178,-84.3913835256
grta,28,07:30:58,12.801694903,33.7516977551,-84.391499437
grta,29,07:30:59,12.801694903,33.7517605926,-84.3916153485
