mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:38:00,20.0203574246,33.54829025,-84.27897644
grta,1.0,06:38:01,20.0203574246,33.5483235311,-84.279188111
grta,2.0,06:38:02,20.0203574246,33.5483403127,-84.2794025153
grta,3.0,06:38:03,20.0203574246,33.5483453732,-84.2796180231
grta,4.0,06:38:04,20.0203574246,33.5483382909,-84.2798331153
grta,5.0,06:38:05,20.0203574246,33.5483447122,-84.2800483036
grta,6.0,06:38:06,20.0203574246,33.5483451043,-84.2802637641
grta,7.0,06:38:07,20.0203574246,33.54834366,-84.2804793431
grta,8.0,06:38:08,20.0203574246,33.5483452629,-84.2806949108
grta,9.0,06:38:09,20.0203574246,33.5483501614,-84.2809104252
grta,10.0,06:38:10,20.0203574246,33.5483566388,-84.2811258776
grta,11.0,06:38:11,20.0203574246,33.5483680088,-84.2813409307
grta,12.0,06:38:12,20.0203574246,33.5483930969,-84.2815541035
grta,13.0,06:38:13,20.0203574246,33.5484250175,-84.2817661478
grta,14.0,06:38:14,20.0203574246,33.5484707768,-84.2819746261
grta,15.0,06:38:15,20.0203574246,33.548525727,-84.2821798625
grta,16.0,06:38:16,20.0203574246,33.5485920245,-84.2823803807
grta,17.0,06:38:17,20.0203574246,33.5486622014,-84.2825789926
grta,18.0,06:38:18,20.0203574246,33.5487364151,-84.2827754894
grta,19.0,06:38:19,20.0203574246,33.5488096045,-84.2829722384
grta,20.0,06:38:20,20.0203574246,33.548865756,-84.2831771382
grta,21.0,06:38:21,20.0203574246,33.5489219075,-84.2833820382
grta,22.0,06:38:22,20.0203574246,33.5489780591,-84.2835869383
grta,23.0,06:38:23,20.0203574246,33.5490399994,-84.2837891836
grta,24.0,06:38:24,20.0203574246,33.5491122192,-84.2839867536
grta,25.0,06:38:25,20.0203574246,33.5491835658,-84.284184774
grta,26.0,06:38:26,20.0203574246,33.549256065,-84.284382219
grta,27.0,06:38:27,20.0203574246,33.5493302946,-84.2845787177
grta,28.0,06:38:28,20.0203574246,33.5494081085,-84.284773256
grta,29.0,06:38:29,20.0203574246,33.5494835783,-84.2849691062
grta,30.0,06:38:30,20.0203574246,33.5495589323,-84.2851650213
grta,31.0,06:38:31,20.0203574246,33.5496346067,-84.2853607597
grta,32.0,06:38:32,20.0203574246,33.5497107204,-84.2855562558
grta,33.0,06:38:33,20.0203574246,33.5497868341,-84.2857517521
grta,34.0,06:38:34,20.0203574246,33.5498629479,-84.2859472485
grta,35.0,06:38:35,20.0203574246,33.5499390617,-84.286142745
grta,36.0,06:38:36,20.0203574246,33.5500119987,-84.286339939
grta,37.0,06:38:37,20.0203574246,33.5500833031,-84.2865380055
grta,38.0,06:38:38,20.0203574246,33.5501593965,-84.2867334775
grta,39.0,06:38:39,20.0203574246,33.5502359869,-84.2869287086
grta,40.0,06:38:40,20.0203574246,33.5503147353,-84.2871226899
grta,41.0,06:38:41,20.0203574246,33.5503957546,-84.2873153549
grta,42.0,06:38:42,20.0203574246,33.5504768534,-84.2875079724
grta,43.0,06:38:43,20.0203574246,33.5505575444,-84.2877008342
grta,44.0,06:38:44,20.0203574246,33.550637941,-84.2878938664
grta,45.0,06:38:45,20.0203574246,33.5507145046,-84.288089114
grta,46.0,06:38:46,20.0203574246,33.5507911868,-84.2882842946
grta,47.0,06:38:47,20.0203574246,33.5508692613,-84.2884786873
grta,48.0,06:38:48,20.0203574246,33.5509473358,-84.28867308
grta,49.0,06:38:49,20.0203574246,33.5510268334,-84.2888666443
grta,50.0,06:38:50,20.0203574246,33.5511069875,-84.2890598264
grta,51.0,06:38:51,20.0203574246,33.5511863896,-84.2892534507
grta,52.0,06:38:52,20.0203574246,33.5512656357,-84.2894471667
grta,53.0,06:38:53,20.0203574246,33.5513440145,-84.2896413742
grta,54.0,06:38:54,20.0203574246,33.5514194703,-84.2898372376
grta,55.0,06:38:55,20.0203574246,33.5514949261,-84.2900331012
grta,56.0,06:38:56,20.0203574246,33.5515703819,-84.2902289648
grta,57.0,06:38:57,20.0203574246,33.5516458378,-84.2904248286
grta,58.0,06:38:58,20.0203574246,33.5517220196,-84.2906202888
grta,59.0,06:38:59,20.0203574246,33.5517989986,-84.2908153057
grta,60.0,06:39:00,20.0203574246,33.5518756394,-84.2910105112
grta,61.0,06:39:01,20.0203574246,33.5519512471,-84.2912062922
grta,62.0,06:39:02,20.0203574246,33.5520268548,-84.2914020733
grta,63.0,06:39:03,20.0203574246,33.5521024626,-84.2915978545
grta,64.0,06:39:04,20.0203574246,33.5521780705,-84.2917936359
grta,65.0,06:39:05,20.0203574246,33.552253458,-84.2919895384
grta,66.0,06:39:06,20.0203574246,33.5523285801,-84.2921855867
grta,67.0,06:39:07,20.0203574246,33.5524037022,-84.2923816352
grta,68.0,06:39:08,20.0203574246,33.5524788243,-84.2925776838
grta,69.0,06:39:09,20.0203574246,33.552553408,-84.2927740225
grta,70.0,06:39:10,20.0203574246,33.5526266699,-84.292971073
grta,71.0,06:39:11,20.0203574246,33.5526999319,-84.2931681237
grta,72.0,06:39:12,20.0203574246,33.5527722843,-84.2933656438
grta,73.0,06:39:13,20.0203574246,33.552842171,-84.2935644359
grta,74.0,06:39:14,20.0203574246,33.5529120578,-84.2937632282
grta,75.0,06:39:15,20.0203574246,33.5529819447,-84.2939620206
grta,76.0,06:39:16,20.0203574246,33.5530518316,-84.2941608131
grta,77.0,06:39:17,20.0203574246,33.5531215098,-84.2943597099
grta,78.0,06:39:18,20.0203574246,33.5531908122,-84.2945587945
grta,79.0,06:39:19,20.0203574246,33.5532601146,-84.2947578792
grta,80.0,06:39:20,20.0203574246,33.5533291006,-84.2949571199
grta,81.0,06:39:21,20.0203574246,33.5533974425,-84.2951566779
grta,82.0,06:39:22,20.0203574246,33.5534657845,-84.2953562361
grta,83.0,06:39:23,20.0203574246,33.5535341266,-84.2955557945
grta,84.0,06:39:24,20.0203574246,33.5536024686,-84.2957553529
grta,85.0,06:39:25,20.0203574246,33.5536708108,-84.2959549115
grta,86.0,06:39:26,20.0203574246,33.5537362167,-84.2961558571
