mode,secondID,time,speed (m/s),lat,lon
grta,0,08:41:18,14.1264480192,33.7476387,-84.39221191
grta,1,08:41:19,14.1264480192,33.747745379,-84.3921286016
grta,2,08:41:20,14.1264480192,33.747852058,-84.3920452932
grta,3,08:41:21,14.1264480192,33.747958737,-84.3919619847
grta,4,08:41:22,14.1264480192,33.748065294,-84.3918784538
grta,5,08:41:23,14.1264480192,33.748171475,-84.3917942384
grta,6,08:41:24,14.1264480192,33.7482777866,-84.3917102617
grta,7,08:41:25,14.1264480192,33.7483847754,-84.391627524
grta,8,08:41:26,14.1264480192,33.7484917642,-84.3915447862
grta,9,08:41:27,14.1264480192,33.7485984323,-84.39146146
grta,10,08:41:28,14.1264480192,33.748704763,-84.3913775151
grta,11,08:41:29,14.1264480192,33.7488110937,-84.3912935701
grta,12,08:41:30,14.1264480192,33.7489174245,-84.3912096252
grta,13,08:41:31,14.1264480192,33.7490237553,-84.3911256802
grta,14,08:41:32,14.1264480192,33.7491300862,-84.3910417351
grta,15,08:41:33,14.1264480192,33.7492364171,-84.3909577901
grta,16,08:41:34,14.1264480192,33.749343391,-84.3908750297
