mode,secondID,time,speed (m/s),lat,lon
grta,0,07:59:56,2.6371810421,33.78056208,-84.38742744
grta,1,07:59:57,2.6371810421,33.7805843009,-84.3874375755
grta,2,07:59:58,2.6371810421,33.7806065218,-84.3874477111
grta,3,07:59:59,2.6371810421,33.7806287427,-84.3874578466
grta,4,08:00:00,2.6371810421,33.7806509636,-84.3874679821
grta,5,08:00:01,2.6371810421,33.7806731845,-84.3874781176
grta,6,08:00:02,2.6371810421,33.7806954054,-84.3874882532
grta,7,08:00:03,2.6371810421,33.7807176263,-84.3874983887
grta,8,08:00:04,2.6371810421,33.7807398122,-84.3875086328
grta,9,08:00:05,2.6371810421,33.780761943,-84.3875190472
grta,10,08:00:06,2.6371810421,33.7807840738,-84.3875294616
grta,11,08:00:07,2.6371810421,33.7808062046,-84.3875398761
grta,12,08:00:08,2.6371810421,33.7808283354,-84.3875502905
grta,13,08:00:09,2.6371810421,33.7808504662,-84.387560705
grta,14,08:00:10,2.6371810421,33.7808725969,-84.3875711194
grta,15,08:00:11,2.6371810421,33.7808947277,-84.3875815339
grta,16,08:00:12,2.6371810421,33.7809168585,-84.3875919483
grta,17,08:00:13,2.6371810421,33.7809389893,-84.3876023628
grta,18,08:00:14,2.6371810421,33.7809611202,-84.3876127772
grta,19,08:00:15,2.6371810421,33.780983251,-84.3876231916
grta,20,08:00:16,2.6371810421,33.781005505,-84.3876332181
grta,21,08:00:17,2.6371810421,33.7810278203,-84.3876430516
grta,22,08:00:18,2.6371810421,33.7810501357,-84.3876528852
grta,23,08:00:19,2.6371810421,33.781072451,-84.3876627187
grta,24,08:00:20,2.6371810421,33.7810947663,-84.3876725522
grta,25,08:00:21,2.6371810421,33.7811170817,-84.3876823858
grta,26,08:00:22,2.6371810421,33.781139397,-84.3876922193
grta,27,08:00:23,2.6371810421,33.7811617124,-84.3877020529
grta,28,08:00:24,2.6371810421,33.7811840277,-84.3877118864
grta,29,08:00:25,2.6371810421,33.781206343,-84.3877217199
grta,30,08:00:26,2.6371810421,33.7812287967,-84.3877310814
grta,31,08:00:27,2.6371810421,33.7812513497,-84.3877401038
grta,32,08:00:28,2.6371810421,33.7812739028,-84.3877491262
grta,33,08:00:29,2.6371810421,33.7812965433,-84.3877577975
grta,34,08:00:30,2.6371810421,33.7813195354,-84.3877650586
grta,35,08:00:31,2.6371810421,33.7813425275,-84.3877723198
grta,36,08:00:32,2.6371810421,33.7813655261,-84.3877795501
grta,37,08:00:33,2.6371810421,33.7813886559,-84.3877861543
grta,38,08:00:34,2.6371810421,33.7814117858,-84.3877927585
grta,39,08:00:35,2.6371810421,33.7814351542,-84.3877979513
grta,40,08:00:36,2.6371810421,33.7814586075,-84.3878026426
grta,41,08:00:37,2.6371810421,33.7814820607,-84.3878073338
grta,42,08:00:38,2.6371810421,33.7815056092,-84.3878111837
grta,43,08:00:39,2.6371810421,33.7815292589,-84.3878141399
grta,44,08:00:40,2.6371810421,33.7815529086,-84.3878170961
grta,45,08:00:41,2.6371810421,33.7815765873,-84.3878196946
grta,46,08:00:42,2.6371810421,33.7816002692,-84.387822255
grta,47,08:00:43,2.6371810421,33.781623951,-84.3878248155
grta,48,08:00:44,2.6371810421,33.7816476329,-84.387827376
grta,49,08:00:45,2.6371810421,33.7816713147,-84.3878299364
grta,50,08:00:46,2.6371810421,33.7816949965,-84.3878324969
grta,51,08:00:47,2.6371810421,33.7817187524,-84.3878336835
grta,52,08:00:48,2.6371810421,33.7817425126,-84.3878347887
grta,53,08:00:49,2.6371810421,33.7817662729,-84.3878358939
grta,54,08:00:50,2.6371810421,33.7817900331,-84.3878369991
grta,55,08:00:51,2.6371810421,33.7818137934,-84.3878381044
grta,56,08:00:52,2.6371810421,33.7818375536,-84.3878392096
grta,57,08:00:53,2.6371810421,33.7818613124,-84.387840347
grta,58,08:00:54,2.6371810421,33.7818850377,-84.3878422451
grta,59,08:00:55,2.6371810421,33.781908763,-84.3878441432
grta,60,08:00:56,2.6371810421,33.7819324882,-84.3878460414
grta,61,08:00:57,2.6371810421,33.7819562145,-84.3878478895
grta,62,08:00:58,2.6371810421,33.7819799889,-84.3878473836
grta,63,08:00:59,2.6371810421,33.7820037633,-84.3878468777
grta,64,08:01:00,2.6371810421,33.7820275377,-84.3878463718
grta,65,08:01:01,2.6371810421,33.7820513121,-84.387845866
grta,66,08:01:02,2.6371810421,33.7820750865,-84.3878453601
grta,67,08:01:03,2.6371810421,33.782098861,-84.3878448542
grta,68,08:01:04,2.6371810421,33.7821226354,-84.3878443483
grta,69,08:01:05,2.6371810421,33.7821464098,-84.3878438424
grta,70,08:01:06,2.6371810421,33.7821701842,-84.3878433366
grta,71,08:01:07,2.6371810421,33.7821939586,-84.3878428307
grta,72,08:01:08,2.6371810421,33.782217733,-84.3878423248
grta,73,08:01:09,2.6371810421,33.7822415074,-84.3878418189
grta,74,08:01:10,2.6371810421,33.7822652818,-84.387841313
grta,75,08:01:11,2.6371810421,33.7822890562,-84.3878408071
grta,76,08:01:12,2.6371810421,33.7823128306,-84.3878403013
grta,77,08:01:13,2.6371810421,33.782336608,-84.3878400908
grta,78,08:01:14,2.6371810421,33.7823603856,-84.3878398998
grta,79,08:01:15,2.6371810421,33.7823841632,-84.3878397088
grta,80,08:01:16,2.6371810421,33.7824079409,-84.3878395178
grta,81,08:01:17,2.6371810421,33.7824317185,-84.3878393268
grta,82,08:01:18,2.6371810421,33.7824554961,-84.3878391358
grta,83,08:01:19,2.6371810421,33.7824792737,-84.3878389448
grta,84,08:01:20,2.6371810421,33.7825030514,-84.3878387538
grta,85,08:01:21,2.6371810421,33.782526829,-84.3878385628
grta,86,08:01:22,2.6371810421,33.7825506066,-84.3878383718
grta,87,08:01:23,2.6371810421,33.7825743842,-84.3878381808
grta,88,08:01:24,2.6371810421,33.7825981618,-84.3878379898
grta,89,08:01:25,2.6371810421,33.7826219394,-84.3878377988
grta,90,08:01:26,2.6371810421,33.7826457171,-84.3878376078
grta,91,08:01:27,2.6371810421,33.7826694947,-84.3878374168
grta,92,08:01:28,2.6371810421,33.7826932723,-84.3878372258
grta,93,08:01:29,2.6371810421,33.7827170499,-84.3878370348
grta,94,08:01:30,2.6371810421,33.7827408275,-84.3878368438
grta,95,08:01:31,2.6371810421,33.7827646052,-84.3878366528
grta,96,08:01:32,2.6371810421,33.7827883828,-84.3878364618
grta,97,08:01:33,2.6371810421,33.7828121604,-84.3878362708
grta,98,08:01:34,2.6371810421,33.782835938,-84.3878360798
grta,99,08:01:35,2.6371810421,33.7828597156,-84.3878358888
grta,100,08:01:36,2.6371810421,33.7828834933,-84.3878356978
grta,101,08:01:37,2.6371810421,33.7829072709,-84.3878355068
grta,102,08:01:38,2.6371810421,33.7829310485,-84.3878353158
grta,103,08:01:39,2.6371810421,33.7829548261,-84.3878351248
grta,104,08:01:40,2.6371810421,33.7829786037,-84.3878349338
grta,105,08:01:41,2.6371810421,33.7830023814,-84.3878347428
grta,106,08:01:42,2.6371810421,33.783026159,-84.3878345518
grta,107,08:01:43,2.6371810421,33.7830499366,-84.3878343608
grta,108,08:01:44,2.6371810421,33.7830737142,-84.3878341698
grta,109,08:01:45,2.6371810421,33.7830974918,-84.3878339788
grta,110,08:01:46,2.6371810421,33.7831212694,-84.3878337878
grta,111,08:01:47,2.6371810421,33.7831450471,-84.3878335968
grta,112,08:01:48,2.6371810421,33.7831688247,-84.3878334058
grta,113,08:01:49,2.6371810421,33.7831926023,-84.3878332148
grta,114,08:01:50,2.6371810421,33.7832163799,-84.3878330238
grta,115,08:01:51,2.6371810421,33.7832401575,-84.3878328328
grta,116,08:01:52,2.6371810421,33.7832639351,-84.3878326418
grta,117,08:01:53,2.6371810421,33.7832877129,-84.3878324835
grta,118,08:01:54,2.6371810421,33.7833114907,-84.3878323255
grta,119,08:01:55,2.6371810421,33.7833352685,-84.3878321675
grta,120,08:01:56,2.6371810421,33.7833590463,-84.3878320095
grta,121,08:01:57,2.6371810421,33.7833828241,-84.3878318515
grta,122,08:01:58,2.6371810421,33.7834066019,-84.3878316935
grta,123,08:01:59,2.6371810421,33.7834303796,-84.3878315355
grta,124,08:02:00,2.6371810421,33.7834541574,-84.3878313775
grta,125,08:02:01,2.6371810421,33.7834779352,-84.3878312194
grta,126,08:02:02,2.6371810421,33.783501713,-84.3878310614
grta,127,08:02:03,2.6371810421,33.7835254908,-84.3878309034
grta,128,08:02:04,2.6371810421,33.7835492686,-84.3878307454
grta,129,08:02:05,2.6371810421,33.7835730464,-84.3878305874
grta,130,08:02:06,2.6371810421,33.7835968241,-84.3878304294
grta,131,08:02:07,2.6371810421,33.7836206019,-84.3878302714
grta,132,08:02:08,2.6371810421,33.7836443797,-84.3878301134
grta,133,08:02:09,2.6371810421,33.7836681575,-84.3878299554
grta,134,08:02:10,2.6371810421,33.7836919353,-84.3878297974
grta,135,08:02:11,2.6371810421,33.7837157131,-84.3878296394
grta,136,08:02:12,2.6371810421,33.7837394908,-84.3878294814
grta,137,08:02:13,2.6371810421,33.7837632686,-84.3878293234
grta,138,08:02:14,2.6371810421,33.7837870464,-84.3878291654
grta,139,08:02:15,2.6371810421,33.7838108242,-84.3878290074
grta,140,08:02:16,2.6371810421,33.783834602,-84.3878288494
grta,141,08:02:17,2.6371810421,33.7838583798,-84.3878286914
grta,142,08:02:18,2.6371810421,33.7838821576,-84.3878285334
grta,143,08:02:19,2.6371810421,33.7839059353,-84.3878283754
grta,144,08:02:20,2.6371810421,33.7839297131,-84.3878282174
grta,145,08:02:21,2.6371810421,33.7839534909,-84.3878280593
grta,146,08:02:22,2.6371810421,33.7839772687,-84.3878279013
grta,147,08:02:23,2.6371810421,33.7840010465,-84.3878277433
grta,148,08:02:24,2.6371810421,33.7840248243,-84.3878275853
