mode,secondID,time,speed (m/s),lat,lon
grta,0,07:53:00,10.4941057072,33.52433395,-84.36208344
grta,1,07:53:01,10.4941057072,33.5243365169,-84.361970505
grta,2,07:53:02,10.4941057072,33.5243390838,-84.36185757
grta,3,07:53:03,10.4941057072,33.5243416507,-84.3617446349
grta,4,07:53:04,10.4941057072,33.5243442175,-84.3616316999
grta,5,07:53:05,10.4941057072,33.5243467844,-84.3615187649
grta,6,07:53:06,10.4941057072,33.5243493513,-84.3614058299
grta,7,07:53:07,10.4941057072,33.5243519182,-84.3612928948
grta,8,07:53:08,10.4941057072,33.5243544851,-84.3611799598
grta,9,07:53:09,10.4941057072,33.5243646096,-84.3610753644
grta,10,07:53:10,10.4941057072,33.5244587042,-84.3610634279
grta,11,07:53:11,10.4941057072,33.5245527988,-84.3610514915
grta,12,07:53:12,10.4941057072,33.5246468934,-84.361039555
grta,13,07:53:13,10.4941057072,33.524740988,-84.3610276185
grta,14,07:53:14,10.4941057072,33.5248350826,-84.361015682
grta,15,07:53:15,10.4941057072,33.5249291772,-84.3610037456
grta,16,07:53:16,10.4941057072,33.5250232718,-84.3609918091
grta,17,07:53:17,10.4941057072,33.5251173664,-84.3609798726
grta,18,07:53:18,10.4941057072,33.525211461,-84.3609679362
grta,19,07:53:19,10.4941057072,33.5253055555,-84.3609559997
grta,20,07:53:20,10.4941057072,33.5253996815,-84.3609444434
grta,21,07:53:21,10.4941057072,33.5254939201,-84.3609342543
grta,22,07:53:22,10.4941057072,33.5255879539,-84.360921738
grta,23,07:53:23,10.4941057072,33.5256819578,-84.3609088303
grta,24,07:53:24,10.4941057072,33.5257758165,-84.3608946544
grta,25,07:53:25,10.4941057072,33.5258693731,-84.3608777458
grta,26,07:53:26,10.4941057072,33.5259634609,-84.3608657335
grta,27,07:53:27,10.4941057072,33.5260575422,-84.3608536504
grta,28,07:53:28,10.4941057072,33.5261515733,-84.3608410202
grta,29,07:53:29,10.4941057072,33.5262456043,-84.36082839
grta,30,07:53:30,10.4941057072,33.5263396353,-84.3608157598
grta,31,07:53:31,10.4941057072,33.5264336664,-84.3608031297
grta,32,07:53:32,10.4941057072,33.5265276974,-84.3607904995
grta,33,07:53:33,10.4941057072,33.5266218388,-84.3607791347
grta,34,07:53:34,10.4941057072,33.5267159699,-84.3607676753
grta,35,07:53:35,10.4941057072,33.5268099238,-84.3607542516
grta,36,07:53:36,10.4941057072,33.5269039643,-84.3607417502
grta,37,07:53:37,10.4941057072,33.5269980741,-84.3607299855
grta,38,07:53:38,10.4941057072,33.5270921839,-84.3607182208
grta,39,07:53:39,10.4941057072,33.5271860958,-84.3607043907
grta,40,07:53:40,10.4941057072,33.52728044,-84.3606959862
grta,41,07:53:41,10.4941057072,33.5273746723,-84.3606857747
grta,42,07:53:42,10.4941057072,33.527468874,-84.3606751096
grta,43,07:53:43,10.4941057072,33.5275631627,-84.3606656355
grta,44,07:53:44,10.4941057072,33.5276575298,-84.3606573184
grta,45,07:53:45,10.4941057072,33.5277513571,-84.3606427909
grta,46,07:53:46,10.4941057072,33.5278454385,-84.3606307431
grta,47,07:53:47,10.4941057072,33.5279396399,-84.3606201122
grta,48,07:53:48,10.4941057072,33.5280336746,-84.3606075835
grta,49,07:53:49,10.4941057072,33.5281277493,-84.3605954256
grta,50,07:53:50,10.4941057072,33.5282217485,-84.3605824615
grta,51,07:53:51,10.4941057072,33.5283157476,-84.3605694973
grta,52,07:53:52,10.4941057072,33.5284097468,-84.3605565332
grta,53,07:53:53,10.4941057072,33.5285037459,-84.360543569
grta,54,07:53:54,10.4941057072,33.5285977309,-84.3605304609
grta,55,07:53:55,10.4941057072,33.5286917472,-84.3605177758
grta,56,07:53:56,10.4941057072,33.5287860539,-84.3605085294
grta,57,07:53:57,10.4941057072,33.5288803607,-84.3604992829
grta,58,07:53:58,10.4941057072,33.5289746674,-84.3604900364
grta,59,07:53:59,10.4941057072,33.5290689624,-84.3604806428
grta,60,07:54:00,10.4941057072,33.5291630387,-84.3604685024
grta,61,07:54:01,10.4941057072,33.5292572267,-84.3604576886
grta,62,07:54:02,10.4941057072,33.5293515464,-84.3604489763
grta,63,07:54:03,10.4941057072,33.5294460685,-84.3604437315
grta,64,07:54:04,10.4941057072,33.529540559,-84.3604377347
grta,65,07:54:05,10.4941057072,33.529635048,-84.3604316993
grta,66,07:54:06,10.4941057072,33.5297295387,-84.3604256994
grta,67,07:54:07,10.4941057072,33.5298240293,-84.3604196995
grta,68,07:54:08,10.4941057072,33.5299185199,-84.3604136996
grta,69,07:54:09,10.4941057072,33.5300130105,-84.3604076997
grta,70,07:54:10,10.4941057072,33.53010757,-84.3604057284
grta,71,07:54:11,10.4941057072,33.5302021869,-84.36040712
grta,72,07:54:12,10.4941057072,33.5302968039,-84.3604085115
grta,73,07:54:13,10.4941057072,33.5303914209,-84.360409903
grta,74,07:54:14,10.4941057072,33.5304860378,-84.3604112946
grta,75,07:54:15,10.4941057072,33.5305806552,-84.3604126
grta,76,07:54:16,10.4941057072,33.5306752793,-84.3604126
grta,77,07:54:17,10.4941057072,33.5307699035,-84.3604126
grta,78,07:54:18,10.4941057072,33.5308645276,-84.3604126
grta,79,07:54:19,10.4941057072,33.5309591517,-84.3604126
grta,80,07:54:20,10.4941057072,33.5310537624,-84.3604135023
grta,81,07:54:21,10.4941057072,33.5311483264,-84.3604175266
grta,82,07:54:22,10.4941057072,33.5312259306,-84.3604532875
grta,83,07:54:23,10.4941057072,33.5312688268,-84.3605539962
grta,84,07:54:24,10.4941057072,33.5313124388,-84.3606542539
grta,85,07:54:25,10.4941057072,33.5313572883,-84.3607537366
grta,86,07:54:26,10.4941057072,33.5313999909,-84.360854559
grta,87,07:54:27,10.4941057072,33.5314423204,-84.3609556093
grta,88,07:54:28,10.4941057072,33.5314846499,-84.3610566595
grta,89,07:54:29,10.4941057072,33.5315298545,-84.361155915
grta,90,07:54:30,10.4941057072,33.5315751913,-84.3612550881
grta,91,07:54:31,10.4941057072,33.5316205281,-84.3613542612
grta,92,07:54:32,10.4941057072,33.5316658649,-84.3614534343
grta,93,07:54:33,10.4941057072,33.5317112018,-84.3615526075
grta,94,07:54:34,10.4941057072,33.5317541622,-84.3616532398
grta,95,07:54:35,10.4941057072,33.5317953374,-84.3617549682
grta,96,07:54:36,10.4941057072,33.5318365125,-84.3618566966
grta,97,07:54:37,10.4941057072,33.5318750857,-84.3619597922
grta,98,07:54:38,10.4941057072,33.5319100812,-84.3620647674
grta,99,07:54:39,10.4941057072,33.5319432628,-84.3621705672
grta,100,07:54:40,10.4941057072,33.531975528,-84.3622767816
grta,101,07:54:41,10.4941057072,33.5320057816,-84.3623838375
grta,102,07:54:42,10.4941057072,33.5320353094,-84.3624911759
grta,103,07:54:43,10.4941057072,33.5320637165,-84.3625989505
grta,104,07:54:44,10.4941057072,33.5320917626,-84.3627068279
grta,105,07:54:45,10.4941057072,33.5321162259,-84.3628159733
grta,106,07:54:46,10.4941057072,33.5321396396,-84.3629254215
grta,107,07:54:47,10.4941057072,33.5321595812,-84.3630358706
grta,108,07:54:48,10.4941057072,33.5321795229,-84.3631463198
grta,109,07:54:49,10.4941057072,33.5321948625,-84.3632577381
grta,110,07:54:50,10.4941057072,33.5322042668,-84.3633701438
grta,111,07:54:51,10.4941057072,33.5322114064,-84.3634827965
grta,112,07:54:52,10.4941057072,33.5322152556,-84.3635956869
grta,113,07:54:53,10.4941057072,33.5322246259,-84.3637081184
grta,114,07:54:54,10.4941057072,33.5322664622,-84.3637838736
grta,115,07:54:55,10.4941057072,33.532359958,-84.3638012697
grta,116,07:54:56,10.4941057072,33.5324534538,-84.3638186659
grta,117,07:54:57,10.4941057072,33.5325469496,-84.3638360621
grta,118,07:54:58,10.4941057072,33.5326407553,-84.3638508569
grta,119,07:54:59,10.4941057072,33.532733998,-84.3638699648
grta,120,07:55:00,10.4941057072,33.5328271851,-84.3638895637
grta,121,07:55:01,10.4941057072,33.5329205489,-84.363907943
grta,122,07:55:02,10.4941057072,33.5330139127,-84.3639263222
grta,123,07:55:03,10.4941057072,33.5331072765,-84.3639447015
grta,124,07:55:04,10.4941057072,33.5332006403,-84.3639630807
grta,125,07:55:05,10.4941057072,33.5332940041,-84.36398146
grta,126,07:55:06,10.4941057072,33.5333873679,-84.3639998392
grta,127,07:55:07,10.4941057072,33.5334807318,-84.3640182185
grta,128,07:55:08,10.4941057072,33.5335740956,-84.3640365977
grta,129,07:55:09,10.4941057072,33.5336674594,-84.364054977
grta,130,07:55:10,10.4941057072,33.5337608232,-84.3640733563
grta,131,07:55:11,10.4941057072,33.5338542518,-84.364091258
grta,132,07:55:12,10.4941057072,33.5339475765,-84.3641099181
grta,133,07:55:13,10.4941057072,33.5340409009,-84.364128581
grta,134,07:55:14,10.4941057072,33.5341342247,-84.3641472477
grta,135,07:55:15,10.4941057072,33.5342276434,-84.364165202
grta,136,07:55:16,10.4941057072,33.5343212105,-84.3641820429
grta,137,07:55:17,10.4941057072,33.5344147776,-84.3641988839
grta,138,07:55:18,10.4941057072,33.5345083447,-84.3642157248
grta,139,07:55:19,10.4941057072,33.5346018356,-84.3642331375
grta,140,07:55:20,10.4941057072,33.5346951595,-84.3642518036
grta,141,07:55:21,10.4941057072,33.5347884834,-84.3642704697
grta,142,07:55:22,10.4941057072,33.5348818073,-84.3642891358
grta,143,07:55:23,10.4941057072,33.5349751312,-84.3643078019
grta,144,07:55:24,10.4941057072,33.5350684551,-84.364326468
grta,145,07:55:25,10.4941057072,33.5351617767,-84.3643451502
grta,146,07:55:26,10.4941057072,33.5352550881,-84.3643639054
grta,147,07:55:27,10.4941057072,33.5353483995,-84.3643826606
grta,148,07:55:28,10.4941057072,33.5354417109,-84.3644014159
grta,149,07:55:29,10.4941057072,33.5355350223,-84.3644201711
grta,150,07:55:30,10.4941057072,33.5356283337,-84.3644389263
grta,151,07:55:31,10.4941057072,33.535721645,-84.3644576815
grta,152,07:55:32,10.4941057072,33.5358149564,-84.3644764367
grta,153,07:55:33,10.4941057072,33.5359082391,-84.3644953754
grta,154,07:55:34,10.4941057072,33.5360009335,-84.3645180779
grta,155,07:55:35,10.4941057072,33.5360936279,-84.3645407804
grta,156,07:55:36,10.4941057072,33.5361863223,-84.3645634828
grta,157,07:55:37,10.4941057072,33.5362790172,-84.3645861823
grta,158,07:55:38,10.4941057072,33.5363717497,-84.364608662
grta,159,07:55:39,10.4941057072,33.5364644822,-84.3646311416
grta,160,07:55:40,10.4941057072,33.5365572147,-84.3646536212
grta,161,07:55:41,10.4941057072,33.5366499472,-84.3646761009
grta,162,07:55:42,10.4941057072,33.5367420148,-84.3647021716
grta,163,07:55:43,10.4941057072,33.536834117,-84.3647280714
grta,164,07:55:44,10.4941057072,33.5369265245,-84.3647523845
grta,165,07:55:45,10.4941057072,33.5370181697,-84.3647803641
grta,166,07:55:46,10.4941057072,33.5371093696,-84.3648104855
grta,167,07:55:47,10.4941057072,33.5372005695,-84.3648406069
grta,168,07:55:48,10.4941057072,33.5372917694,-84.3648707283
grta,169,07:55:49,10.4941057072,33.5373829533,-84.3649009177
grta,170,07:55:50,10.4941057072,33.5374739311,-84.3649319823
grta,171,07:55:51,10.4941057072,33.5375649089,-84.364963047
