mode,secondID,time,speed (m/s),lat,lon
grta,0,08:35:00,10.0062340136,33.7476387,-84.39221191
grta,1,08:35:01,10.0062340136,33.7477142643,-84.3921528999
grta,2,08:35:02,10.0062340136,33.7477898286,-84.3920938897
grta,3,08:35:03,10.0062340136,33.7478653929,-84.3920348796
grta,4,08:35:04,10.0062340136,33.7479409572,-84.3919758694
grta,5,08:35:05,10.0062340136,33.7480165215,-84.3919168593
grta,6,08:35:06,10.0062340136,33.7480918392,-84.3918573999
grta,7,08:35:07,10.0062340136,33.7481670508,-84.3917977473
grta,8,08:35:08,10.0062340136,33.7482422624,-84.3917380947
grta,9,08:35:09,10.0062340136,33.7483179074,-84.3916792351
grta,10,08:35:10,10.0062340136,33.7483936912,-84.3916206291
grta,11,08:35:11,10.0062340136,33.7484694749,-84.3915620232
grta,12,08:35:12,10.0062340136,33.7485452587,-84.3915034173
grta,13,08:35:13,10.0062340136,33.7486205845,-84.3914439715
grta,14,08:35:14,10.0062340136,33.7486959021,-84.3913845105
grta,15,08:35:15,10.0062340136,33.7487712197,-84.3913250495
grta,16,08:35:16,10.0062340136,33.7488465373,-84.3912655885
grta,17,08:35:17,10.0062340136,33.748921855,-84.3912061275
grta,18,08:35:18,10.0062340136,33.7489971726,-84.3911466664
grta,19,08:35:19,10.0062340136,33.7490724903,-84.3910872054
grta,20,08:35:20,10.0062340136,33.749147808,-84.3910277443
grta,21,08:35:21,10.0062340136,33.7492231258,-84.3909682832
grta,22,08:35:22,10.0062340136,33.7492986872,-84.3909092712
grta,23,08:35:23,10.0062340136,33.7493746836,-84.3908510606
