mode,secondID,time,speed (m/s),lat,lon
grta,0,07:43:55,9.23652370486,33.7476387,-84.39221191
grta,1,07:43:56,9.23652370486,33.7477084516,-84.3921574391
grta,2,07:43:57,9.23652370486,33.7477782033,-84.3921029682
grta,3,07:43:58,9.23652370486,33.7478479549,-84.3920484973
grta,4,07:43:59,9.23652370486,33.7479177066,-84.3919940264
grta,5,07:44:00,9.23652370486,33.7479874583,-84.3919395555
grta,6,07:44:01,9.23652370486,33.7480571262,-84.3918849319
grta,7,07:44:02,9.23652370486,33.7481265523,-84.391829868
grta,8,07:44:03,9.23652370486,33.7481959784,-84.391774804
grta,9,07:44:04,9.23652370486,33.7482654418,-84.3917198084
grta,10,07:44:05,9.23652370486,33.748335396,-84.3916657106
grta,11,07:44:06,9.23652370486,33.7484053502,-84.3916116129
grta,12,07:44:07,9.23652370486,33.7484753044,-84.3915575151
grta,13,07:44:08,9.23652370486,33.7485452587,-84.3915034173
grta,14,07:44:09,9.23652370486,33.7486147908,-84.3914485454
grta,15,07:44:10,9.23652370486,33.7486843148,-84.3913936583
grta,16,07:44:11,9.23652370486,33.7487538387,-84.3913387713
grta,17,07:44:12,9.23652370486,33.7488233627,-84.3912838842
grta,18,07:44:13,9.23652370486,33.7488928866,-84.3912289971
grta,19,07:44:14,9.23652370486,33.7489624106,-84.39117411
grta,20,07:44:15,9.23652370486,33.7490319346,-84.3911192228
grta,21,07:44:16,9.23652370486,33.7491014587,-84.3910643357
grta,22,07:44:17,9.23652370486,33.7491709827,-84.3910094486
grta,23,07:44:18,9.23652370486,33.7492405068,-84.3909545614
grta,24,07:44:19,9.23652370486,33.749310379,-84.3909003158
grta,25,07:44:20,9.23652370486,33.7493805295,-84.3908465829
