mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:38:35,3.32001825501,33.77608871,-84.38729095
grta,1.0,06:38:36,3.32001825501,33.776118645,-84.38729095
grta,2.0,06:38:37,3.32001825501,33.77614858,-84.38729095
grta,3.0,06:38:38,3.32001825501,33.776178515,-84.38729095
grta,4.0,06:38:39,3.32001825501,33.77620845,-84.38729095
grta,5.0,06:38:40,3.32001825501,33.776238385,-84.38729095
grta,6.0,06:38:41,3.32001825501,33.7762683199,-84.38729095
grta,7.0,06:38:42,3.32001825501,33.7762982549,-84.38729095
grta,8.0,06:38:43,3.32001825501,33.7763281899,-84.38729095
grta,9.0,06:38:44,3.32001825501,33.7763581249,-84.38729095
grta,10.0,06:38:45,3.32001825501,33.7763880599,-84.38729095
grta,11.0,06:38:46,3.32001825501,33.7764179949,-84.38729095
grta,12.0,06:38:47,3.32001825501,33.7764479299,-84.38729095
grta,13.0,06:38:48,3.32001825501,33.7764778649,-84.38729095
grta,14.0,06:38:49,3.32001825501,33.7765077999,-84.38729095
grta,15.0,06:38:50,3.32001825501,33.7765377349,-84.38729095
grta,16.0,06:38:51,3.32001825501,33.7765676699,-84.38729095
grta,17.0,06:38:52,3.32001825501,33.7765976048,-84.38729095
grta,18.0,06:38:53,3.32001825501,33.7766275398,-84.38729095
grta,19.0,06:38:54,3.32001825501,33.7766574748,-84.38729095
grta,20.0,06:38:55,3.32001825501,33.7766874098,-84.38729095
grta,21.0,06:38:56,3.32001825501,33.7767173448,-84.38729095
grta,22.0,06:38:57,3.32001825501,33.7767472798,-84.38729095
grta,23.0,06:38:58,3.32001825501,33.7767772148,-84.38729095
grta,24.0,06:38:59,3.32001825501,33.7768071498,-84.38729095
grta,25.0,06:39:00,3.32001825501,33.7768370811,-84.3872904566
grta,26.0,06:39:01,3.32001825501,33.7768670116,-84.3872898302
grta,27.0,06:39:02,3.32001825501,33.776896942,-84.3872892037
grta,28.0,06:39:03,3.32001825501,33.7769268724,-84.3872885773
grta,29.0,06:39:04,3.32001825501,33.7769568028,-84.3872879508
grta,30.0,06:39:05,3.32001825501,33.7769867332,-84.3872873243
grta,31.0,06:39:06,3.32001825501,33.7770166636,-84.3872866979
grta,32.0,06:39:07,3.32001825501,33.7770465941,-84.3872860714
grta,33.0,06:39:08,3.32001825501,33.7770765245,-84.387285445
grta,34.0,06:39:09,3.32001825501,33.7771064549,-84.3872848185
grta,35.0,06:39:10,3.32001825501,33.7771363853,-84.387284192
grta,36.0,06:39:11,3.32001825501,33.7771663157,-84.3872835656
grta,37.0,06:39:12,3.32001825501,33.7771962461,-84.3872829391
grta,38.0,06:39:13,3.32001825501,33.7772261766,-84.3872823127
grta,39.0,06:39:14,3.32001825501,33.777256107,-84.3872816862
grta,40.0,06:39:15,3.32001825501,33.7772860374,-84.3872810597
grta,41.0,06:39:16,3.32001825501,33.7773159678,-84.3872804333
grta,42.0,06:39:17,3.32001825501,33.7773458982,-84.3872798068
grta,43.0,06:39:18,3.32001825501,33.7773758286,-84.3872791804
grta,44.0,06:39:19,3.32001825501,33.777405759,-84.3872785539
grta,45.0,06:39:20,3.32001825501,33.7774356895,-84.3872779274
grta,46.0,06:39:21,3.32001825501,33.7774656199,-84.387277301
grta,47.0,06:39:22,3.32001825501,33.7774955503,-84.3872766745
