mode,secondID,time,speed (m/s),lat,lon
grta,0.0,07:01:00,12.4804267574,33.5866800933,-84.5124486267
grta,1.0,07:01:01,12.4804267574,33.5866371597,-84.5125727932
grta,2.0,07:01:02,12.4804267574,33.58658774,-84.5126935898
grta,3.0,07:01:03,12.4804267574,33.5865317245,-84.5128100786
grta,4.0,07:01:04,12.4804267574,33.5864733078,-84.512924999
grta,5.0,07:01:05,12.4804267574,33.5864148911,-84.5130399195
grta,6.0,07:01:06,12.4804267574,33.5863564744,-84.5131548398
grta,7.0,07:01:07,12.4804267574,33.5862977077,-84.5132695047
grta,8.0,07:01:08,12.4804267574,33.5862388243,-84.5133840844
grta,9.0,07:01:09,12.4804267574,33.5861795383,-84.5134983646
grta,10.0,07:01:10,12.4804267574,33.5861190161,-84.5136117053
grta,11.0,07:01:11,12.4804267574,33.5860555657,-84.5137227497
grta,12.0,07:01:12,12.4804267574,33.5859921153,-84.5138337941
grta,13.0,07:01:13,12.4804267574,33.5859329134,-84.5139480831
grta,14.0,07:01:14,12.4804267574,33.5858730609,-84.51406193
grta,15.0,07:01:15,12.4804267574,33.5858124917,-84.5141752476
grta,16.0,07:01:16,12.4804267574,33.5857417687,-84.514279552
grta,17.0,07:01:17,12.4804267574,33.5856686828,-84.5143817893
grta,18.0,07:01:18,12.4804267574,33.5855965874,-84.5144850034
grta,19.0,07:01:19,12.4804267574,33.5855143606,-84.5145759761
grta,20.0,07:01:20,12.4804267574,33.5854058479,-84.51460266
grta,21.0,07:01:21,12.4804267574,33.5852977608,-84.5145743919
grta,22.0,07:01:22,12.4804267574,33.5852400457,-84.5144589681
grta,23.0,07:01:23,12.4804267574,33.5851823306,-84.5143435444
grta,24.0,07:01:24,12.4804267574,33.5851246155,-84.5142281207
grta,25.0,07:01:25,12.4804267574,33.5850694636,-84.5141109252
grta,26.0,07:01:26,12.4804267574,33.5850153189,-84.5139930584
grta,27.0,07:01:27,12.4804267574,33.5849610107,-84.5138752995
grta,28.0,07:01:28,12.4804267574,33.5849088107,-84.5137562724
grta,29.0,07:01:29,12.4804267574,33.5848624622,-84.5136337682
grta,30.0,07:01:30,12.4804267574,33.5848176429,-84.513510439
grta,31.0,07:01:31,12.4804267574,33.5847729637,-84.5133870373
grta,32.0,07:01:32,12.4804267574,33.584730569,-84.5132625573
grta,33.0,07:01:33,12.4804267574,33.5846925982,-84.5131359894
grta,34.0,07:01:34,12.4804267574,33.5846546273,-84.5130094215
grta,35.0,07:01:35,12.4804267574,33.5846166564,-84.5128828537
grta,36.0,07:01:36,12.4804267574,33.5845786856,-84.5127562859
grta,37.0,07:01:37,12.4804267574,33.5845407147,-84.5126297182
grta,38.0,07:01:38,12.4804267574,33.5845027439,-84.5125031505
grta,39.0,07:01:39,12.4804267574,33.5844647731,-84.5123765829
grta,40.0,07:01:40,12.4804267574,33.5844282832,-84.5122494085
grta,41.0,07:01:41,12.4804267574,33.584393249,-84.5121216377
grta,42.0,07:01:42,12.4804267574,33.5844332475,-84.5120159158
grta,43.0,07:01:43,12.4804267574,33.5845207784,-84.5119325133
grta,44.0,07:01:44,12.4804267574,33.5846121162,-84.511855785
grta,45.0,07:01:45,12.4804267574,33.58470434,-84.5117807483
grta,46.0,07:01:46,12.4804267574,33.5848015553,-84.511713026
grta,47.0,07:01:47,12.4804267574,33.5848987707,-84.5116453037
grta,48.0,07:01:48,12.4804267574,33.5849956965,-84.5115769999
grta,49.0,07:01:49,12.4804267574,33.585091885,-84.5115072156
grta,50.0,07:01:50,12.4804267574,33.5851880736,-84.5114374313
grta,51.0,07:01:51,12.4804267574,33.5852842622,-84.511367647
grta,52.0,07:01:52,12.4804267574,33.5853822544,-84.5113020938
grta,53.0,07:01:53,12.4804267574,33.5854780507,-84.5112317288
grta,54.0,07:01:54,12.4804267574,33.5855733623,-84.5111602471
grta,55.0,07:01:55,12.4804267574,33.5856676348,-84.5110868809
grta,56.0,07:01:56,12.4804267574,33.5857602223,-84.5110104586
grta,57.0,07:01:57,12.4804267574,33.5858528098,-84.5109340363
grta,58.0,07:01:58,12.4804267574,33.5859442225,-84.5108556313
grta,59.0,07:01:59,12.4804267574,33.586035315,-84.5107766856
grta,60.0,07:02:00,12.4804267574,33.5861255941,-84.5106964601
grta,61.0,07:02:01,12.4804267574,33.5862137087,-84.5106128282
grta,62.0,07:02:02,12.4804267574,33.5863018232,-84.5105291963
grta,63.0,07:02:03,12.4804267574,33.5863854369,-84.5104393557
grta,64.0,07:02:04,12.4804267574,33.5864672899,-84.5103470862
grta,65.0,07:02:05,12.4804267574,33.5865490319,-84.5102546774
grta,66.0,07:02:06,12.4804267574,33.5866301713,-84.5101615123
grta,67.0,07:02:07,12.4804267574,33.5867113106,-84.5100683471
grta,68.0,07:02:08,12.4804267574,33.586789488,-84.5099717128
grta,69.0,07:02:09,12.4804267574,33.5868658254,-84.5098729234
grta,70.0,07:02:10,12.4804267574,33.5869418692,-84.5097738263
grta,71.0,07:02:11,12.4804267574,33.5870139069,-84.50967053
grta,72.0,07:02:12,12.4804267574,33.5870859446,-84.5095672336
grta,73.0,07:02:13,12.4804267574,33.5871586948,-84.5094646698
grta,74.0,07:02:14,12.4804267574,33.5872334548,-84.5093641726
grta,75.0,07:02:15,12.4804267574,33.5873082149,-84.5092636755
grta,76.0,07:02:16,12.4804267574,33.5873837203,-84.5091640199
grta,77.0,07:02:17,12.4804267574,33.5874634802,-84.5090691687
grta,78.0,07:02:18,12.4804267574,33.5875432402,-84.5089743174
grta,79.0,07:02:19,12.4804267574,33.5876230002,-84.508879466
grta,80.0,07:02:20,12.4804267574,33.5876930287,-84.5087749138
grta,81.0,07:02:21,12.4804267574,33.5877568343,-84.5086641582
grta,82.0,07:02:22,12.4804267574,33.5878206399,-84.5085534025
grta,83.0,07:02:23,12.4804267574,33.5878860296,-84.5084440051
grta,84.0,07:02:24,12.4804267574,33.5879534249,-84.5083363275
grta,85.0,07:02:25,12.4804267574,33.5880208203,-84.5082286498
grta,86.0,07:02:26,12.4804267574,33.5880882157,-84.5081209721
grta,87.0,07:02:27,12.4804267574,33.5881556112,-84.5080132943
grta,88.0,07:02:28,12.4804267574,33.5882230067,-84.5079056164
grta,89.0,07:02:29,12.4804267574,33.5882904022,-84.5077979386
grta,90.0,07:02:30,12.4804267574,33.5883577977,-84.5076902606
grta,91.0,07:02:31,12.4804267574,33.5884251933,-84.5075825826
grta,92.0,07:02:32,12.4804267574,33.588492589,-84.5074749046
grta,93.0,07:02:33,12.4804267574,33.5885566704,-84.5073644483
grta,94.0,07:02:34,12.4804267574,33.5886279706,-84.507260513
grta,95.0,07:02:35,12.4804267574,33.5886962553,-84.5071536779
grta,96.0,07:02:36,12.4804267574,33.588763586,-84.5070459416
grta,97.0,07:02:37,12.4804267574,33.5888288043,-84.5069363753
grta,98.0,07:02:38,12.4804267574,33.5888935623,-84.5068264102
grta,99.0,07:02:39,12.4804267574,33.5889583204,-84.5067164452
grta,100.0,07:02:40,12.4804267574,33.5890246703,-84.5066078542
grta,101.0,07:02:41,12.4804267574,33.5890917056,-84.5064998547
grta,102.0,07:02:42,12.4804267574,33.5891577024,-84.5063909517
grta,103.0,07:02:43,12.4804267574,33.5892231411,-84.506281563
grta,104.0,07:02:44,12.4804267574,33.5892885798,-84.5061721742
grta,105.0,07:02:45,12.4804267574,33.5893540185,-84.5060627854
grta,106.0,07:02:46,12.4804267574,33.5894179801,-84.5059521634
grta,107.0,07:02:47,12.4804267574,33.5894814351,-84.5058411184
grta,108.0,07:02:48,12.4804267574,33.5895466247,-84.5057315235
grta,109.0,07:02:49,12.4804267574,33.5896121927,-84.505622245
grta,110.0,07:02:50,12.4804267574,33.5896775089,-84.5055127515
grta,111.0,07:02:51,12.4804267574,33.5897427302,-84.505403177
grta,112.0,07:02:52,12.4804267574,33.5898079515,-84.5052936024
grta,113.0,07:02:53,12.4804267574,33.5898731729,-84.5051840277
grta,114.0,07:02:54,12.4804267574,33.5899384747,-84.5050745215
grta,115.0,07:02:55,12.4804267574,33.5900039327,-84.5049651483
grta,116.0,07:02:56,12.4804267574,33.5900693907,-84.5048557751
grta,117.0,07:02:57,12.4804267574,33.5901348487,-84.5047464018
grta,118.0,07:02:58,12.4804267574,33.5902003068,-84.5046370284
grta,119.0,07:02:59,12.4804267574,33.5902660283,-84.504527881
grta,120.0,07:03:00,12.4804267574,33.5903318444,-84.5044188147
grta,121.0,07:03:01,12.4804267574,33.5903976606,-84.5043097483
grta,122.0,07:03:02,12.4804267574,33.5904634767,-84.5042006818
grta,123.0,07:03:03,12.4804267574,33.5905292929,-84.5040916153
grta,124.0,07:03:04,12.4804267574,33.5905951092,-84.5039825487
grta,125.0,07:03:05,12.4804267574,33.5906606977,-84.5038732867
grta,126.0,07:03:06,12.4804267574,33.5907261637,-84.5037639195
grta,127.0,07:03:07,12.4804267574,33.5907916299,-84.5036545522
grta,128.0,07:03:08,12.4804267574,33.590857096,-84.5035451849
grta,129.0,07:03:09,12.4804267574,33.5909225622,-84.5034358176
grta,130.0,07:03:10,12.4804267574,33.5909879959,-84.5033264224
grta,131.0,07:03:11,12.4804267574,33.5910534155,-84.5032170151
grta,132.0,07:03:12,12.4804267574,33.5911188352,-84.5031076078
grta,133.0,07:03:13,12.4804267574,33.5911842549,-84.5029982004
grta,134.0,07:03:14,12.4804267574,33.5912496747,-84.502888793
grta,135.0,07:03:15,12.4804267574,33.5913150944,-84.5027793855
grta,136.0,07:03:16,12.4804267574,33.5913805142,-84.502669978
grta,137.0,07:03:17,12.4804267574,33.5914457688,-84.5025604295
grta,138.0,07:03:18,12.4804267574,33.5915110115,-84.502450871
grta,139.0,07:03:19,12.4804267574,33.5915762543,-84.5023413123
grta,140.0,07:03:20,12.4804267574,33.591641497,-84.5022317536
grta,141.0,07:03:21,12.4804267574,33.5917067399,-84.5021221949
grta,142.0,07:03:22,12.4804267574,33.5917719827,-84.502012636
grta,143.0,07:03:23,12.4804267574,33.5918371892,-84.5019030462
grta,144.0,07:03:24,12.4804267574,33.5919023826,-84.5017934452
grta,145.0,07:03:25,12.4804267574,33.591967576,-84.5016838442
grta,146.0,07:03:26,12.4804267574,33.5920327695,-84.5015742431
grta,147.0,07:03:27,12.4804267574,33.5920979432,-84.5014646252
grta,148.0,07:03:28,12.4804267574,33.5921631085,-84.5013549999
grta,149.0,07:03:29,12.4804267574,33.5922282738,-84.5012453747
grta,150.0,07:03:30,12.4804267574,33.5922934391,-84.5011357493
grta,151.0,07:03:31,12.4804267574,33.5923586045,-84.501026124
grta,152.0,07:03:32,12.4804267574,33.5924237699,-84.5009164985
grta,153.0,07:03:33,12.4804267574,33.5924893153,-84.5008071988
grta,154.0,07:03:34,12.4804267574,33.5925553555,-84.5006983233
grta,155.0,07:03:35,12.4804267574,33.5926213958,-84.5005894477
grta,156.0,07:03:36,12.4804267574,33.5926874361,-84.500480572
grta,157.0,07:03:37,12.4804267574,33.5927537105,-84.5003719025
grta,158.0,07:03:38,12.4804267574,33.5928212151,-84.5002643165
grta,159.0,07:03:39,12.4804267574,33.5928887198,-84.5001567305
grta,160.0,07:03:40,12.4804267574,33.5929562244,-84.5000491444
grta,161.0,07:03:41,12.4804267574,33.5930234752,-84.499941332
grta,162.0,07:03:42,12.4804267574,33.5930905126,-84.4998333294
grta,163.0,07:03:43,12.4804267574,33.5931575499,-84.4997253266
grta,164.0,07:03:44,12.4804267574,33.5932245873,-84.4996173239
grta,165.0,07:03:45,12.4804267574,33.5932913228,-84.4995090556
grta,166.0,07:03:46,12.4804267574,33.5933576836,-84.4994004576
grta,167.0,07:03:47,12.4804267574,33.5934245808,-84.499292333
grta,168.0,07:03:48,12.4804267574,33.5934919185,-84.4991845969
grta,169.0,07:03:49,12.4804267574,33.5935592561,-84.4990768607
