mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:51:29,20.0124680272,33.7476387,-84.39221191
grta,1.0,06:51:30,20.0124680272,33.7477898286,-84.3920938897
grta,2.0,06:51:31,20.0124680272,33.7479409572,-84.3919758694
grta,3.0,06:51:32,20.0124680272,33.7480918392,-84.3918573999
grta,4.0,06:51:33,20.0124680272,33.7482422624,-84.3917380947
grta,5.0,06:51:34,20.0124680272,33.7483936912,-84.3916206291
grta,6.0,06:51:35,20.0124680272,33.7485452587,-84.3915034173
grta,7.0,06:51:36,20.0124680272,33.7486959021,-84.3913845105
grta,8.0,06:51:37,20.0124680272,33.7488465373,-84.3912655885
grta,9.0,06:51:38,20.0124680272,33.7489971726,-84.3911466664
grta,10.0,06:51:39,20.0124680272,33.749147808,-84.3910277443
grta,11.0,06:51:40,20.0124680272,33.7492986872,-84.3909092712
