mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:23:12,3.70997494621,33.75267029,-84.38853455
grta,1.0,06:23:13,3.70997494621,33.7526488835,-84.3885037774
grta,2.0,06:23:14,3.70997494621,33.752627477,-84.3884730048
grta,3.0,06:23:15,3.70997494621,33.7526060705,-84.3884422322
grta,4.0,06:23:16,3.70997494621,33.752584664,-84.3884114596
grta,5.0,06:23:17,3.70997494621,33.7525632575,-84.388380687
grta,6.0,06:23:18,3.70997494621,33.7525560439,-84.3883517058
grta,7.0,06:23:19,3.70997494621,33.7525823404,-84.3883269542
grta,8.0,06:23:20,3.70997494621,33.7526086369,-84.3883022026
grta,9.0,06:23:21,3.70997494621,33.7526356835,-84.3882786476
grta,10.0,06:23:22,3.70997494621,33.7526628823,-84.3882553351
grta,11.0,06:23:23,3.70997494621,33.7526897858,-84.3882315379
grta,12.0,06:23:24,3.70997494621,33.7527163367,-84.3882071838
grta,13.0,06:23:25,3.70997494621,33.7527426733,-84.3881824934
grta,14.0,06:23:26,3.70997494621,33.7527690099,-84.388157803
grta,15.0,06:23:27,3.70997494621,33.7527953465,-84.3881331125
grta,16.0,06:23:28,3.70997494621,33.7528216831,-84.3881084221
grta,17.0,06:23:29,3.70997494621,33.7528446389,-84.3880793231
grta,18.0,06:23:30,3.70997494621,33.7528674338,-84.3880500142
grta,19.0,06:23:31,3.70997494621,33.7528896671,-84.3880201022
grta,20.0,06:23:32,3.70997494621,33.7529115443,-84.3879898076
grta,21.0,06:23:33,3.70997494621,33.7529291846,-84.3879567288
grta,22.0,06:23:34,3.70997494621,33.7529459653,-84.3879221568
grta,23.0,06:23:35,3.70997494621,33.7529631447,-84.3878877951
grta,24.0,06:23:36,3.70997494621,33.7529803241,-84.3878534335
grta,25.0,06:23:37,3.70997494621,33.7529977913,-84.3878192841
grta,26.0,06:23:38,3.70997494621,33.7530156996,-84.38778546
grta,27.0,06:23:39,3.70997494621,33.7530336078,-84.3877516359
grta,28.0,06:23:40,3.70997494621,33.7530515161,-84.3877178118
grta,29.0,06:23:41,3.70997494621,33.753070901,-84.3876852314
grta,30.0,06:23:42,3.70997494621,33.7530914445,-84.3876536268
grta,31.0,06:23:43,3.70997494621,33.7531124393,-84.3876224987
grta,32.0,06:23:44,3.70997494621,33.7531360645,-84.3875941479
grta,33.0,06:23:45,3.70997494621,33.7531596897,-84.387565797
grta,34.0,06:23:46,3.70997494621,33.7531833149,-84.3875374461
grta,35.0,06:23:47,3.70997494621,33.7532083117,-84.3875108439
grta,36.0,06:23:48,3.70997494621,33.7532334322,-84.3874843994
grta,37.0,06:23:49,3.70997494621,33.7532585882,-84.3874580059
grta,38.0,06:23:50,3.70997494621,33.7532848203,-84.3874331564
grta,39.0,06:23:51,3.70997494621,33.7533110524,-84.3874083068
grta,40.0,06:23:52,3.70997494621,33.7533378535,-84.3873844225
grta,41.0,06:23:53,3.70997494621,33.7533662013,-84.3873631621
grta,42.0,06:23:54,3.70997494621,33.753394549,-84.3873419016
grta,43.0,06:23:55,3.70997494621,33.7534228968,-84.3873206412
grta,44.0,06:23:56,3.70997494621,33.7534512446,-84.3872993807
grta,45.0,06:23:57,3.70997494621,33.7534795923,-84.3872781203
grta,46.0,06:23:58,3.70997494621,33.7535079401,-84.3872568598
grta,47.0,06:23:59,3.70997494621,33.7535359309,-84.3872349354
grta,48.0,06:24:00,3.70997494621,33.7535638378,-84.3872128546
grta,49.0,06:24:01,3.70997494621,33.7535917446,-84.3871907739
grta,50.0,06:24:02,3.70997494621,33.7536196514,-84.3871686931
grta,51.0,06:24:03,3.70997494621,33.7536475582,-84.3871466124
grta,52.0,06:24:04,3.70997494621,33.7536754651,-84.3871245316
grta,53.0,06:24:05,3.70997494621,33.7537033719,-84.3871024509
grta,54.0,06:24:06,3.70997494621,33.7537312787,-84.3870803701
grta,55.0,06:24:07,3.70997494621,33.7537591856,-84.3870582894
grta,56.0,06:24:08,3.70997494621,33.7537870924,-84.3870362086
grta,57.0,06:24:09,3.70997494621,33.7538149993,-84.3870141279
grta,58.0,06:24:10,3.70997494621,33.7538429061,-84.3869920471
grta,59.0,06:24:11,3.70997494621,33.7538704121,-84.3869692828
