mode,secondID,time,speed (m/s),lat,lon
grta,0,08:17:00,14.4176513729,33.7433772633,-84.7263192056
grta,1,08:17:01,14.4176513729,33.7434788652,-84.7262221399
grta,2,08:17:02,14.4176513729,33.7435804671,-84.7261250741
grta,3,08:17:03,14.4176513729,33.7436820691,-84.7260280084
grta,4,08:17:04,14.4176513729,33.7437836711,-84.7259309425
grta,5,08:17:05,14.4176513729,33.7438852731,-84.7258338767
grta,6,08:17:06,14.4176513729,33.7439868752,-84.7257368108
grta,7,08:17:07,14.4176513729,33.7440884774,-84.7256397448
grta,8,08:17:08,14.4176513729,33.7442002558,-84.7256233701
grta,9,08:17:09,14.4176513729,33.7443212674,-84.7256802086
grta,10,08:17:10,14.4176513729,33.7444422791,-84.7257370472
grta,11,08:17:11,14.4176513729,33.7445632908,-84.7257938857
grta,12,08:17:12,14.4176513729,33.7446567697,-84.7258830702
grta,13,08:17:13,14.4176513729,33.7447019772,-84.726028965
grta,14,08:17:14,14.4176513729,33.7447471847,-84.7261748599
grta,15,08:17:15,14.4176513729,33.7447923923,-84.7263207548
grta,16,08:17:16,14.4176513729,33.7448927298,-84.7263702889
grta,17,08:17:17,14.4176513729,33.7450227099,-84.7263680115
grta,18,08:17:18,14.4176513729,33.7451526899,-84.726365734
grta,19,08:17:19,14.4176513729,33.74528267,-84.7263634565
grta,20,08:17:20,14.4176513729,33.74541265,-84.7263611791
grta,21,08:17:21,14.4176513729,33.7455426301,-84.7263589016
grta,22,08:17:22,14.4176513729,33.7456726101,-84.7263566242
grta,23,08:17:23,14.4176513729,33.7458025902,-84.7263543467
grta,24,08:17:24,14.4176513729,33.7459325702,-84.7263520692
grta,25,08:17:25,14.4176513729,33.7460625502,-84.7263497918
grta,26,08:17:26,14.4176513729,33.7461925303,-84.7263475143
grta,27,08:17:27,14.4176513729,33.7463225103,-84.7263452369
grta,28,08:17:28,14.4176513729,33.7464524903,-84.7263429594
grta,29,08:17:29,14.4176513729,33.7465824703,-84.7263406819
grta,30,08:17:30,14.4176513729,33.7467124503,-84.7263384045
grta,31,08:17:31,14.4176513729,33.7468424304,-84.726336127
grta,32,08:17:32,14.4176513729,33.7469724104,-84.7263338496
grta,33,08:17:33,14.4176513729,33.7471023904,-84.7263315721
grta,34,08:17:34,14.4176513729,33.7472323704,-84.7263292946
grta,35,08:17:35,14.4176513729,33.7473623504,-84.7263270172
grta,36,08:17:36,14.4176513729,33.7474923304,-84.7263247397
grta,37,08:17:37,14.4176513729,33.7476223104,-84.7263224623
grta,38,08:17:38,14.4176513729,33.7477522904,-84.7263201848
grta,39,08:17:39,14.4176513729,33.7478822704,-84.7263179073
grta,40,08:17:40,14.4176513729,33.7480122504,-84.7263156299
grta,41,08:17:41,14.4176513729,33.7481422304,-84.7263133524
grta,42,08:17:42,14.4176513729,33.7482722103,-84.726311075
grta,43,08:17:43,14.4176513729,33.7484021903,-84.7263087975
grta,44,08:17:44,14.4176513729,33.7485321703,-84.7263065201
grta,45,08:17:45,14.4176513729,33.7486621503,-84.7263042426
grta,46,08:17:46,14.4176513729,33.7487921303,-84.7263019651
grta,47,08:17:47,14.4176513729,33.7489221102,-84.7262996877
grta,48,08:17:48,14.4176513729,33.7490520902,-84.7262974102
grta,49,08:17:49,14.4176513729,33.7491820702,-84.7262951328
grta,50,08:17:50,14.4176513729,33.7493120501,-84.7262928553
grta,51,08:17:51,14.4176513729,33.7494420301,-84.7262905779
grta,52,08:17:52,14.4176513729,33.7495720101,-84.7262883004
grta,53,08:17:53,14.4176513729,33.74970199,-84.7262860229
grta,54,08:17:54,14.4176513729,33.74983197,-84.7262837455
grta,55,08:17:55,14.4176513729,33.7499619499,-84.726281468
grta,56,08:17:56,14.4176513729,33.7500919299,-84.7262791906
grta,57,08:17:57,14.4176513729,33.7502219098,-84.7262769131
grta,58,08:17:58,14.4176513729,33.7503518898,-84.7262746356
grta,59,08:17:59,14.4176513729,33.7504818395,-84.7262715099
grta,60,08:18:00,14.4176513729,33.7506115089,-84.7262605229
