mode,secondID,time,speed (m/s),lat,lon
grta,0,08:00:43,2.7431253448,33.7510643,-84.39322662
grta,1,08:00:44,2.7431253448,33.7510506687,-84.3932019135
grta,2,08:00:45,2.7431253448,33.7510370374,-84.3931772069
grta,3,08:00:46,2.7431253448,33.7510234061,-84.3931525004
grta,4,08:00:47,2.7431253448,33.7510097748,-84.3931277939
grta,5,08:00:48,2.7431253448,33.7509961435,-84.3931030874
grta,6,08:00:49,2.7431253448,33.7509825122,-84.3930783809
grta,7,08:00:50,2.7431253448,33.7509688809,-84.3930536744
grta,8,08:00:51,2.7431253448,33.7509552496,-84.3930289678
grta,9,08:00:52,2.7431253448,33.7509416221,-84.3930042584
grta,10,08:00:53,2.7431253448,33.7509280749,-84.3929794856
grta,11,08:00:54,2.7431253448,33.7509145278,-84.3929547129
grta,12,08:00:55,2.7431253448,33.7509009806,-84.3929299402
grta,13,08:00:56,2.7431253448,33.7508874334,-84.3929051675
grta,14,08:00:57,2.7431253448,33.7508738863,-84.3928803948
grta,15,08:00:58,2.7431253448,33.7508603391,-84.3928556221
grta,16,08:00:59,2.7431253448,33.7508467919,-84.3928308494
grta,17,08:01:00,2.7431253448,33.7508332448,-84.3928060767
grta,18,08:01:01,2.7431253448,33.7508196976,-84.392781304
grta,19,08:01:02,2.7431253448,33.7508061131,-84.3927565609
grta,20,08:01:03,2.7431253448,33.7507923688,-84.3927319442
grta,21,08:01:04,2.7431253448,33.7507786246,-84.3927073276
grta,22,08:01:05,2.7431253448,33.7507648803,-84.392682711
grta,23,08:01:06,2.7431253448,33.7507511361,-84.3926580944
grta,24,08:01:07,2.7431253448,33.7507373918,-84.3926334778
grta,25,08:01:08,2.7431253448,33.7507236476,-84.3926088612
grta,26,08:01:09,2.7431253448,33.7507099034,-84.3925842446
grta,27,08:01:10,2.7431253448,33.7506961591,-84.392559628
grta,28,08:01:11,2.7431253448,33.7506824149,-84.3925350114
grta,29,08:01:12,2.7431253448,33.7506686706,-84.3925103948
grta,30,08:01:13,2.7431253448,33.7506549264,-84.3924857782
grta,31,08:01:14,2.7431253448,33.7506411822,-84.3924611617
grta,32,08:01:15,2.7431253448,33.7506274379,-84.3924365451
grta,33,08:01:16,2.7431253448,33.7506136937,-84.3924119285
grta,34,08:01:17,2.7431253448,33.7505999495,-84.3923873119
grta,35,08:01:18,2.7431253448,33.7505862052,-84.3923626953
grta,36,08:01:19,2.7431253448,33.750572461,-84.3923380788
grta,37,08:01:20,2.7431253448,33.7505587168,-84.3923134622
grta,38,08:01:21,2.7431253448,33.7505449726,-84.3922888456
grta,39,08:01:22,2.7431253448,33.7505312283,-84.3922642291
grta,40,08:01:23,2.7431253448,33.7505174841,-84.3922396125
grta,41,08:01:24,2.7431253448,33.7505037399,-84.3922149959
grta,42,08:01:25,2.7431253448,33.7504899957,-84.3921903794
grta,43,08:01:26,2.7431253448,33.7504762514,-84.3921657628
grta,44,08:01:27,2.7431253448,33.7504625072,-84.3921411463
grta,45,08:01:28,2.7431253448,33.750448763,-84.3921165297
grta,46,08:01:29,2.7431253448,33.7504350188,-84.3920919132
grta,47,08:01:30,2.7431253448,33.7504212746,-84.3920672967
grta,48,08:01:31,2.7431253448,33.7504075304,-84.3920426801
grta,49,08:01:32,2.7431253448,33.7503937862,-84.3920180636
grta,50,08:01:33,2.7431253448,33.750380042,-84.391993447
grta,51,08:01:34,2.7431253448,33.7503662978,-84.3919688305
grta,52,08:01:35,2.7431253448,33.7503525535,-84.391944214
grta,53,08:01:36,2.7431253448,33.7503388094,-84.3919195975
grta,54,08:01:37,2.7431253448,33.7503250652,-84.3918949809
grta,55,08:01:38,2.7431253448,33.750311321,-84.3918703644
grta,56,08:01:39,2.7431253448,33.7502975767,-84.3918457479
grta,57,08:01:40,2.7431253448,33.7502842397,-84.3918208125
grta,58,08:01:41,2.7431253448,33.7502709035,-84.3917958764
grta,59,08:01:42,2.7431253448,33.7502575673,-84.3917709404
grta,60,08:01:43,2.7431253448,33.7502442311,-84.3917460044
grta,61,08:01:44,2.7431253448,33.7502308949,-84.3917210684
grta,62,08:01:45,2.7431253448,33.7502175587,-84.3916961323
grta,63,08:01:46,2.7431253448,33.7502042225,-84.3916711963
grta,64,08:01:47,2.7431253448,33.7501908863,-84.3916462603
grta,65,08:01:48,2.7431253448,33.75017755,-84.3916213243
grta,66,08:01:49,2.7431253448,33.7501642138,-84.3915963883
grta,67,08:01:50,2.7431253448,33.7501508776,-84.3915714523
grta,68,08:01:51,2.7431253448,33.7501375414,-84.3915465163
grta,69,08:01:52,2.7431253448,33.7501242052,-84.3915215802
grta,70,08:01:53,2.7431253448,33.750110869,-84.3914966442
grta,71,08:01:54,2.7431253448,33.7500975328,-84.3914717083
grta,72,08:01:55,2.7431253448,33.7500841966,-84.3914467723
grta,73,08:01:56,2.7431253448,33.7500708604,-84.3914218363
grta,74,08:01:57,2.7431253448,33.7500575242,-84.3913969003
grta,75,08:01:58,2.7431253448,33.750044188,-84.3913719643
grta,76,08:01:59,2.7431253448,33.7500308518,-84.3913470283
grta,77,08:02:00,2.7431253448,33.7500175156,-84.3913220923
grta,78,08:02:01,2.7431253448,33.7500041795,-84.3912971563
grta,79,08:02:02,2.7431253448,33.7499908433,-84.3912722204
grta,80,08:02:03,2.7431253448,33.7499775071,-84.3912472844
grta,81,08:02:04,2.7431253448,33.7499641709,-84.3912223484
grta,82,08:02:05,2.7431253448,33.7499508347,-84.3911974125
grta,83,08:02:06,2.7431253448,33.7499374985,-84.3911724765
grta,84,08:02:07,2.7431253448,33.7499241623,-84.3911475405
grta,85,08:02:08,2.7431253448,33.7499108262,-84.3911226046
grta,86,08:02:09,2.7431253448,33.74989749,-84.3910976686
grta,87,08:02:10,2.7431253448,33.7498841538,-84.3910727326
grta,88,08:02:11,2.7431253448,33.7498708176,-84.3910477967
grta,89,08:02:12,2.7431253448,33.7498574815,-84.3910228607
grta,90,08:02:13,2.7431253448,33.7498441453,-84.3909979248
grta,91,08:02:14,2.7431253448,33.7498308091,-84.3909729888
grta,92,08:02:15,2.7431253448,33.749817473,-84.3909480529
grta,93,08:02:16,2.7431253448,33.7498041368,-84.390923117
grta,94,08:02:17,2.7431253448,33.7497908006,-84.390898181
grta,95,08:02:18,2.7431253448,33.7497774645,-84.3908732451
grta,96,08:02:19,2.7431253448,33.7497641283,-84.3908483092
grta,97,08:02:20,2.7431253448,33.7497507921,-84.3908233732
grta,98,08:02:21,2.7431253448,33.749737456,-84.3907984373
grta,99,08:02:22,2.7431253448,33.7497241198,-84.3907735014
grta,100,08:02:23,2.7431253448,33.7497107836,-84.3907485655
grta,101,08:02:24,2.7431253448,33.7496974475,-84.3907236296
grta,102,08:02:25,2.7431253448,33.7496841113,-84.3906986936
grta,103,08:02:26,2.7431253448,33.7496707752,-84.3906737577
grta,104,08:02:27,2.7431253448,33.749657439,-84.3906488218
grta,105,08:02:28,2.7431253448,33.7496662565,-84.3906292681
grta,106,08:02:29,2.7431253448,33.7496866579,-84.3906125288
grta,107,08:02:30,2.7431253448,33.7497070594,-84.3905957894
grta,108,08:02:31,2.7431253448,33.7497274608,-84.39057905
grta,109,08:02:32,2.7431253448,33.7497478622,-84.3905623106
grta,110,08:02:33,2.7431253448,33.7497682636,-84.3905455712
grta,111,08:02:34,2.7431253448,33.7497886651,-84.3905288318
grta,112,08:02:35,2.7431253448,33.7498090665,-84.3905120925
grta,113,08:02:36,2.7431253448,33.7498294679,-84.3904953531
grta,114,08:02:37,2.7431253448,33.7498498694,-84.3904786137
grta,115,08:02:38,2.7431253448,33.7498702708,-84.3904618743
grta,116,08:02:39,2.7431253448,33.7498906722,-84.3904451349
grta,117,08:02:40,2.7431253448,33.7499110737,-84.3904283955
grta,118,08:02:41,2.7431253448,33.7499314751,-84.3904116561
grta,119,08:02:42,2.7431253448,33.7499519118,-84.3903949807
grta,120,08:02:43,2.7431253448,33.7499728034,-84.3903791314
grta,121,08:02:44,2.7431253448,33.749993695,-84.3903632821
grta,122,08:02:45,2.7431253448,33.7500145867,-84.3903474328
grta,123,08:02:46,2.7431253448,33.7500354783,-84.3903315835
grta,124,08:02:47,2.7431253448,33.7500563699,-84.3903157341
grta,125,08:02:48,2.7431253448,33.7500772615,-84.3902998848
grta,126,08:02:49,2.7431253448,33.7500981532,-84.3902840355
grta,127,08:02:50,2.7431253448,33.7501190448,-84.3902681862
grta,128,08:02:51,2.7431253448,33.7501399364,-84.3902523369
grta,129,08:02:52,2.7431253448,33.7501608281,-84.3902364876
grta,130,08:02:53,2.7431253448,33.7501815055,-84.3902202479
grta,131,08:02:54,2.7431253448,33.7502019522,-84.3902035878
grta,132,08:02:55,2.7431253448,33.7502223989,-84.3901869277
grta,133,08:02:56,2.7431253448,33.7502428456,-84.3901702676
grta,134,08:02:57,2.7431253448,33.7502632923,-84.3901536075
grta,135,08:02:58,2.7431253448,33.750283739,-84.3901369473
grta,136,08:02:59,2.7431253448,33.7503041858,-84.3901202872
grta,137,08:03:00,2.7431253448,33.7503246325,-84.3901036271
grta,138,08:03:01,2.7431253448,33.7503450792,-84.390086967
grta,139,08:03:02,2.7431253448,33.7503655259,-84.3900703069
grta,140,08:03:03,2.7431253448,33.7503861814,-84.3900540293
grta,141,08:03:04,2.7431253448,33.7504071415,-84.3900383101
grta,142,08:03:05,2.7431253448,33.7504281016,-84.3900225909
grta,143,08:03:06,2.7431253448,33.7504493827,-84.3900075215
grta,144,08:03:07,2.7431253448,33.7504709914,-84.3899931157
grta,145,08:03:08,2.7431253448,33.7504925993,-84.3899787081
grta,146,08:03:09,2.7431253448,33.7505135291,-84.3899629454
grta,147,08:03:10,2.7431253448,33.7505343366,-84.3899469381
grta,148,08:03:11,2.7431253448,33.7505562935,-84.3899337263
grta,149,08:03:12,2.7431253448,33.7505795809,-84.3899237503
grta,150,08:03:13,2.7431253448,33.7506028651,-84.3899137637
grta,151,08:03:14,2.7431253448,33.7506261338,-84.3899037255
grta,152,08:03:15,2.7431253448,33.7506494026,-84.3898936872
grta,153,08:03:16,2.7431253448,33.7506726713,-84.389883649
grta,154,08:03:17,2.7431253448,33.75069594,-84.3898736107
grta,155,08:03:18,2.7431253448,33.7507192087,-84.3898635724
grta,156,08:03:19,2.7431253448,33.7507424775,-84.3898535342
grta,157,08:03:20,2.7431253448,33.7507657462,-84.3898434959
grta,158,08:03:21,2.7431253448,33.7507890149,-84.3898334576
grta,159,08:03:22,2.7431253448,33.7508117376,-84.3898217943
grta,160,08:03:23,2.7431253448,33.7508343313,-84.3898097472
grta,161,08:03:24,2.7431253448,33.7508568494,-84.389797504
grta,162,08:03:25,2.7431253448,33.7508791697,-84.3897847472
grta,163,08:03:26,2.7431253448,33.7509014899,-84.3897719903
grta,164,08:03:27,2.7431253448,33.7509224137,-84.3897562505
grta,165,08:03:28,2.7431253448,33.7509431541,-84.389740119
grta,166,08:03:29,2.7431253448,33.7509638946,-84.3897239875
grta,167,08:03:30,2.7431253448,33.7509849853,-84.3897085358
grta,168,08:03:31,2.7431253448,33.7510063368,-84.3896935905
grta,169,08:03:32,2.7431253448,33.7510276884,-84.3896786453
