mode,secondID,time,speed (m/s),lat,lon
grta,0,08:13:27,12.9785098161,33.74874878,-84.39797211
grta,1,08:13:28,12.9785098161,33.7488655146,-84.3979791123
grta,2,08:13:29,12.9785098161,33.7489822758,-84.3979713407
grta,3,08:13:30,12.9785098161,33.7490973984,-84.3979465485
grta,4,08:13:31,12.9785098161,33.7492117931,-84.3979170748
grta,5,08:13:32,12.9785098161,33.7493266943,-84.3978996233
grta,6,08:13:33,12.9785098161,33.7494373483,-84.3978662449
grta,7,08:13:34,12.9785098161,33.7495427162,-84.3978053912
grta,8,08:13:35,12.9785098161,33.7496475915,-84.3977432434
grta,9,08:13:36,12.9785098161,33.7497508337,-84.3976773126
grta,10,08:13:37,12.9785098161,33.7498538469,-84.3976108512
grta,11,08:13:38,12.9785098161,33.7499568599,-84.3975443891
grta,12,08:13:39,12.9785098161,33.7500569484,-84.3974722115
grta,13,08:13:40,12.9785098161,33.7501549049,-84.3973958163
grta,14,08:13:41,12.9785098161,33.7502571412,-84.3973276571
grta,15,08:13:42,12.9785098161,33.7503587505,-84.3972582105
grta,16,08:13:43,12.9785098161,33.7504586554,-84.3971852648
grta,17,08:13:44,12.9785098161,33.7505585603,-84.397112319
grta,18,08:13:45,12.9785098161,33.7506556223,-84.3970341054
grta,19,08:13:46,12.9785098161,33.7507505579,-84.3969522216
grta,20,08:13:47,12.9785098161,33.7508488174,-84.3968761401
grta,21,08:13:48,12.9785098161,33.7509462442,-84.3967985421
grta,22,08:13:49,12.9785098161,33.7510435405,-84.3967207067
grta,23,08:13:50,12.9785098161,33.7511405759,-84.3966424077
grta,24,08:13:51,12.9785098161,33.7512373628,-84.396563667
grta,25,08:13:52,12.9785098161,33.7513341497,-84.3964849263
grta,26,08:13:53,12.9785098161,33.7514309366,-84.3964061856
grta,27,08:13:54,12.9785098161,33.7515277236,-84.3963274449
grta,28,08:13:55,12.9785098161,33.7516249487,-84.3962494823
grta,29,08:13:56,12.9785098161,33.7517222442,-84.3961716449
grta,30,08:13:57,12.9785098161,33.7518199173,-84.3960944896
grta,31,08:13:58,12.9785098161,33.7519177482,-84.3960176198
grta,32,08:13:59,12.9785098161,33.7520150558,-84.3959398111
grta,33,08:14:00,12.9785098161,33.7521118829,-84.3958611406
