mode,secondID,time,speed (m/s),lat,lon
grta,0,07:04:00,2.80274755135,33.75220871,-84.39578247
grta,1,07:04:01,2.80274755135,33.7522299968,-84.395766165
grta,2,07:04:02,2.80274755135,33.7522512836,-84.3957498601
grta,3,07:04:03,2.80274755135,33.7522725704,-84.3957335551
grta,4,07:04:04,2.80274755135,33.7522938572,-84.3957172502
grta,5,07:04:05,2.80274755135,33.752315144,-84.3957009452
grta,6,07:04:06,2.80274755135,33.7523364308,-84.3956846403
grta,7,07:04:07,2.80274755135,33.7523577175,-84.3956683353
grta,8,07:04:08,2.80274755135,33.7523790043,-84.3956520304
grta,9,07:04:09,2.80274755135,33.7523800537,-84.395630489
grta,10,07:04:10,2.80274755135,33.7523662917,-84.3956051153
grta,11,07:04:11,2.80274755135,33.7523525297,-84.3955797416
grta,12,07:04:12,2.80274755135,33.7523387677,-84.3955543679
grta,13,07:04:13,2.80274755135,33.7523250057,-84.3955289942
grta,14,07:04:14,2.80274755135,33.7523112437,-84.3955036205
grta,15,07:04:15,2.80274755135,33.7522974817,-84.3954782468
grta,16,07:04:16,2.80274755135,33.7522837197,-84.3954528731
grta,17,07:04:17,2.80274755135,33.7522699577,-84.3954274994
grta,18,07:04:18,2.80274755135,33.7522561957,-84.3954021257
grta,19,07:04:19,2.80274755135,33.7522424337,-84.395376752
grta,20,07:04:20,2.80274755135,33.7522286717,-84.3953513783
grta,21,07:04:21,2.80274755135,33.7522149097,-84.3953260046
grta,22,07:04:22,2.80274755135,33.7522011478,-84.395300631
grta,23,07:04:23,2.80274755135,33.7521873858,-84.3952752573
grta,24,07:04:24,2.80274755135,33.7521736238,-84.3952498836
grta,25,07:04:25,2.80274755135,33.7521598618,-84.3952245099
grta,26,07:04:26,2.80274755135,33.7521460998,-84.3951991363
grta,27,07:04:27,2.80274755135,33.7521323378,-84.3951737626
grta,28,07:04:28,2.80274755135,33.7521185758,-84.3951483889
grta,29,07:04:29,2.80274755135,33.7521048139,-84.3951230153
grta,30,07:04:30,2.80274755135,33.7520910519,-84.3950976416
grta,31,07:04:31,2.80274755135,33.7520772899,-84.395072268
grta,32,07:04:32,2.80274755135,33.7520635279,-84.3950468943
grta,33,07:04:33,2.80274755135,33.752049766,-84.3950215207
grta,34,07:04:34,2.80274755135,33.752036004,-84.394996147
grta,35,07:04:35,2.80274755135,33.752022242,-84.3949707734
grta,36,07:04:36,2.80274755135,33.7520084801,-84.3949453997
grta,37,07:04:37,2.80274755135,33.7519947181,-84.3949200261
grta,38,07:04:38,2.80274755135,33.7519809561,-84.3948946525
grta,39,07:04:39,2.80274755135,33.7519671942,-84.3948692788
grta,40,07:04:40,2.80274755135,33.7519534322,-84.3948439052
grta,41,07:04:41,2.80274755135,33.7519396702,-84.3948185315
grta,42,07:04:42,2.80274755135,33.7519259083,-84.3947931579
grta,43,07:04:43,2.80274755135,33.7519121463,-84.3947677843
grta,44,07:04:44,2.80274755135,33.7518983843,-84.3947424107
grta,45,07:04:45,2.80274755135,33.7518846224,-84.3947170371
grta,46,07:04:46,2.80274755135,33.7518708605,-84.3946916635
grta,47,07:04:47,2.80274755135,33.7518570985,-84.3946662898
grta,48,07:04:48,2.80274755135,33.7518433366,-84.3946409162
grta,49,07:04:49,2.80274755135,33.7518295746,-84.3946155426
grta,50,07:04:50,2.80274755135,33.7518158126,-84.394590169
grta,51,07:04:51,2.80274755135,33.7518020507,-84.3945647954
grta,52,07:04:52,2.80274755135,33.7517882888,-84.3945394218
grta,53,07:04:53,2.80274755135,33.7517745268,-84.3945140482
grta,54,07:04:54,2.80274755135,33.7517607649,-84.3944886746
grta,55,07:04:55,2.80274755135,33.7517470029,-84.3944633011
grta,56,07:04:56,2.80274755135,33.751733241,-84.3944379275
grta,57,07:04:57,2.80274755135,33.7517194791,-84.3944125539
grta,58,07:04:58,2.80274755135,33.7517057171,-84.3943871803
grta,59,07:04:59,2.80274755135,33.7516919552,-84.3943618067
grta,60,07:05:00,2.80274755135,33.7516781933,-84.3943364332
grta,61,07:05:01,2.80274755135,33.7516644313,-84.3943110596
grta,62,07:05:02,2.80274755135,33.751650548,-84.394285782
grta,63,07:05:03,2.80274755135,33.751636446,-84.3942606775
grta,64,07:05:04,2.80274755135,33.7516223439,-84.394235573
grta,65,07:05:05,2.80274755135,33.7516082419,-84.3942104685
grta,66,07:05:06,2.80274755135,33.7515941399,-84.394185364
grta,67,07:05:07,2.80274755135,33.7515800378,-84.3941602595
grta,68,07:05:08,2.80274755135,33.7515659358,-84.394135155
grta,69,07:05:09,2.80274755135,33.7515518338,-84.3941100506
grta,70,07:05:10,2.80274755135,33.7515377317,-84.3940849461
grta,71,07:05:11,2.80274755135,33.7515236297,-84.3940598416
grta,72,07:05:12,2.80274755135,33.7515095277,-84.3940347371
grta,73,07:05:13,2.80274755135,33.7514954257,-84.3940096326
grta,74,07:05:14,2.80274755135,33.7514813237,-84.3939845282
grta,75,07:05:15,2.80274755135,33.7514672216,-84.3939594237
