mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:25:12,3.2517195721,33.78425217,-84.38782501
grta,1.0,06:25:13,3.2517195721,33.7842814891,-84.38782501
grta,2.0,06:25:14,3.2517195721,33.7843108083,-84.38782501
grta,3.0,06:25:15,3.2517195721,33.7843401274,-84.38782501
grta,4.0,06:25:16,3.2517195721,33.7843694465,-84.38782501
grta,5.0,06:25:17,3.2517195721,33.7843987657,-84.38782501
grta,6.0,06:25:18,3.2517195721,33.7844280724,-84.3878242627
grta,7.0,06:25:19,3.2517195721,33.7844573684,-84.3878228676
grta,8.0,06:25:20,3.2517195721,33.7844866644,-84.3878214724
grta,9.0,06:25:21,3.2517195721,33.7845159604,-84.3878200773
grta,10.0,06:25:22,3.2517195721,33.7845452563,-84.3878186822
grta,11.0,06:25:23,3.2517195721,33.7845745538,-84.3878173672
grta,12.0,06:25:24,3.2517195721,33.7846038725,-84.3878171749
grta,13.0,06:25:25,3.2517195721,33.7846331912,-84.3878169826
grta,14.0,06:25:26,3.2517195721,33.7846625099,-84.3878167904
grta,15.0,06:25:27,3.2517195721,33.7846918286,-84.3878165981
grta,16.0,06:25:28,3.2517195721,33.7847211473,-84.3878164058
grta,17.0,06:25:29,3.2517195721,33.784750466,-84.3878162136
grta,18.0,06:25:30,3.2517195721,33.7847797847,-84.3878160213
grta,19.0,06:25:31,3.2517195721,33.7848091034,-84.387815829
grta,20.0,06:25:32,3.2517195721,33.7848384221,-84.3878156368
grta,21.0,06:25:33,3.2517195721,33.7848677408,-84.3878154445
grta,22.0,06:25:34,3.2517195721,33.7848970595,-84.3878152522
grta,23.0,06:25:35,3.2517195721,33.7849263782,-84.38781506
grta,24.0,06:25:36,3.2517195721,33.7849556969,-84.3878148677
grta,25.0,06:25:37,3.2517195721,33.7849850156,-84.3878146754
grta,26.0,06:25:38,3.2517195721,33.7850143343,-84.3878144831
grta,27.0,06:25:39,3.2517195721,33.7850436529,-84.3878142909
grta,28.0,06:25:40,3.2517195721,33.7850729716,-84.3878140986
grta,29.0,06:25:41,3.2517195721,33.7851022903,-84.3878139063
grta,30.0,06:25:42,3.2517195721,33.785131609,-84.3878137141
grta,31.0,06:25:43,3.2517195721,33.7851609277,-84.3878135218
grta,32.0,06:25:44,3.2517195721,33.7851902464,-84.3878133295
grta,33.0,06:25:45,3.2517195721,33.7852195651,-84.3878131373
grta,34.0,06:25:46,3.2517195721,33.7852488838,-84.387812945
grta,35.0,06:25:47,3.2517195721,33.7852782025,-84.3878127527
grta,36.0,06:25:48,3.2517195721,33.7853075212,-84.3878125605
grta,37.0,06:25:49,3.2517195721,33.7853368399,-84.3878123682
grta,38.0,06:25:50,3.2517195721,33.7853661586,-84.3878121759
grta,39.0,06:25:51,3.2517195721,33.7853954772,-84.3878119836
grta,40.0,06:25:52,3.2517195721,33.7854247959,-84.3878117914
grta,41.0,06:25:53,3.2517195721,33.7854541146,-84.3878115991
