mode,secondID,time,speed (m/s),lat,lon
grta,0,08:54:56,2.41580337006,33.78056208,-84.38742744
grta,1,08:54:57,2.41580337006,33.7805824356,-84.3874367247
grta,2,08:54:58,2.41580337006,33.7806027911,-84.3874460094
grta,3,08:54:59,2.41580337006,33.7806231467,-84.3874552941
grta,4,08:55:00,2.41580337006,33.7806435023,-84.3874645788
grta,5,08:55:01,2.41580337006,33.7806638579,-84.3874738635
grta,6,08:55:02,2.41580337006,33.7806842134,-84.3874831482
grta,7,08:55:03,2.41580337006,33.780704569,-84.3874924329
grta,8,08:55:04,2.41580337006,33.7807249246,-84.3875017176
grta,9,08:55:05,2.41580337006,33.7807452231,-84.3875111791
grta,10,08:55:06,2.41580337006,33.7807654961,-84.3875207193
grta,11,08:55:07,2.41580337006,33.7807857691,-84.3875302595
grta,12,08:55:08,2.41580337006,33.7808060422,-84.3875397997
grta,13,08:55:09,2.41580337006,33.7808263152,-84.3875493399
grta,14,08:55:10,2.41580337006,33.7808465882,-84.3875588801
grta,15,08:55:11,2.41580337006,33.7808668613,-84.3875684203
grta,16,08:55:12,2.41580337006,33.7808871343,-84.3875779605
grta,17,08:55:13,2.41580337006,33.7809074073,-84.3875875007
grta,18,08:55:14,2.41580337006,33.7809276804,-84.3875970409
grta,19,08:55:15,2.41580337006,33.7809479534,-84.3876065811
grta,20,08:55:16,2.41580337006,33.7809682264,-84.3876161213
grta,21,08:55:17,2.41580337006,33.7809884995,-84.3876256615
grta,22,08:55:18,2.41580337006,33.781008924,-84.3876347247
grta,23,08:55:19,2.41580337006,33.7810293661,-84.3876437328
grta,24,08:55:20,2.41580337006,33.7810498082,-84.3876527408
grta,25,08:55:21,2.41580337006,33.7810702503,-84.3876617489
grta,26,08:55:22,2.41580337006,33.7810906923,-84.387670757
grta,27,08:55:23,2.41580337006,33.7811111344,-84.387679765
grta,28,08:55:24,2.41580337006,33.7811315765,-84.3876887731
grta,29,08:55:25,2.41580337006,33.7811520186,-84.3876977812
grta,30,08:55:26,2.41580337006,33.7811724607,-84.3877067892
grta,31,08:55:27,2.41580337006,33.7811929027,-84.3877157973
grta,32,08:55:28,2.41580337006,33.7812133448,-84.3877248054
grta,33,08:55:29,2.41580337006,33.7812339799,-84.3877331549
grta,34,08:55:30,2.41580337006,33.7812546397,-84.3877414199
grta,35,08:55:31,2.41580337006,33.7812752995,-84.3877496849
grta,36,08:55:32,2.41580337006,33.7812960372,-84.3877576376
grta,37,08:55:33,2.41580337006,33.7813170992,-84.3877642893
grta,38,08:55:34,2.41580337006,33.7813381613,-84.3877709409
grta,39,08:55:35,2.41580337006,33.7813592233,-84.3877775925
grta,40,08:55:36,2.41580337006,33.7813803803,-84.3877837914
grta,41,08:55:37,2.41580337006,33.7814015685,-84.3877898412
grta,42,08:55:38,2.41580337006,33.7814228253,-84.3877954852
grta,43,08:55:39,2.41580337006,33.7814443097,-84.3877997826
grta,44,08:55:40,2.41580337006,33.7814657942,-84.3878040801
grta,45,08:55:41,2.41580337006,33.7814872787,-84.3878083776
grta,46,08:55:42,2.41580337006,33.7815088856,-84.3878115932
grta,47,08:55:43,2.41580337006,33.78153055,-84.3878143013
grta,48,08:55:44,2.41580337006,33.7815522144,-84.3878170093
grta,49,08:55:45,2.41580337006,33.7815739043,-84.3878194045
grta,50,08:55:46,2.41580337006,33.7815955982,-84.38782175
grta,51,08:55:47,2.41580337006,33.781617292,-84.3878240955
grta,52,08:55:48,2.41580337006,33.7816389859,-84.3878264411
grta,53,08:55:49,2.41580337006,33.7816606798,-84.3878287866
grta,54,08:55:50,2.41580337006,33.7816823736,-84.3878311321
grta,55,08:55:51,2.41580337006,33.7817040932,-84.3878330016
grta,56,08:55:52,2.41580337006,33.7817258588,-84.387834014
grta,57,08:55:53,2.41580337006,33.7817476245,-84.3878350265
grta,58,08:55:54,2.41580337006,33.7817693902,-84.3878360389
grta,59,08:55:55,2.41580337006,33.7817911559,-84.3878370514
grta,60,08:55:56,2.41580337006,33.7818129216,-84.3878380638
grta,61,08:55:57,2.41580337006,33.7818346873,-84.3878390763
grta,62,08:55:58,2.41580337006,33.781856453,-84.3878400887
grta,63,08:55:59,2.41580337006,33.7818781924,-84.3878416975
grta,64,08:56:00,2.41580337006,33.7818999261,-84.3878434363
grta,65,08:56:01,2.41580337006,33.7819216597,-84.387845175
grta,66,08:56:02,2.41580337006,33.7819433934,-84.3878469138
grta,67,08:56:03,2.41580337006,33.7819651465,-84.3878476994
grta,68,08:56:04,2.41580337006,33.7819869252,-84.387847236
grta,69,08:56:05,2.41580337006,33.7820087038,-84.3878467726
grta,70,08:56:06,2.41580337006,33.7820304825,-84.3878463092
grta,71,08:56:07,2.41580337006,33.7820522612,-84.3878458458
grta,72,08:56:08,2.41580337006,33.7820740398,-84.3878453823
grta,73,08:56:09,2.41580337006,33.7820958185,-84.3878449189
grta,74,08:56:10,2.41580337006,33.7821175972,-84.3878444555
grta,75,08:56:11,2.41580337006,33.7821393758,-84.3878439921
grta,76,08:56:12,2.41580337006,33.7821611545,-84.3878435287
grta,77,08:56:13,2.41580337006,33.7821829332,-84.3878430653
grta,78,08:56:14,2.41580337006,33.7822047118,-84.3878426019
grta,79,08:56:15,2.41580337006,33.7822264905,-84.3878421384
grta,80,08:56:16,2.41580337006,33.7822482692,-84.387841675
grta,81,08:56:17,2.41580337006,33.7822700478,-84.3878412116
grta,82,08:56:18,2.41580337006,33.7822918265,-84.3878407482
grta,83,08:56:19,2.41580337006,33.7823136052,-84.3878402848
grta,84,08:56:20,2.41580337006,33.7823353867,-84.3878401006
grta,85,08:56:21,2.41580337006,33.7823571683,-84.3878399256
grta,86,08:56:22,2.41580337006,33.7823789499,-84.3878397507
grta,87,08:56:23,2.41580337006,33.7824007315,-84.3878395757
grta,88,08:56:24,2.41580337006,33.7824225131,-84.3878394007
grta,89,08:56:25,2.41580337006,33.7824442947,-84.3878392258
grta,90,08:56:26,2.41580337006,33.7824660764,-84.3878390508
grta,91,08:56:27,2.41580337006,33.782487858,-84.3878388759
grta,92,08:56:28,2.41580337006,33.7825096396,-84.3878387009
grta,93,08:56:29,2.41580337006,33.7825314212,-84.3878385259
grta,94,08:56:30,2.41580337006,33.7825532028,-84.387838351
grta,95,08:56:31,2.41580337006,33.7825749844,-84.387838176
grta,96,08:56:32,2.41580337006,33.782596766,-84.387838001
grta,97,08:56:33,2.41580337006,33.7826185476,-84.3878378261
grta,98,08:56:34,2.41580337006,33.7826403293,-84.3878376511
grta,99,08:56:35,2.41580337006,33.7826621109,-84.3878374761
grta,100,08:56:36,2.41580337006,33.7826838925,-84.3878373012
grta,101,08:56:37,2.41580337006,33.7827056741,-84.3878371262
grta,102,08:56:38,2.41580337006,33.7827274557,-84.3878369512
grta,103,08:56:39,2.41580337006,33.7827492373,-84.3878367763
grta,104,08:56:40,2.41580337006,33.7827710189,-84.3878366013
grta,105,08:56:41,2.41580337006,33.7827928005,-84.3878364263
grta,106,08:56:42,2.41580337006,33.7828145821,-84.3878362514
grta,107,08:56:43,2.41580337006,33.7828363638,-84.3878360764
grta,108,08:56:44,2.41580337006,33.7828581454,-84.3878359014
grta,109,08:56:45,2.41580337006,33.782879927,-84.3878357265
grta,110,08:56:46,2.41580337006,33.7829017086,-84.3878355515
grta,111,08:56:47,2.41580337006,33.7829234902,-84.3878353765
grta,112,08:56:48,2.41580337006,33.7829452718,-84.3878352016
grta,113,08:56:49,2.41580337006,33.7829670534,-84.3878350266
grta,114,08:56:50,2.41580337006,33.782988835,-84.3878348516
grta,115,08:56:51,2.41580337006,33.7830106166,-84.3878346767
grta,116,08:56:52,2.41580337006,33.7830323983,-84.3878345017
grta,117,08:56:53,2.41580337006,33.7830541799,-84.3878343267
grta,118,08:56:54,2.41580337006,33.7830759615,-84.3878341518
grta,119,08:56:55,2.41580337006,33.7830977431,-84.3878339768
grta,120,08:56:56,2.41580337006,33.7831195247,-84.3878338018
grta,121,08:56:57,2.41580337006,33.7831413063,-84.3878336269
grta,122,08:56:58,2.41580337006,33.7831630879,-84.3878334519
grta,123,08:56:59,2.41580337006,33.7831848695,-84.3878332769
grta,124,08:57:00,2.41580337006,33.7832066511,-84.387833102
grta,125,08:57:01,2.41580337006,33.7832284327,-84.387832927
grta,126,08:57:02,2.41580337006,33.7832502144,-84.387832752
grta,127,08:57:03,2.41580337006,33.783271996,-84.3878325795
grta,128,08:57:04,2.41580337006,33.7832937776,-84.3878324113
grta,129,08:57:05,2.41580337006,33.7833155593,-84.3878322431
grta,130,08:57:06,2.41580337006,33.7833373409,-84.3878320749
grta,131,08:57:07,2.41580337006,33.7833591226,-84.3878319066
grta,132,08:57:08,2.41580337006,33.7833809042,-84.3878317384
grta,133,08:57:09,2.41580337006,33.7834026859,-84.3878315702
grta,134,08:57:10,2.41580337006,33.7834244675,-84.387831402
grta,135,08:57:11,2.41580337006,33.7834462491,-84.3878312338
grta,136,08:57:12,2.41580337006,33.7834680308,-84.3878310656
grta,137,08:57:13,2.41580337006,33.7834898124,-84.3878308974
grta,138,08:57:14,2.41580337006,33.7835115941,-84.3878307292
grta,139,08:57:15,2.41580337006,33.7835333757,-84.387830561
grta,140,08:57:16,2.41580337006,33.7835551574,-84.3878303927
grta,141,08:57:17,2.41580337006,33.783576939,-84.3878302245
grta,142,08:57:18,2.41580337006,33.7835987207,-84.3878300563
grta,143,08:57:19,2.41580337006,33.7836205023,-84.3878298881
grta,144,08:57:20,2.41580337006,33.783642284,-84.3878297199
grta,145,08:57:21,2.41580337006,33.7836640656,-84.3878295517
grta,146,08:57:22,2.41580337006,33.7836858473,-84.3878293835
grta,147,08:57:23,2.41580337006,33.7837076289,-84.3878292153
grta,148,08:57:24,2.41580337006,33.7837294105,-84.3878290471
grta,149,08:57:25,2.41580337006,33.7837511922,-84.3878288788
grta,150,08:57:26,2.41580337006,33.7837729738,-84.3878287106
grta,151,08:57:27,2.41580337006,33.7837947555,-84.3878285424
grta,152,08:57:28,2.41580337006,33.7838165371,-84.3878283742
grta,153,08:57:29,2.41580337006,33.7838383188,-84.387828206
grta,154,08:57:30,2.41580337006,33.7838601004,-84.3878280378
grta,155,08:57:31,2.41580337006,33.7838818821,-84.3878278696
grta,156,08:57:32,2.41580337006,33.7839036637,-84.3878277014
grta,157,08:57:33,2.41580337006,33.7839254453,-84.3878275332
grta,158,08:57:34,2.41580337006,33.783947227,-84.387827365
grta,159,08:57:35,2.41580337006,33.7839690086,-84.3878271967
grta,160,08:57:36,2.41580337006,33.7839907903,-84.3878270285
grta,161,08:57:37,2.41580337006,33.7840125719,-84.3878268603
grta,162,08:57:38,2.41580337006,33.7840343536,-84.3878266921
grta,163,08:57:39,2.41580337006,33.7840561352,-84.3878265239
grta,164,08:57:40,2.41580337006,33.7840779169,-84.3878263557
grta,165,08:57:41,2.41580337006,33.7840996985,-84.3878261875
grta,166,08:57:42,2.41580337006,33.7841214801,-84.3878260193
grta,167,08:57:43,2.41580337006,33.7841432618,-84.3878258511
grta,168,08:57:44,2.41580337006,33.7841650434,-84.3878256828
grta,169,08:57:45,2.41580337006,33.7841868251,-84.3878255146
grta,170,08:57:46,2.41580337006,33.7842086067,-84.3878253464
grta,171,08:57:47,2.41580337006,33.7842303884,-84.3878251782
