mode,secondID,time,speed (m/s),lat,lon
grta,0,09:17:43,3.22213919382,33.78694916,-84.38781738
grta,1,09:17:44,3.22213919382,33.7869782124,-84.38781738
grta,2,09:17:45,3.22213919382,33.7870072648,-84.38781738
grta,3,09:17:46,3.22213919382,33.7870363172,-84.38781738
grta,4,09:17:47,3.22213919382,33.7870653696,-84.38781738
grta,5,09:17:48,3.22213919382,33.7870944221,-84.38781738
grta,6,09:17:49,3.22213919382,33.7871234745,-84.38781738
grta,7,09:17:50,3.22213919382,33.7871525244,-84.3878169384
grta,8,09:17:51,3.22213919382,33.7871815743,-84.3878164784
grta,9,09:17:52,3.22213919382,33.7872106242,-84.3878160185
grta,10,09:17:53,3.22213919382,33.7872396741,-84.3878155586
grta,11,09:17:54,3.22213919382,33.7872687239,-84.3878150986
grta,12,09:17:55,3.22213919382,33.7872977738,-84.3878146387
grta,13,09:17:56,3.22213919382,33.7873268237,-84.3878141788
grta,14,09:17:57,3.22213919382,33.7873558735,-84.3878137189
grta,15,09:17:58,3.22213919382,33.7873849234,-84.3878132589
grta,16,09:17:59,3.22213919382,33.7874139733,-84.387812799
grta,17,09:18:00,3.22213919382,33.7874430232,-84.3878123391
grta,18,09:18:01,3.22213919382,33.787472073,-84.3878118791
grta,19,09:18:02,3.22213919382,33.7875011229,-84.3878114192
grta,20,09:18:03,3.22213919382,33.7875301728,-84.3878109593
grta,21,09:18:04,3.22213919382,33.7875592226,-84.3878104994
grta,22,09:18:05,3.22213919382,33.7875882725,-84.3878100394
grta,23,09:18:06,3.22213919382,33.7876173224,-84.3878095795
grta,24,09:18:07,3.22213919382,33.7876463723,-84.3878091196
grta,25,09:18:08,3.22213919382,33.7876754221,-84.3878086596
grta,26,09:18:09,3.22213919382,33.787704472,-84.3878081997
grta,27,09:18:10,3.22213919382,33.7877335219,-84.3878077398
grta,28,09:18:11,3.22213919382,33.7877625717,-84.3878072799
grta,29,09:18:12,3.22213919382,33.7877916216,-84.3878068199
grta,30,09:18:13,3.22213919382,33.7878206715,-84.38780636
grta,31,09:18:14,3.22213919382,33.7878497213,-84.3878059001
grta,32,09:18:15,3.22213919382,33.7878787712,-84.3878054401
grta,33,09:18:16,3.22213919382,33.7879078211,-84.3878049802
grta,34,09:18:17,3.22213919382,33.787936871,-84.3878045203
grta,35,09:18:18,3.22213919382,33.7879659208,-84.3878040604
grta,36,09:18:19,3.22213919382,33.7879949707,-84.3878036004
grta,37,09:18:20,3.22213919382,33.7880240206,-84.3878031405
grta,38,09:18:21,3.22213919382,33.7880530704,-84.3878026806
grta,39,09:18:22,3.22213919382,33.7880821203,-84.3878022206
grta,40,09:18:23,3.22213919382,33.7881111702,-84.3878017607
grta,41,09:18:24,3.22213919382,33.78814022,-84.3878013008
grta,42,09:18:25,3.22213919382,33.7881692699,-84.3878008409
grta,43,09:18:26,3.22213919382,33.7881983198,-84.3878003809
grta,44,09:18:27,3.22213919382,33.7882273696,-84.387799921
grta,45,09:18:28,3.22213919382,33.7882564195,-84.3877994611
grta,46,09:18:29,3.22213919382,33.7882854694,-84.3877990011
grta,47,09:18:30,3.22213919382,33.7883145192,-84.3877985412
grta,48,09:18:31,3.22213919382,33.7883435691,-84.3877980813
grta,49,09:18:32,3.22213919382,33.788372619,-84.3877976213
grta,50,09:18:33,3.22213919382,33.7884016688,-84.3877971614
grta,51,09:18:34,3.22213919382,33.7884307187,-84.3877967015
grta,52,09:18:35,3.22213919382,33.7884597686,-84.3877962416
grta,53,09:18:36,3.22213919382,33.7884888184,-84.3877957816
grta,54,09:18:37,3.22213919382,33.7885178683,-84.3877953217
grta,55,09:18:38,3.22213919382,33.7885469182,-84.3877948618
grta,56,09:18:39,3.22213919382,33.7885759683,-84.3877944242
grta,57,09:18:40,3.22213919382,33.7886050193,-84.3877940808
grta,58,09:18:41,3.22213919382,33.7886340702,-84.3877937374
grta,59,09:18:42,3.22213919382,33.7886631212,-84.3877933941
grta,60,09:18:43,3.22213919382,33.7886921722,-84.3877930507
grta,61,09:18:44,3.22213919382,33.7887212232,-84.3877927073
grta,62,09:18:45,3.22213919382,33.7887502742,-84.387792364
grta,63,09:18:46,3.22213919382,33.7887793252,-84.3877920206
grta,64,09:18:47,3.22213919382,33.7888083762,-84.3877916772
grta,65,09:18:48,3.22213919382,33.7888374272,-84.3877913338
grta,66,09:18:49,3.22213919382,33.7888664782,-84.3877909905
grta,67,09:18:50,3.22213919382,33.7888955291,-84.3877906471
grta,68,09:18:51,3.22213919382,33.7889245801,-84.3877903037
grta,69,09:18:52,3.22213919382,33.7889536311,-84.3877899603
grta,70,09:18:53,3.22213919382,33.7889826821,-84.387789617
grta,71,09:18:54,3.22213919382,33.7890117331,-84.3877892736
grta,72,09:18:55,3.22213919382,33.7890407841,-84.3877889302
grta,73,09:18:56,3.22213919382,33.7890698351,-84.3877885869
grta,74,09:18:57,3.22213919382,33.7890988861,-84.3877882435
grta,75,09:18:58,3.22213919382,33.789127937,-84.3877879001
grta,76,09:18:59,3.22213919382,33.789156988,-84.3877875567
grta,77,09:19:00,3.22213919382,33.789186039,-84.3877872134
