mode,secondID,time,speed (m/s),lat,lon
grta,0,06:05:00,6.06680951763,33.88502121,-84.73931122
grta,1,06:05:01,6.06680951763,33.8850372988,-84.7393739039
grta,2,06:05:02,6.06680951763,33.8850533875,-84.7394365879
grta,3,06:05:03,6.06680951763,33.8850694763,-84.7394992718
grta,4,06:05:04,6.06680951763,33.8850855651,-84.7395619558
grta,5,06:05:05,6.06680951763,33.8851016539,-84.7396246397
grta,6,06:05:06,6.06680951763,33.8851177427,-84.7396873237
grta,7,06:05:07,6.06680951763,33.8851338315,-84.7397500077
grta,8,06:05:08,6.06680951763,33.8851499202,-84.7398126917
grta,9,06:05:09,6.06680951763,33.885166009,-84.7398753757
grta,10,06:05:10,6.06680951763,33.8851820978,-84.7399380597
grta,11,06:05:11,6.06680951763,33.8851981866,-84.7400007438
grta,12,06:05:12,6.06680951763,33.8852142754,-84.7400634278
grta,13,06:05:13,6.06680951763,33.8852303642,-84.7401261118
grta,14,06:05:14,6.06680951763,33.885246453,-84.7401887959
grta,15,06:05:15,6.06680951763,33.8852625419,-84.74025148
grta,16,06:05:16,6.06680951763,33.8852786307,-84.7403141641
grta,17,06:05:17,6.06680951763,33.8852947195,-84.7403768481
grta,18,06:05:18,6.06680951763,33.8853108083,-84.7404395323
grta,19,06:05:19,6.06680951763,33.8853555918,-84.74045563
grta,20,06:05:20,6.06680951763,33.8854102907,-84.74045563
grta,21,06:05:21,6.06680951763,33.8854649896,-84.74045563
grta,22,06:05:22,6.06680951763,33.8855196885,-84.74045563
grta,23,06:05:23,6.06680951763,33.8855743873,-84.74045563
grta,24,06:05:24,6.06680951763,33.8856290862,-84.74045563
grta,25,06:05:25,6.06680951763,33.8856837851,-84.74045563
grta,26,06:05:26,6.06680951763,33.885738484,-84.74045563
grta,27,06:05:27,6.06680951763,33.8857931829,-84.74045563
grta,28,06:05:28,6.06680951763,33.8858478818,-84.74045563
grta,29,06:05:29,6.06680951763,33.8859025765,-84.7404548643
