mode,secondID,time,speed (m/s),lat,lon
grta,0,07:20:00,16.3958317333,33.86753082,-84.70160675
grta,1,07:20:01,16.3958317333,33.8673955175,-84.7016781364
grta,2,07:20:02,16.3958317333,33.867260215,-84.7017495228
grta,3,07:20:03,16.3958317333,33.8671249125,-84.7018209091
grta,4,07:20:04,16.3958317333,33.8669896101,-84.7018922955
grta,5,07:20:05,16.3958317333,33.8668880545,-84.7018676939
grta,6,07:20:06,16.3958317333,33.8668325831,-84.701703466
grta,7,07:20:07,16.3958317333,33.8667753249,-84.701540089
grta,8,07:20:08,16.3958317333,33.8667180667,-84.7013767121
grta,9,07:20:09,16.3958317333,33.8666608086,-84.7012133353
grta,10,07:20:10,16.3958317333,33.8666035505,-84.7010499586
grta,11,07:20:11,16.3958317333,33.8665461931,-84.7008866341
grta,12,07:20:12,16.3958317333,33.8664896919,-84.7007228801
grta,13,07:20:13,16.3958317333,33.8664342009,-84.7005586298
grta,14,07:20:14,16.3958317333,33.86637871,-84.7003943795
grta,15,07:20:15,16.3958317333,33.866323219,-84.7002301294
grta,16,07:20:16,16.3958317333,33.8662669188,-84.700066277
grta,17,07:20:17,16.3958317333,33.8662935212,-84.6999285652
grta,18,07:20:18,16.3958317333,33.866428788,-84.6998590562
grta,19,07:20:19,16.3958317333,33.8665724998,-84.6998837354
grta,20,07:20:20,16.3958317333,33.866712095,-84.6999408253
grta,21,07:20:21,16.3958317333,33.8668458527,-84.7000162789
grta,22,07:20:22,16.3958317333,33.8669795059,-84.7000919866
grta,23,07:20:23,16.3958317333,33.8671108227,-84.7001733687
grta,24,07:20:24,16.3958317333,33.8672421396,-84.7002547509
grta,25,07:20:25,16.3958317333,33.8673723135,-84.7003386367
grta,26,07:20:26,16.3958317333,33.8675049581,-84.7004168637
grta,27,07:20:27,16.3958317333,33.8676375496,-84.7004952157
grta,28,07:20:28,16.3958317333,33.8677675802,-84.7005794905
grta,29,07:20:29,16.3958317333,33.8678994612,-84.7006593267
grta,30,07:20:30,16.3958317333,33.8680346599,-84.7007309955
grta,31,07:20:31,16.3958317333,33.8681698587,-84.7008026643
grta,32,07:20:32,16.3958317333,33.8682174796,-84.7006434942
grta,33,07:20:33,16.3958317333,33.8682565661,-84.7004725947
grta,34,07:20:34,16.3958317333,33.8682912561,-84.7003004158
grta,35,07:20:35,16.3958317333,33.8683194613,-84.7001264583
grta,36,07:20:36,16.3958317333,33.868335995,-84.6999506366
grta,37,07:20:37,16.3958317333,33.86834335,-84.6997738883
grta,38,07:20:38,16.3958317333,33.86834335,-84.6995966752
grta,39,07:20:39,16.3958317333,33.8683465598,-84.6994195048
grta,40,07:20:40,16.3958317333,33.8683312759,-84.6992435633
grta,41,07:20:41,16.3958317333,33.8683082099,-84.6990686803
grta,42,07:20:42,16.3958317333,33.8682745438,-84.698896124
grta,43,07:20:43,16.3958317333,33.868237034,-84.6987247959
grta,44,07:20:44,16.3958317333,33.8681841043,-84.6985597993
grta,45,07:20:45,16.3958317333,33.8681267402,-84.6983964821
grta,46,07:20:46,16.3958317333,33.8680634648,-84.6982366799
grta,47,07:20:47,16.3958317333,33.8679900546,-84.6980828625
grta,48,07:20:48,16.3958317333,33.8679105637,-84.6979345715
grta,49,07:20:49,16.3958317333,33.8678065749,-84.6978086199
grta,50,07:20:50,16.3958317333,33.8676892755,-84.697701774
grta,51,07:20:51,16.3958317333,33.8676080495,-84.6975572679
grta,52,07:20:52,16.3958317333,33.8675474953,-84.6973957547
grta,53,07:20:53,16.3958317333,33.8674988771,-84.6972285136
grta,54,07:20:54,16.3958317333,33.8674539721,-84.697059676
grta,55,07:20:55,16.3958317333,33.8673573299,-84.69697571
grta,56,07:20:56,16.3958317333,33.8672095025,-84.69697571
