mode,secondID,time,speed (m/s),lat,lon
grta,0,08:15:56,16.1804836,33.7973671,-84.64364624
grta,1,08:15:57,16.1804836,33.7973467089,-84.64355904
grta,2,08:15:58,16.1804836,33.7972805307,-84.6434033271
grta,3,08:15:59,16.1804836,33.7972134604,-84.6432481467
grta,4,08:16:00,16.1804836,33.7971463902,-84.6430929664
grta,5,08:16:01,16.1804836,33.7970838512,-84.6429351108
grta,6,08:16:02,16.1804836,33.7970219418,-84.6427768837
grta,7,08:16:03,16.1804836,33.7969614377,-84.6426178842
grta,8,08:16:04,16.1804836,33.7969016578,-84.6424584867
grta,9,08:16:05,16.1804836,33.7968430175,-84.6422984856
grta,10,08:16:06,16.1804836,33.7967834197,-84.6421389948
grta,11,08:16:07,16.1804836,33.7967232385,-84.6419798145
grta,12,08:16:08,16.1804836,33.7966627404,-84.6418208069
grta,13,08:16:09,16.1804836,33.7966021265,-84.6416618625
grta,14,08:16:10,16.1804836,33.7965415127,-84.6415029181
grta,15,08:16:11,16.1804836,33.796480899,-84.6413439738
grta,16,08:16:12,16.1804836,33.7964202853,-84.6411850297
grta,17,08:16:13,16.1804836,33.7963598173,-84.6410260076
grta,18,08:16:14,16.1804836,33.7963013271,-84.6408659262
grta,19,08:16:15,16.1804836,33.796241773,-84.64070641
grta,20,08:16:16,16.1804836,33.7961823214,-84.640546838
grta,21,08:16:17,16.1804836,33.7961230205,-84.6403871855
grta,22,08:16:18,16.1804836,33.7960637196,-84.6402275331
grta,23,08:16:19,16.1804836,33.7960031634,-84.6400685753
grta,24,08:16:20,16.1804836,33.795942165,-84.6399098473
grta,25,08:16:21,16.1804836,33.795881523,-84.6397509195
grta,26,08:16:22,16.1804836,33.7958208811,-84.6395919919
grta,27,08:16:23,16.1804836,33.7957602392,-84.6394330643
grta,28,08:16:24,16.1804836,33.7956995973,-84.6392741368
grta,29,08:16:25,16.1804836,33.7956383887,-84.6391155244
grta,30,08:16:26,16.1804836,33.7955762507,-84.6389574284
grta,31,08:16:27,16.1804836,33.7955141128,-84.6387993324
grta,32,08:16:28,16.1804836,33.7954519749,-84.6386412366
grta,33,08:16:29,16.1804836,33.795389837,-84.6384831409
