mode,secondID,time,speed (m/s),lat,lon
grta,0,07:01:42,16.5216026575,33.78198624,-84.60877991
grta,1,07:01:43,16.5216026575,33.7818638675,-84.6086782933
grta,2,07:01:44,16.5216026575,33.7817429379,-84.6085741229
grta,3,07:01:45,16.5216026575,33.781620745,-84.6084722043
grta,4,07:01:46,16.5216026575,33.7814947841,-84.6083769675
grta,5,07:01:47,16.5216026575,33.7813688232,-84.6082817308
grta,6,07:01:48,16.5216026575,33.7812407455,-84.6081906691
grta,7,07:01:49,16.5216026575,33.7811120829,-84.6081007613
grta,8,07:01:50,16.5216026575,33.7809824585,-84.6080129243
grta,9,07:01:51,16.5216026575,33.7808511582,-84.6079286905
grta,10,07:01:52,16.5216026575,33.7807209317,-84.6078421961
grta,11,07:01:53,16.5216026575,33.7805872913,-84.6077633916
grta,12,07:01:54,16.5216026575,33.7804534581,-84.6076850537
grta,13,07:01:55,16.5216026575,33.7803189482,-84.6076084364
grta,14,07:01:56,16.5216026575,33.7801832736,-84.6075347813
grta,15,07:01:57,16.5216026575,33.7800465624,-84.6074640342
grta,16,07:01:58,16.5216026575,33.7799120369,-84.6073879807
grta,17,07:01:59,16.5216026575,33.779776469,-84.6073140494
grta,18,07:02:00,16.5216026575,33.7796397732,-84.6072431892
