mode,secondID,time,speed (m/s),lat,lon
grta,0,06:30:09,17.3140568343,33.78940964,-84.623703
grta,1,06:30:10,17.3140568343,33.7893465698,-84.6235327171
grta,2,06:30:11,17.3140568343,33.7892808162,-84.6233631441
grta,3,06:30:12,17.3140568343,33.7892150628,-84.6231935712
grta,4,06:30:13,17.3140568343,33.7891493093,-84.6230239984
grta,5,06:30:14,17.3140568343,33.7890837122,-84.622854339
grta,6,06:30:15,17.3140568343,33.7890182431,-84.6226846087
grta,7,06:30:16,17.3140568343,33.7889538795,-84.6225142999
grta,8,06:30:17,17.3140568343,33.7888861366,-84.6223458546
grta,9,06:30:18,17.3140568343,33.7888175962,-84.6221778846
grta,10,06:30:19,17.3140568343,33.788751655,-84.6220085234
grta,11,06:30:20,17.3140568343,33.7886883368,-84.6218376452
grta,12,06:30:21,17.3140568343,33.7886218897,-84.6216684623
grta,13,06:30:22,17.3140568343,33.7885548462,-84.6214996168
grta,14,06:30:23,17.3140568343,33.788484749,-84.6213325791
grta,15,06:30:24,17.3140568343,33.7884154525,-84.6211650709
grta,16,06:30:25,17.3140568343,33.7883494266,-84.6209956534
grta,17,06:30:26,17.3140568343,33.7882839077,-84.620825952
grta,18,06:30:27,17.3140568343,33.7882183889,-84.6206562508
grta,19,06:30:28,17.3140568343,33.7881526535,-84.620486679
grta,20,06:30:29,17.3140568343,33.7880789276,-84.6203218784
grta,21,06:30:30,17.3140568343,33.7880066518,-84.6201561906
grta,22,06:30:31,17.3140568343,33.7879383537,-84.619988069
grta,23,06:30:32,17.3140568343,33.7878693679,-84.6198203514
grta,24,06:30:33,17.3140568343,33.7878002259,-84.6196527256
grta,25,06:30:34,17.3140568343,33.7877327683,-84.6194841185
grta,26,06:30:35,17.3140568343,33.7876653201,-84.619315506
grta,27,06:30:36,17.3140568343,33.787597872,-84.6191468936
grta,28,06:30:37,17.3140568343,33.7875304269,-84.6189782796
grta,29,06:30:38,17.3140568343,33.7874631382,-84.6188095765
grta,30,06:30:39,17.3140568343,33.7873963336,-84.6186405974
grta,31,06:30:40,17.3140568343,33.787327886,-84.6184725974
grta,32,06:30:41,17.3140568343,33.7872556402,-84.6183068608
grta,33,06:30:42,17.3140568343,33.7871874373,-84.6181387691
grta,34,06:30:43,17.3140568343,33.7871231709,-84.6179683845
grta,35,06:30:44,17.3140568343,33.7870589045,-84.6177979999
grta,36,06:30:45,17.3140568343,33.7869840791,-84.6176339429
grta,37,06:30:46,17.3140568343,33.786919431,-84.6174639247
grta,38,06:30:47,17.3140568343,33.7868547368,-84.617293793
grta,39,06:30:48,17.3140568343,33.7867886727,-84.617124398
grta,40,06:30:49,17.3140568343,33.7867226087,-84.6169550031
grta,41,06:30:50,17.3140568343,33.7866565447,-84.6167856083
grta,42,06:30:51,17.3140568343,33.7865904808,-84.6166162136
grta,43,06:30:52,17.3140568343,33.7865244169,-84.616446819
grta,44,06:30:53,17.3140568343,33.786458353,-84.6162774245
grta,45,06:30:54,17.3140568343,33.7863867628,-84.6161112957
grta,46,06:30:55,17.3140568343,33.78631471,-84.6159454404
grta,47,06:30:56,17.3140568343,33.7862434956,-84.615779095
grta,48,06:30:57,17.3140568343,33.7861786227,-84.6156090422
grta,49,06:30:58,17.3140568343,33.7861137498,-84.6154389894
grta,50,06:30:59,17.3140568343,33.7860488769,-84.6152689368
grta,51,06:31:00,17.3140568343,33.7859840041,-84.6150988842
grta,52,06:31:01,17.3140568343,33.7859191314,-84.6149288318
grta,53,06:31:02,17.3140568343,33.7858539773,-84.6147589402
grta,54,06:31:03,17.3140568343,33.7857844139,-84.6145915685
grta,55,06:31:04,17.3140568343,33.7857148505,-84.6144241969
grta,56,06:31:05,17.3140568343,33.7856452872,-84.6142568253
grta,57,06:31:06,17.3140568343,33.7855757239,-84.6140894539
grta,58,06:31:07,17.3140568343,33.7855061607,-84.6139220826
grta,59,06:31:08,17.3140568343,33.7854365975,-84.6137547114
grta,60,06:31:09,17.3140568343,33.7853670343,-84.6135873403
grta,61,06:31:10,17.3140568343,33.7852959507,-84.613420892
grta,62,06:31:11,17.3140568343,33.7852242737,-84.613254806
grta,63,06:31:12,17.3140568343,33.7851515795,-84.6130893548
grta,64,06:31:13,17.3140568343,33.7850814889,-84.6129223254
grta,65,06:31:14,17.3140568343,33.7850028853,-84.6127608906
grta,66,06:31:15,17.3140568343,33.7849226855,-84.612600491
grta,67,06:31:16,17.3140568343,33.7848433987,-84.612439446
grta,68,06:31:17,17.3140568343,33.7847649049,-84.6122778407
grta,69,06:31:18,17.3140568343,33.7846781734,-84.6121224507
grta,70,06:31:19,17.3140568343,33.784590349,-84.6119678854
grta,71,06:31:20,17.3140568343,33.7845009164,-84.6118146558
grta,72,06:31:21,17.3140568343,33.7844108302,-84.6116619692
