mode,secondID,time,speed (m/s),lat,lon
grta,0,06:57:28,13.3717979923,33.74874878,-84.39797211
grta,1,06:57:29,13.3717979923,33.7488690437,-84.3979795275
grta,2,06:57:30,13.3717979923,33.7489893002,-84.39797017
grta,3,06:57:31,13.3717979923,33.749107825,-84.3979440206
grta,4,06:57:32,13.3717979923,33.7492256292,-84.3979133352
grta,5,06:57:33,13.3717979923,33.7493443566,-84.3979014827
grta,6,06:57:34,13.3717979923,33.7494569101,-84.3978562417
grta,7,06:57:35,13.3717979923,33.7495649623,-84.397792208
grta,8,06:57:36,13.3717979923,33.7496727934,-84.3977276622
grta,9,06:57:37,13.3717979923,33.7497789282,-84.3976591868
grta,10,06:57:38,13.3717979923,33.7498850631,-84.3975907114
grta,11,06:57:39,13.3717979923,33.7499911975,-84.3975222349
grta,12,06:57:40,13.3717979923,33.7500919522,-84.3974432446
grta,13,06:57:41,13.3717979923,33.7501951798,-84.3973689657
grta,14,06:57:42,13.3717979923,33.7503005142,-84.397298741
grta,15,06:57:43,13.3717979923,33.7504041618,-84.3972250533
grta,16,06:57:44,13.3717979923,33.7505070941,-84.3971498971
grta,17,06:57:45,13.3717979923,33.7506087799,-84.397072431
grta,18,06:57:46,13.3717979923,33.7507072771,-84.3969892175
grta,19,06:57:47,13.3717979923,33.7508071316,-84.3969084171
grta,20,06:57:48,13.3717979923,33.7509079153,-84.3968292046
grta,21,06:57:49,13.3717979923,33.75100816,-84.3967490105
grta,22,06:57:50,13.3717979923,33.7511083137,-84.3966686545
grta,23,06:57:51,13.3717979923,33.7512080334,-84.3965875278
grta,24,06:57:52,13.3717979923,33.7513077533,-84.3965064011
grta,25,06:57:53,13.3717979923,33.7514074731,-84.3964252743
grta,26,06:57:54,13.3717979923,33.751507193,-84.3963441475
grta,27,06:57:55,13.3717979923,33.7516072586,-84.3962636345
grta,28,06:57:56,13.3717979923,33.7517075025,-84.3961834384
grta,29,06:57:57,13.3717979923,33.751808059,-84.3961038072
grta,30,06:57:58,13.3717979923,33.7519088545,-84.396024608
grta,31,06:57:59,13.3717979923,33.7520091875,-84.395944579
grta,32,06:58:00,13.3717979923,33.7521089487,-84.3958635245
