mode,secondID,time,speed (m/s),lat,lon
grta,0.0,07:37:01,2.95035371555,33.75331879,-84.3854599
grta,1.0,07:37:02,2.95035371555,33.753298721,-84.3854808041
grta,2.0,07:37:03,2.95035371555,33.753278652,-84.3855017083
grta,3.0,07:37:04,2.95035371555,33.7532585831,-84.3855226124
grta,4.0,07:37:05,2.95035371555,33.7532385141,-84.3855435166
grta,5.0,07:37:06,2.95035371555,33.7532184451,-84.3855644207
grta,6.0,07:37:07,2.95035371555,33.7531983761,-84.3855853248
grta,7.0,07:37:08,2.95035371555,33.7531783072,-84.3856062289
grta,8.0,07:37:09,2.95035371555,33.7531582382,-84.3856271331
grta,9.0,07:37:10,2.95035371555,33.7531381692,-84.3856480372
grta,10.0,07:37:11,2.95035371555,33.7531186468,-84.3856696673
grta,11.0,07:37:12,2.95035371555,33.7530992018,-84.3856914001
grta,12.0,07:37:13,2.95035371555,33.7530797568,-84.3857131329
grta,13.0,07:37:14,2.95035371555,33.7530603118,-84.3857348658
grta,14.0,07:37:15,2.95035371555,33.7530408667,-84.3857565986
grta,15.0,07:37:16,2.95035371555,33.7530214217,-84.3857783315
grta,16.0,07:37:17,2.95035371555,33.7530019767,-84.3858000643
grta,17.0,07:37:18,2.95035371555,33.7529825317,-84.3858217971
grta,18.0,07:37:19,2.95035371555,33.7529630867,-84.38584353
grta,19.0,07:37:20,2.95035371555,33.7529436417,-84.3858652628
grta,20.0,07:37:21,2.95035371555,33.7529241967,-84.3858869956
grta,21.0,07:37:22,2.95035371555,33.7529047517,-84.3859087284
grta,22.0,07:37:23,2.95035371555,33.7528853067,-84.3859304613
grta,23.0,07:37:24,2.95035371555,33.7528656384,-84.3859519011
grta,24.0,07:37:25,2.95035371555,33.7528457768,-84.385973087
grta,25.0,07:37:26,2.95035371555,33.7528259151,-84.3859942729
grta,26.0,07:37:27,2.95035371555,33.7528060534,-84.3860154588
grta,27.0,07:37:28,2.95035371555,33.7527861918,-84.3860366446
grta,28.0,07:37:29,2.95035371555,33.7527663301,-84.3860578305
grta,29.0,07:37:30,2.95035371555,33.7527464684,-84.3860790164
grta,30.0,07:37:31,2.95035371555,33.7527266068,-84.3861002023
grta,31.0,07:37:32,2.95035371555,33.7527067451,-84.3861213882
grta,32.0,07:37:33,2.95035371555,33.7526868835,-84.3861425741
grta,33.0,07:37:34,2.95035371555,33.7526670218,-84.38616376
grta,34.0,07:37:35,2.95035371555,33.7526471601,-84.3861849458
grta,35.0,07:37:36,2.95035371555,33.7526272985,-84.3862061317
grta,36.0,07:37:37,2.95035371555,33.7526074368,-84.3862273176
grta,37.0,07:37:38,2.95035371555,33.7525875752,-84.3862485035
grta,38.0,07:37:39,2.95035371555,33.7525677136,-84.3862696893
grta,39.0,07:37:40,2.95035371555,33.7525478519,-84.3862908752
grta,40.0,07:37:41,2.95035371555,33.7525277599,-84.3863117343
grta,41.0,07:37:42,2.95035371555,33.7525069775,-84.3863316142
grta,42.0,07:37:43,2.95035371555,33.7524861952,-84.3863514941
grta,43.0,07:37:44,2.95035371555,33.7524654129,-84.386371374
grta,44.0,07:37:45,2.95035371555,33.7524446477,-84.3863912787
grta,45.0,07:37:46,2.95035371555,33.7524244707,-84.386412033
grta,46.0,07:37:47,2.95035371555,33.7524042936,-84.3864327874
grta,47.0,07:37:48,2.95035371555,33.7523841166,-84.3864535417
grta,48.0,07:37:49,2.95035371555,33.7523639396,-84.386474296
grta,49.0,07:37:50,2.95035371555,33.7523437626,-84.3864950503
grta,50.0,07:37:51,2.95035371555,33.7523235856,-84.3865158047
grta,51.0,07:37:52,2.95035371555,33.7523035544,-84.3865367582
grta,52.0,07:37:53,2.95035371555,33.752283732,-84.3865579966
grta,53.0,07:37:54,2.95035371555,33.7522639096,-84.386579235
grta,54.0,07:37:55,2.95035371555,33.7522440872,-84.3866004734
grta,55.0,07:37:56,2.95035371555,33.7522242649,-84.3866217118
grta,56.0,07:37:57,2.95035371555,33.7522044409,-84.3866429481
grta,57.0,07:37:58,2.95035371555,33.752184551,-84.3866640959
