mode,secondID,time,speed (m/s),lat,lon
grta,0.0,07:23:00,12.3457623577,34.02789688,-84.56982422
grta,1.0,07:23:01,12.3457623577,34.0277984944,-84.569761694
grta,2.0,07:23:02,12.3457623577,34.0277001089,-84.5696991681
grta,3.0,07:23:03,12.3457623577,34.0276017234,-84.5696366422
grta,4.0,07:23:04,12.3457623577,34.0275033379,-84.5695741163
grta,5.0,07:23:05,12.3457623577,34.0274049524,-84.5695115904
grta,6.0,07:23:06,12.3457623577,34.0273065669,-84.5694490645
grta,7.0,07:23:07,12.3457623577,34.0272081815,-84.5693865387
grta,8.0,07:23:08,12.3457623577,34.0271097961,-84.5693240128
grta,9.0,07:23:09,12.3457623577,34.0270460494,-84.5693897268
grta,10.0,07:23:10,12.3457623577,34.0269969621,-84.5695097128
grta,11.0,07:23:11,12.3457623577,34.0269478749,-84.5696296987
grta,12.0,07:23:12,12.3457623577,34.0269004914,-84.5697505885
grta,13.0,07:23:13,12.3457623577,34.0268596989,-84.5698749751
grta,14.0,07:23:14,12.3457623577,34.0268189064,-84.5699993617
grta,15.0,07:23:15,12.3457623577,34.0267781139,-84.5701237481
grta,16.0,07:23:16,12.3457623577,34.0267373214,-84.5702481346
grta,17.0,07:23:17,12.3457623577,34.026696529,-84.5703725209
grta,18.0,07:23:18,12.3457623577,34.026655314,-84.570496705
grta,19.0,07:23:19,12.3457623577,34.0266136784,-84.5706206876
grta,20.0,07:23:20,12.3457623577,34.0265720428,-84.5707446702
grta,21.0,07:23:21,12.3457623577,34.0265304073,-84.5708686527
grta,22.0,07:23:22,12.3457623577,34.0264890252,-84.5709927567
grta,23.0,07:23:23,12.3457623577,34.0264480596,-84.5711170606
grta,24.0,07:23:24,12.3457623577,34.026407094,-84.5712413645
grta,25.0,07:23:25,12.3457623577,34.026367962,-84.5713665069
grta,26.0,07:23:26,12.3457623577,34.026329702,-84.5714920482
grta,27.0,07:23:27,12.3457623577,34.0262914421,-84.5716175895
grta,28.0,07:23:28,12.3457623577,34.0262531822,-84.5717431307
grta,29.0,07:23:29,12.3457623577,34.0262149223,-84.5718686718
grta,30.0,07:23:30,12.3457623577,34.0261766624,-84.5719942129
grta,31.0,07:23:31,12.3457623577,34.026139625,-84.572120259
grta,32.0,07:23:32,12.3457623577,34.0261054866,-84.5722475027
grta,33.0,07:23:33,12.3457623577,34.0260713482,-84.5723747463
grta,34.0,07:23:34,12.3457623577,34.0260372098,-84.5725019899
grta,35.0,07:23:35,12.3457623577,34.0260030715,-84.5726292335
grta,36.0,07:23:36,12.3457623577,34.0259689332,-84.572756477
grta,37.0,07:23:37,12.3457623577,34.0259347948,-84.5728837204
grta,38.0,07:23:38,12.3457623577,34.0259006565,-84.5730109638
grta,39.0,07:23:39,12.3457623577,34.0258659326,-84.5731379782
grta,40.0,07:23:40,12.3457623577,34.025831159,-84.5732649731
grta,41.0,07:23:41,12.3457623577,34.0257963853,-84.573391968
grta,42.0,07:23:42,12.3457623577,34.0257616116,-84.5735189627
grta,43.0,07:23:43,12.3457623577,34.025726838,-84.5736459575
grta,44.0,07:23:44,12.3457623577,34.025692859,-84.5737732615
grta,45.0,07:23:45,12.3457623577,34.0256589933,-84.5739006096
grta,46.0,07:23:46,12.3457623577,34.0256250905,-84.5740279432
grta,47.0,07:23:47,12.3457623577,34.0255906011,-84.5741550495
grta,48.0,07:23:48,12.3457623577,34.0255561117,-84.5742821557
grta,49.0,07:23:49,12.3457623577,34.0255216223,-84.5744092619
grta,50.0,07:23:50,12.3457623577,34.0254871329,-84.5745363681
grta,51.0,07:23:51,12.3457623577,34.0254526435,-84.5746634741
grta,52.0,07:23:52,12.3457623577,34.0254181542,-84.5747905802
grta,53.0,07:23:53,12.3457623577,34.0253836648,-84.5749176862
grta,54.0,07:23:54,12.3457623577,34.0253491755,-84.5750447921
grta,55.0,07:23:55,12.3457623577,34.0253146862,-84.575171898
grta,56.0,07:23:56,12.3457623577,34.025311024,-84.5752779896
grta,57.0,07:23:57,12.3457623577,34.025419571,-84.5753075903
grta,58.0,07:23:58,12.3457623577,34.0255276364,-84.5753395852
grta,59.0,07:23:59,12.3457623577,34.0256354638,-84.575372763
grta,60.0,07:24:00,12.3457623577,34.0257432913,-84.5754059409
grta,61.0,07:24:01,12.3457623577,34.0258511187,-84.5754391188
grta,62.0,07:24:02,12.3457623577,34.0259590745,-84.575471684
grta,63.0,07:24:03,12.3457623577,34.026066869,-84.5755049962
grta,64.0,07:24:04,12.3457623577,34.026174462,-84.5755392544
grta,65.0,07:24:05,12.3457623577,34.0262820551,-84.5755735125
grta,66.0,07:24:06,12.3457623577,34.0263896481,-84.5756077706
grta,67.0,07:24:07,12.3457623577,34.0264972412,-84.5756420288
grta,68.0,07:24:08,12.3457623577,34.0266048343,-84.5756762869
grta,69.0,07:24:09,12.3457623577,34.0267124273,-84.5757105451
grta,70.0,07:24:10,12.3457623577,34.026819679,-84.5757462573
grta,71.0,07:24:11,12.3457623577,34.0269261388,-84.5757852896
grta,72.0,07:24:12,12.3457623577,34.0270324071,-84.5758250003
grta,73.0,07:24:13,12.3457623577,34.027136669,-84.5758718155
grta,74.0,07:24:14,12.3457623577,34.0272404889,-84.5759199745
grta,75.0,07:24:15,12.3457623577,34.0273432497,-84.5759713548
