mode,secondID,time,speed (m/s),lat,lon
grta,0.0,09:19:04,3.22107116008,33.78056208,-84.38742744
grta,1.0,09:19:05,3.22107116008,33.7805892208,-84.3874398196
grta,2.0,09:19:06,3.22107116008,33.7806163615,-84.3874521992
grta,3.0,09:19:07,3.22107116008,33.7806435023,-84.3874645788
grta,4.0,09:19:08,3.22107116008,33.7806706431,-84.3874769584
grta,5.0,09:19:09,3.22107116008,33.7806977838,-84.387489338
grta,6.0,09:19:10,3.22107116008,33.7807249246,-84.3875017176
grta,7.0,09:19:11,3.22107116008,33.7807519808,-84.3875143591
grta,8.0,09:19:12,3.22107116008,33.7807790115,-84.3875270794
grta,9.0,09:19:13,3.22107116008,33.7808060422,-84.3875397997
grta,10.0,09:19:14,3.22107116008,33.7808330729,-84.3875525199
grta,11.0,09:19:15,3.22107116008,33.7808601036,-84.3875652402
grta,12.0,09:19:16,3.22107116008,33.7808871343,-84.3875779605
grta,13.0,09:19:17,3.22107116008,33.780914165,-84.3875906808
grta,14.0,09:19:18,3.22107116008,33.7809411957,-84.387603401
grta,15.0,09:19:19,3.22107116008,33.7809682264,-84.3876161213
grta,16.0,09:19:20,3.22107116008,33.780995296,-84.3876287193
grta,17.0,09:19:21,3.22107116008,33.7810225521,-84.3876407301
grta,18.0,09:19:22,3.22107116008,33.7810498082,-84.3876527408
grta,19.0,09:19:23,3.22107116008,33.7810770643,-84.3876647516
grta,20.0,09:19:24,3.22107116008,33.7811043204,-84.3876767624
grta,21.0,09:19:25,3.22107116008,33.7811315765,-84.3876887731
grta,22.0,09:19:26,3.22107116008,33.7811588326,-84.3877007839
grta,23.0,09:19:27,3.22107116008,33.7811860887,-84.3877127946
grta,24.0,09:19:28,3.22107116008,33.7812133448,-84.3877248054
grta,25.0,09:19:29,3.22107116008,33.7812408665,-84.3877359099
grta,26.0,09:19:30,3.22107116008,33.7812684129,-84.3877469299
grta,27.0,09:19:31,3.22107116008,33.7812960372,-84.3877576376
grta,28.0,09:19:32,3.22107116008,33.7813241199,-84.3877665065
grta,29.0,09:19:33,3.22107116008,33.7813522026,-84.3877753753
grta,30.0,09:19:34,3.22107116008,33.7813803803,-84.3877837914
grta,31.0,09:19:35,3.22107116008,33.7814086312,-84.3877918578
grta,32.0,09:19:36,3.22107116008,33.7814371482,-84.3877983502
grta,33.0,09:19:37,3.22107116008,33.7814657942,-84.3878040801
grta,34.0,09:19:38,3.22107116008,33.7814944427,-84.3878097878
grta,35.0,09:19:39,3.22107116008,33.7815233286,-84.3878133986
grta,36.0,09:19:40,3.22107116008,33.7815522144,-84.3878170093
grta,37.0,09:19:41,3.22107116008,33.7815811356,-84.3878201863
grta,38.0,09:19:42,3.22107116008,33.7816100607,-84.3878233137
