mode,secondID,time,speed (m/s),lat,lon
grta,0.0,06:34:38,18.0296812518,33.76246262,-84.39054108
grta,1.0,06:34:39,18.0296812518,33.7623001574,-84.3905479939
grta,2.0,06:34:40,18.0296812518,33.7621376028,-84.39054871
grta,3.0,06:34:41,18.0296812518,33.7619750376,-84.39054871
grta,4.0,06:34:42,18.0296812518,33.7618124723,-84.39054871
grta,5.0,06:34:43,18.0296812518,33.7616499071,-84.39054871
grta,6.0,06:34:44,18.0296812518,33.7614873419,-84.39054871
grta,7.0,06:34:45,18.0296812518,33.7613247766,-84.39054871
grta,8.0,06:34:46,18.0296812518,33.7611622114,-84.39054871
grta,9.0,06:34:47,18.0296812518,33.7609996461,-84.39054871
grta,10.0,06:34:48,18.0296812518,33.7609836752,-84.3903700473
grta,11.0,06:34:49,18.0296812518,33.7609807836,-84.3901754441
grta,12.0,06:34:50,18.0296812518,33.760977892,-84.3899808409
grta,13.0,06:34:51,18.0296812518,33.7609750003,-84.3897862377
grta,14.0,06:34:52,18.0296812518,33.7609794515,-84.3895916853
grta,15.0,06:34:53,18.0296812518,33.7609842215,-84.3893971351
grta,16.0,06:34:54,18.0296812518,33.7609889915,-84.3892025849
grta,17.0,06:34:55,18.0296812518,33.7609937615,-84.3890080347
grta,18.0,06:34:56,18.0296812518,33.7609927327,-84.3888134099
grta,19.0,06:34:57,18.0296812518,33.7609914522,-84.3886187819
grta,20.0,06:34:58,18.0296812518,33.7609901717,-84.388424154
grta,21.0,06:34:59,18.0296812518,33.7609888911,-84.388229526
grta,22.0,06:35:00,18.0296812518,33.7609876106,-84.388034898
