mode,secondID,time,speed (m/s),lat,lon
grta,0.0,07:32:33,2.6858325934,33.7648468,-84.38681793
grta,1.0,07:32:34,2.6858325934,33.7648502935,-84.3868465119
grta,2.0,07:32:35,2.6858325934,33.7648550346,-84.3868749462
grta,3.0,07:32:36,2.6858325934,33.7648589133,-84.3869035272
grta,4.0,07:32:37,2.6858325934,33.7648609746,-84.3869324174
grta,5.0,07:32:38,2.6858325934,33.76486206,-84.3869613574
grta,6.0,07:32:39,2.6858325934,33.76486206,-84.3869903528
grta,7.0,07:32:40,2.6858325934,33.76486206,-84.3870193482
grta,8.0,07:32:41,2.6858325934,33.76486206,-84.3870483437
grta,9.0,07:32:42,2.6858325934,33.7648607955,-84.3870772638
grta,10.0,07:32:43,2.6858325934,33.7648583943,-84.3871061163
grta,11.0,07:32:44,2.6858325934,33.7648555437,-84.3871349098
grta,12.0,07:32:45,2.6858325934,33.7648526643,-84.3871636996
grta,13.0,07:32:46,2.6858325934,33.764849107,-84.3871923515
grta,14.0,07:32:47,2.6858325934,33.7648438898,-84.387220666
grta,15.0,07:32:48,2.6858325934,33.7648386726,-84.3872489805
grta,16.0,07:32:49,2.6858325934,33.7648334555,-84.3872772951
grta,17.0,07:32:50,2.6858325934,33.7648282383,-84.3873056096
grta,18.0,07:32:51,2.6858325934,33.7648229286,-84.3873338983
grta,19.0,07:32:52,2.6858325934,33.7648171684,-84.3873620616
grta,20.0,07:32:53,2.6858325934,33.7648114083,-84.3873902248
grta,21.0,07:32:54,2.6858325934,33.7648056481,-84.387418388
grta,22.0,07:32:55,2.6858325934,33.7647998879,-84.3874465512
grta,23.0,07:32:56,2.6858325934,33.7647941278,-84.3874747145
grta,24.0,07:32:57,2.6858325934,33.7647844841,-84.3874968193
grta,25.0,07:32:58,2.6858325934,33.7647602727,-84.3874961985
grta,26.0,07:32:59,2.6858325934,33.7647360614,-84.3874955776
grta,27.0,07:33:00,2.6858325934,33.7647118501,-84.3874949568
grta,28.0,07:33:01,2.6858325934,33.7646876387,-84.3874943359
grta,29.0,07:33:02,2.6858325934,33.7646634274,-84.3874937151
grta,30.0,07:33:03,2.6858325934,33.764639216,-84.3874930943
grta,31.0,07:33:04,2.6858325934,33.7646150047,-84.3874924734
grta,32.0,07:33:05,2.6858325934,33.7645907934,-84.3874918526
grta,33.0,07:33:06,2.6858325934,33.764566582,-84.3874912317
grta,34.0,07:33:07,2.6858325934,33.7645423707,-84.3874906109
grta,35.0,07:33:08,2.6858325934,33.7645181593,-84.38748999
grta,36.0,07:33:09,2.6858325934,33.764493948,-84.3874893692
grta,37.0,07:33:10,2.6858325934,33.7644697315,-84.38748932
grta,38.0,07:33:11,2.6858325934,33.7644455147,-84.38748932
grta,39.0,07:33:12,2.6858325934,33.7644212978,-84.38748932
grta,40.0,07:33:13,2.6858325934,33.7643970809,-84.38748932
grta,41.0,07:33:14,2.6858325934,33.764372864,-84.38748932
grta,42.0,07:33:15,2.6858325934,33.7643486471,-84.38748932
grta,43.0,07:33:16,2.6858325934,33.7643244302,-84.38748932
grta,44.0,07:33:17,2.6858325934,33.7643002133,-84.38748932
grta,45.0,07:33:18,2.6858325934,33.7642759964,-84.38748932
grta,46.0,07:33:19,2.6858325934,33.7642517795,-84.38748932
grta,47.0,07:33:20,2.6858325934,33.7642275626,-84.38748932
grta,48.0,07:33:21,2.6858325934,33.7642033457,-84.38748932
grta,49.0,07:33:22,2.6858325934,33.7641791288,-84.38748932
grta,50.0,07:33:23,2.6858325934,33.7641549119,-84.38748932
grta,51.0,07:33:24,2.6858325934,33.764130695,-84.38748932
grta,52.0,07:33:25,2.6858325934,33.7641064781,-84.38748932
grta,53.0,07:33:26,2.6858325934,33.7640822612,-84.38748932
grta,54.0,07:33:27,2.6858325934,33.7640580444,-84.38748932
grta,55.0,07:33:28,2.6858325934,33.7640338275,-84.38748932
grta,56.0,07:33:29,2.6858325934,33.7640096106,-84.38748932
grta,57.0,07:33:30,2.6858325934,33.7639853949,-84.387489515
grta,58.0,07:33:31,2.6858325934,33.7639611808,-84.3874899553
grta,59.0,07:33:32,2.6858325934,33.7639369667,-84.3874903956
grta,60.0,07:33:33,2.6858325934,33.7639127526,-84.3874908359
grta,61.0,07:33:34,2.6858325934,33.7638885385,-84.3874912762
grta,62.0,07:33:35,2.6858325934,33.7638643244,-84.3874917165
grta,63.0,07:33:36,2.6858325934,33.7638401103,-84.3874921568
grta,64.0,07:33:37,2.6858325934,33.7638158962,-84.3874925971
grta,65.0,07:33:38,2.6858325934,33.7637916821,-84.3874930374
grta,66.0,07:33:39,2.6858325934,33.763767468,-84.3874934777
grta,67.0,07:33:40,2.6858325934,33.7637432539,-84.387493918
grta,68.0,07:33:41,2.6858325934,33.7637190398,-84.3874943583
grta,69.0,07:33:42,2.6858325934,33.7636948257,-84.3874947986
grta,70.0,07:33:43,2.6858325934,33.7636706116,-84.3874952389
grta,71.0,07:33:44,2.6858325934,33.7636463975,-84.3874956792
grta,72.0,07:33:45,2.6858325934,33.7636221834,-84.3874961195
grta,73.0,07:33:46,2.6858325934,33.7635979692,-84.3874965598
grta,74.0,07:33:47,2.6858325934,33.7635737548,-84.38749695
grta,75.0,07:33:48,2.6858325934,33.7635495379,-84.38749695
grta,76.0,07:33:49,2.6858325934,33.763525321,-84.38749695
grta,77.0,07:33:50,2.6858325934,33.7635011962,-84.387496078
grta,78.0,07:33:51,2.6858325934,33.7634777416,-84.3874888604
grta,79.0,07:33:52,2.6858325934,33.7634542919,-84.3874816242
grta,80.0,07:33:53,2.6858325934,33.7634315883,-84.3874715352
grta,81.0,07:33:54,2.6858325934,33.7634105728,-84.3874577678
grta,82.0,07:33:55,2.6858325934,33.7633912864,-84.3874402327
grta,83.0,07:33:56,2.6858325934,33.7633726183,-84.3874218378
grta,84.0,07:33:57,2.6858325934,33.7633552742,-84.3874016024
grta,85.0,07:33:58,2.6858325934,33.7633379301,-84.387381367
grta,86.0,07:33:59,2.6858325934,33.7633239187,-84.3873579775
grta,87.0,07:34:00,2.6858325934,33.7633114799,-84.3873330997
grta,88.0,07:34:01,2.6858325934,33.763299041,-84.387308222
grta,89.0,07:34:02,2.6858325934,33.7632859952,-84.3872838037
grta,90.0,07:34:03,2.6858325934,33.7632725652,-84.387259676
grta,91.0,07:34:04,2.6858325934,33.7632591352,-84.3872355483
grta,92.0,07:34:05,2.6858325934,33.7632457052,-84.3872114206
grta,93.0,07:34:06,2.6858325934,33.7632322752,-84.3871872929
grta,94.0,07:34:07,2.6858325934,33.7632188452,-84.3871631652
grta,95.0,07:34:08,2.6858325934,33.7632054152,-84.3871390376
grta,96.0,07:34:09,2.6858325934,33.7631919852,-84.3871149099
grta,97.0,07:34:10,2.6858325934,33.7631785552,-84.3870907822
grta,98.0,07:34:11,2.6858325934,33.7631651253,-84.3870666546
grta,99.0,07:34:12,2.6858325934,33.7631516953,-84.3870425269
grta,100.0,07:34:13,2.6858325934,33.7631382653,-84.3870183992
grta,101.0,07:34:14,2.6858325934,33.7631248353,-84.3869942716
grta,102.0,07:34:15,2.6858325934,33.7631114053,-84.3869701439
grta,103.0,07:34:16,2.6858325934,33.7630979754,-84.3869460163
grta,104.0,07:34:17,2.6858325934,33.7630845454,-84.3869218886
grta,105.0,07:34:18,2.6858325934,33.7630711154,-84.386897761
grta,106.0,07:34:19,2.6858325934,33.7630517301,-84.3869075578
grta,107.0,07:34:20,2.6858325934,33.7630313238,-84.3869231705
grta,108.0,07:34:21,2.6858325934,33.7630109174,-84.3869387832
grta,109.0,07:34:22,2.6858325934,33.7629905111,-84.3869543959
grta,110.0,07:34:23,2.6858325934,33.7629701048,-84.3869700086
grta,111.0,07:34:24,2.6858325934,33.7629496985,-84.3869856213
grta,112.0,07:34:25,2.6858325934,33.7629292922,-84.3870012339
grta,113.0,07:34:26,2.6858325934,33.7629088859,-84.3870168466
grta,114.0,07:34:27,2.6858325934,33.7628884796,-84.3870324593
grta,115.0,07:34:28,2.6858325934,33.7628680733,-84.387048072
grta,116.0,07:34:29,2.6858325934,33.762847667,-84.3870636847
grta,117.0,07:34:30,2.6858325934,33.7628272607,-84.3870792973
grta,118.0,07:34:31,2.6858325934,33.7628068544,-84.38709491
grta,119.0,07:34:32,2.6858325934,33.7627864481,-84.3871105227
grta,120.0,07:34:33,2.6858325934,33.7627660418,-84.3871261354
grta,121.0,07:34:34,2.6858325934,33.7627456355,-84.387141748
grta,122.0,07:34:35,2.6858325934,33.7627252292,-84.3871573607
grta,123.0,07:34:36,2.6858325934,33.7627048229,-84.3871729734
grta,124.0,07:34:37,2.6858325934,33.7626844166,-84.387188586
grta,125.0,07:34:38,2.6858325934,33.7626640103,-84.3872041987
grta,126.0,07:34:39,2.6858325934,33.762643604,-84.3872198114
grta,127.0,07:34:40,2.6858325934,33.7626231977,-84.387235424
grta,128.0,07:34:41,2.6858325934,33.7626027914,-84.3872510367
grta,129.0,07:34:42,2.6858325934,33.7625823851,-84.3872666494
grta,130.0,07:34:43,2.6858325934,33.7625619788,-84.387282262
grta,131.0,07:34:44,2.6858325934,33.7625415726,-84.3872978747
grta,132.0,07:34:45,2.6858325934,33.7625211663,-84.3873134873
